Substance rA rB rX nA nB nX xX
Mn2TiO4 0.96 0.605 1.4 2.0 4.0 -2.0 0.304575
Mn2TcO4 0.96 0.645 1.4 2.0 4.0 -2.0 0.304575
Mn2SiO4 0.96 0.4 1.4 2.0 4.0 -2.0 0.304575
Sc2MgS4 0.87 0.72 1.84 3.0 2.0 -2.0 0.23596
Lu2MnSe4 1.032 0.83 1.98 3.0 2.0 -2.0 0.2240328
Lu2ZnS4 1.032 0.74 1.84 3.0 2.0 -2.0 0.23596
Mg2PtO4 0.89 0.625 1.4 2.0 4.0 -2.0 0.304575
Sc2MgO4 0.87 0.72 1.4 3.0 2.0 -2.0 0.304575
Mn2ScO4 0.96 0.745 1.4 2.5 3.0 -2.0 0.304575
Yb2MgS4 1.042 0.72 1.84 3.0 2.0 -2.0 0.23596
Mg2TcO4 0.89 0.645 1.4 2.0 4.0 -2.0 0.304575
KCaAsO4 1.365 0.46 1.4 1.5 5.0 -2.0 0.304575
Ni2FeS4 0.69 0.645 1.84 2.5 3.0 -2.0 0.23596
NaBaAsO4 1.355 0.46 1.4 1.5 5.0 -2.0 0.304575
NaBaVO4 1.355 0.54 1.4 1.5 5.0 -2.0 0.304575
Yb2ZnS4 1.042 0.74 1.84 3.0 2.0 -2.0 0.23596
Tm2ZnS4 1.052 0.74 1.84 3.0 2.0 -2.0 0.23596
Tb2YbS4 1.095 1.02 1.84 3.0 2.0 -2.0 0.23596
Sm2ZnS4 1.132 0.74 1.84 3.0 2.0 -2.0 0.23596
Sc2ZnS4 0.87 0.74 1.84 3.0 2.0 -2.0 0.23596
Rb2WSe4 1.63 0.6 1.98 1.0 6.0 -2.0 0.2240328
Rb2WS4 1.63 0.6 1.84 1.0 6.0 -2.0 0.23596
Pr2YbS4 1.179 1.02 1.84 3.0 2.0 -2.0 0.23596
Zn2ZrO4 0.9 0.72 1.4 2.0 4.0 -2.0 0.304575
Zn2TiO4 0.9 0.605 1.4 2.0 4.0 -2.0 0.304575
Fe2GeS4 0.92 0.53 1.84 2.0 4.0 -2.0 0.23596
Y2YbS4 1.075 1.02 1.84 3.0 2.0 -2.0 0.23596
Yb2CaO4 1.042 1.0 1.4 3.0 2.0 -2.0 0.304575
