Substance rA rB rX nA nB nX xX
SrCeVO4 1.253 0.64 1.4 2.5 3.0 -2.0 0.304575
BaLaScO4 1.343 0.745 1.4 2.5 3.0 -2.0 0.304575
BaLaMnO4 1.343 0.645 1.4 2.5 3.0 -2.0 0.304575
BaLaFeO4 1.343 0.645 1.4 2.5 3.0 -2.0 0.304575
CaLaAlO4 1.198 0.535 1.4 2.5 3.0 -2.0 0.304575
CaSmAlO4 1.156 0.535 1.4 2.5 3.0 -2.0 0.304575
BaSrPbO4 1.39 0.775 1.4 2.0 4.0 -2.0 0.304575
NaLaTiO4 1.228 0.605 1.4 2.0 4.0 -2.0 0.304575
SrPrGaO4 1.2445 0.62 1.4 2.5 3.0 -2.0 0.304575
LaNdCuO4 1.1895 0.73 1.4 3.0 2.0 -2.0 0.304575
SrGdVO4 1.2085 0.64 1.4 2.5 3.0 -2.0 0.304575
NdTbCuO4 1.129 0.73 1.4 3.0 2.0 -2.0 0.304575
SrEuCoO4 1.215 0.61 1.4 2.5 3.0 -2.0 0.304575
PrTbCuO4 1.137 0.73 1.4 3.0 2.0 -2.0 0.304575
CaLaFeO4 1.198 0.645 1.4 2.5 3.0 -2.0 0.304575
CaLaCrO4 1.198 0.615 1.4 2.5 3.0 -2.0 0.304575
SrNdAlO4 1.2365 0.535 1.4 2.5 3.0 -2.0 0.304575
SrPrCrO4 1.2445 0.615 1.4 2.5 3.0 -2.0 0.304575
Cs2CuF4 1.78 0.73 1.33 1.0 2.0 -1.0 0.344443
Sr2CoO4 1.31 0.53 1.4 2.0 4.0 -2.0 0.304575
Ba2ZrS4 1.47 0.72 1.84 2.0 4.0 -2.0 0.23596
Cs2CaBr4 1.78 1.0 1.96 1.0 2.0 -1.0 0.2412578
Ba2SnO4 1.47 0.69 1.4 2.0 4.0 -2.0 0.304575
Ba2HfS4 1.47 0.71 1.84 2.0 4.0 -2.0 0.23596
Cs2CaCl4 1.78 1.0 1.81 1.0 2.0 -1.0 0.263803
Cs2HgF4 1.78 1.02 1.33 1.0 2.0 -1.0 0.344443
NaNdTiO4 1.2015 0.605 1.4 2.0 4.0 -2.0 0.304575
Ca2GeO4 1.18 0.53 1.4 2.0 4.0 -2.0 0.304575
Eu2VO4 1.3 0.58 1.4 2.0 4.0 -2.0 0.304575
Rb2FeF4 1.63 0.78 1.33 1.0 2.0 -1.0 0.344443
Cs2NpO4 1.78 0.72 1.4 1.0 6.0 -2.0 0.304575
NaSmTiO4 1.186 0.605 1.4 2.0 4.0 -2.0 0.304575
NaYTiO4 1.1575 0.605 1.4 2.0 4.0 -2.0 0.304575
EuTbCuO4 1.1075 0.73 1.4 3.0 2.0 -2.0 0.304575
Eu2TiO4 1.3 0.605 1.4 2.0 4.0 -2.0 0.304575
SrEuAlO4 1.215 0.535 1.4 2.5 3.0 -2.0 0.304575
EuSmAlO4 1.2160000000000002 0.535 1.4 2.5 3.0 -2.0 0.304575
EuPrAlO4 1.2395 0.535 1.4 2.5 3.0 -2.0 0.304575
Rb2MnCl4 1.63 0.83 1.81 1.0 2.0 -1.0 0.263803
K2MgCl4 1.55 0.72 1.81 1.0 2.0 -1.0 0.263803
Ba2PbO4 1.47 0.775 1.4 2.0 4.0 -2.0 0.304575
SrGdCrO4 1.2085 0.615 1.4 2.5 3.0 -2.0 0.304575
SrNdCrO4 1.2365 0.615 1.4 2.5 3.0 -2.0 0.304575
SrGdNiO4 1.2085 0.6 1.4 2.5 3.0 -2.0 0.304575
SrLaScO4 1.263 0.745 1.4 2.5 3.0 -2.0 0.304575
K2FeF4 1.55 0.78 1.33 1.0 2.0 -1.0 0.344443
Rb2CuF4 1.63 0.73 1.33 1.0 2.0 -1.0 0.344443
Rb2MgF4 1.63 0.72 1.33 1.0 2.0 -1.0 0.344443
Tl2CoF4 1.59 0.745 1.33 1.0 2.0 -1.0 0.344443
K2NiF4 1.55 0.69 1.33 1.0 2.0 -1.0 0.344443
K2MnF4 1.55 0.83 1.33 1.0 2.0 -1.0 0.344443
K2CoF4 1.55 0.745 1.33 1.0 2.0 -1.0 0.344443
Rb2CoF4 1.63 0.745 1.33 1.0 2.0 -1.0 0.344443
NaPrTiO4 1.2095 0.605 1.4 2.0 4.0 -2.0 0.304575
Rb2MnCl2I2 1.63 0.83 2.005 1.0 2.0 -1.0 0.2416603
Ba2RuO4 1.47 0.62 1.4 2.0 4.0 -2.0 0.304575
Cs2CrO4 1.78 0.44 1.4 1.0 6.0 -2.0 0.304575
Co2SiO4 0.9 0.4 1.4 2.0 4.0 -2.0 0.304575
Co2SnO4 0.9 0.69 1.4 2.0 4.0 -2.0 0.304575
Li2BeCl4 0.92 0.45 1.81 1.0 2.0 -1.0 0.263803
Ba2CrO4 1.47 0.55 1.4 2.0 4.0 -2.0 0.304575
Ba2TiS4 1.47 0.605 1.84 2.0 4.0 -2.0 0.23596
Ba2SiO4 1.47 0.4 1.4 2.0 4.0 -2.0 0.304575
Ba2GeS4 1.47 0.53 1.84 2.0 4.0 -2.0 0.23596
Ba2GeO4 1.47 0.53 1.4 2.0 4.0 -2.0 0.304575
K2BeCl4 1.55 0.45 1.81 1.0 2.0 -1.0 0.263803
Ca2GeS4 1.18 0.53 1.84 2.0 4.0 -2.0 0.23596
Ba2TiO4 1.47 0.605 1.4 2.0 4.0 -2.0 0.304575
Rb2ZnBr4 1.63 0.74 1.96 1.0 2.0 -1.0 0.2412578
Rb2CoCl4 1.63 0.745 1.81 1.0 2.0 -1.0 0.263803
K2BaCl4 1.55 1.35 1.81 1.0 2.0 -1.0 0.263803
Rb2BaBr4 1.63 1.35 1.96 1.0 2.0 -1.0 0.2412578
La2CdS4 1.216 0.95 1.84 3.0 2.0 -2.0 0.23596
Co2TiO4 0.9 0.605 1.4 2.0 4.0 -2.0 0.304575
Co2TcO4 0.9 0.645 1.4 2.0 4.0 -2.0 0.304575
Cs2HgCl4 1.78 1.02 1.81 1.0 2.0 -1.0 0.263803
Cs2CuBr4 1.78 0.73 1.96 1.0 2.0 -1.0 0.2412578
Rb2BaCl4 1.63 1.35 1.81 1.0 2.0 -1.0 0.263803
Sm2CdS4 1.132 0.95 1.84 3.0 2.0 -2.0 0.23596
Cs2WSe4 1.78 0.6 1.98 1.0 6.0 -2.0 0.2240328
Sr2SiO4 1.31 0.4 1.4 2.0 4.0 -2.0 0.304575
Zn2GeO4 0.9 0.53 1.4 2.0 4.0 -2.0 0.304575
Lu2FeS4 1.032 0.78 1.84 3.0 2.0 -2.0 0.23596
In2FeS4 0.92 0.78 1.84 3.0 2.0 -2.0 0.23596
Fe2GeSe4 0.92 0.53 1.98 2.0 4.0 -2.0 0.2240328
Fe2TiO4 0.92 0.605 1.4 2.0 4.0 -2.0 0.304575
Mn2GeS4 0.96 0.53 1.84 2.0 4.0 -2.0 0.23596
Ni2GeO4 0.69 0.53 1.4 2.0 4.0 -2.0 0.304575
La2PbSe4 1.216 1.19 1.98 3.0 2.0 -2.0 0.2240328
La2PbS4 1.216 1.19 1.84 3.0 2.0 -2.0 0.23596
Sr2NiO2Cl2 1.31 0.69 1.605 2.0 2.0 -1.5 0.284189
K2WSe4 1.55 0.6 1.98 1.0 6.0 -2.0 0.2240328
K2MoS4 1.55 0.59 1.84 1.0 6.0 -2.0 0.23596
In2ZnS4 0.92 0.74 1.84 3.0 2.0 -2.0 0.23596
In2MnSe4 0.92 0.83 1.98 3.0 2.0 -2.0 0.2240328
In2MnS4 0.92 0.83 1.84 3.0 2.0 -2.0 0.23596
In2MnO4 0.92 0.83 1.4 3.0 2.0 -2.0 0.304575
In2MgO4 0.92 0.72 1.4 3.0 2.0 -2.0 0.304575
Li2MoO4 0.92 0.59 1.4 1.0 6.0 -2.0 0.304575
Sm2ZnO4 1.132 0.74 1.4 3.0 2.0 -2.0 0.304575
Na2MoO4 1.24 0.59 1.4 1.0 6.0 -2.0 0.304575
Cs2ZnBr4 1.78 0.74 1.96 1.0 2.0 -1.0 0.2412578
Zn2SnO4 0.9 0.69 1.4 2.0 4.0 -2.0 0.304575
LuNaSiO4 1.136 0.4 1.4 2.0 4.0 -2.0 0.304575
LiTmSiO4 0.986 0.4 1.4 2.0 4.0 -2.0 0.304575
LiScSiO4 0.895 0.4 1.4 2.0 4.0 -2.0 0.304575
NaYbGeO4 1.141 0.53 1.4 2.0 4.0 -2.0 0.304575
MgMnSiO4 0.925 0.4 1.4 2.0 4.0 -2.0 0.304575
NaYGeO4 1.1575 0.53 1.4 2.0 4.0 -2.0 0.304575
NaTbGeO4 1.1675 0.53 1.4 2.0 4.0 -2.0 0.304575
NaSmGeO4 1.186 0.53 1.4 2.0 4.0 -2.0 0.304575
MnZnGeO4 0.93 0.53 1.4 2.0 4.0 -2.0 0.304575
MnNiGeS4 0.825 0.53 1.84 2.0 4.0 -2.0 0.23596
MgMnGeO4 0.925 0.53 1.4 2.0 4.0 -2.0 0.304575
LuNaGeO4 1.136 0.53 1.4 2.0 4.0 -2.0 0.304575
LiYGeO4 0.9975 0.53 1.4 2.0 4.0 -2.0 0.304575
NaTmGeO4 1.146 0.53 1.4 2.0 4.0 -2.0 0.304575
Ag2MoO4 1.28 0.59 1.4 1.0 6.0 -2.0 0.304575
Ce2CdSe4 1.196 0.95 1.98 3.0 2.0 -2.0 0.2240328
SmPrCuO4 1.1555 0.73 1.4 3.0 2.0 -2.0 0.304575
SmGdCuO4 1.1195 0.73 1.4 3.0 2.0 -2.0 0.304575
PrGdCuO4 1.143 0.73 1.4 3.0 2.0 -2.0 0.304575
Pr2CaS4 1.179 1.0 1.84 3.0 2.0 -2.0 0.23596
Eu2CuO4 1.12 0.73 1.4 3.0 2.0 -2.0 0.304575
Ca2SiS4 1.18 0.4 1.84 2.0 4.0 -2.0 0.23596
Yb2CaS4 1.042 1.0 1.84 3.0 2.0 -2.0 0.23596
Tl2CoBr4 1.59 0.745 1.96 1.0 2.0 -1.0 0.2412578
K2CoBr4 1.55 0.745 1.96 1.0 2.0 -1.0 0.2412578
Cs2CoBr4 1.78 0.745 1.96 1.0 2.0 -1.0 0.2412578
Cs2CdBr4 1.78 0.95 1.96 1.0 2.0 -1.0 0.2412578
Bi2YbTe4 1.17 1.02 2.21 3.0 2.0 -2.0 0.2056992
Bi2EuTe4 1.17 1.17 2.21 3.0 2.0 -2.0 0.2056992
Rh2BeO4 0.665 0.45 1.4 3.0 2.0 -2.0 0.304575
Tl2BeF4 1.59 0.45 1.33 1.0 2.0 -1.0 0.344443
NdGaCuO4 0.8915 0.73 1.4 3.0 2.0 -2.0 0.304575
EuNdCuO4 1.1415000000000002 0.73 1.4 3.0 2.0 -2.0 0.304575
EuGdCuO4 1.1135000000000002 0.73 1.4 3.0 2.0 -2.0 0.304575
Nd2CaS4 1.163 1.0 1.84 3.0 2.0 -2.0 0.23596
Rb2BeF4 1.63 0.45 1.33 1.0 2.0 -1.0 0.344443
K2BeF4 1.55 0.45 1.33 1.0 2.0 -1.0 0.344443
Cr2BeO4 0.615 0.45 1.4 3.0 2.0 -2.0 0.304575
Ho2CuO4 1.072 0.73 1.4 3.0 2.0 -2.0 0.304575
Tm2CuO4 1.052 0.73 1.4 3.0 2.0 -2.0 0.304575
Y2CuO4 1.075 0.73 1.4 3.0 2.0 -2.0 0.304575
Gd2PdO4 1.107 0.86 1.4 3.0 2.0 -2.0 0.304575
La2PdO4 1.216 0.86 1.4 3.0 2.0 -2.0 0.304575
Nd2PdO4 1.163 0.86 1.4 3.0 2.0 -2.0 0.304575
Sm2PdO4 1.132 0.86 1.4 3.0 2.0 -2.0 0.304575
Rb2CoBr4 1.63 0.745 1.96 1.0 2.0 -1.0 0.2412578
Rb2CoI4 1.63 0.745 2.2 1.0 2.0 -1.0 0.2195175999999999
