Substance rA rB rX xX
Cs2AgF4 1.78 0.94 1.33 0.344443
Cs2YbCl4 1.78 1.02 1.81 0.263803
SrTbFeO4 1.2025000000000001 0.645 1.4 0.304575
La2CuO4 1.216 0.73 1.4 0.304575
Rb2ZnF4 1.63 0.74 1.33 0.344443
Rb2NiF4 1.63 0.69 1.33 0.344443
Rb2MnF4 1.63 0.83 1.33 0.344443
Tl2UO4 1.59 0.73 1.4 0.304575
Rb2MnBr2Cl2 1.63 0.83 1.885 0.2525304
Sr2SnO4 1.31 0.69 1.4 0.304575
Sr2RhO4 1.31 0.6 1.4 0.304575
Ca2SiO4 1.18 0.4 1.4 0.304575
Cs2CdCl4 1.78 0.95 1.81 0.263803
Rb2CdCl4 1.63 0.95 1.81 0.263803
SrTbVO4 1.2025000000000001 0.64 1.4 0.304575
CaDyAlO4 1.1315 0.535 1.4 0.304575
SrPrVO4 1.2445 0.64 1.4 0.304575
SrCeAlO4 1.2530000000000001 0.535 1.4 0.304575
EuGdAlO4 1.2035 0.535 1.4 0.304575
EuLaAlO4 1.258 0.535 1.4 0.304575
EuNdAlO4 1.2315 0.535 1.4 0.304575
SrTbCrO4 1.2025000000000001 0.615 1.4 0.304575
SrEuVO4 1.3050000000000002 0.58 1.4 0.304575
Cs2TmCl4 1.78 1.03 1.81 0.263803
K2ZnF4 1.55 0.74 1.33 0.344443
Pr2CuO4 1.179 0.73 1.4 0.304575
Nd2CuO4 1.163 0.73 1.4 0.304575
CaHoAlO4 1.126 0.535 1.4 0.304575
SrEuCrO4 1.215 0.615 1.4 0.304575
SrSmAlO4 1.221 0.535 1.4 0.304575
CaNdCoO4 1.1715 0.61 1.4 0.304575
Cs2UO4 1.78 0.73 1.4 0.304575
K2UO4 1.55 0.73 1.4 0.304575
Sr2MoO4 1.31 0.65 1.4 0.304575
Nd2NiO4 1.163 0.69 1.4 0.304575
Rb2PuO4 1.63 0.71 1.4 0.304575
Rb2UO4 1.63 0.73 1.4 0.304575
Cs2MnCl4 1.78 0.83 1.81 0.263803
CaPrCoO4 1.1795 0.61 1.4 0.304575
SrLaCoO4 1.263 0.61 1.4 0.304575
CaSmCoO4 1.1560000000000001 0.61 1.4 0.304575
Sr2MnO4 1.31 0.53 1.4 0.304575
SrPrAlO4 1.2445 0.535 1.4 0.304575
La2CoO4 1.216 0.745 1.4 0.304575
Ba2ZrO4 1.47 0.72 1.4 0.304575
Cs2PuO4 1.78 0.71 1.4 0.304575
Tl2NiF4 1.59 0.69 1.33 0.344443
Sr2FeO4 1.31 0.585 1.4 0.304575
GdLaCuO4 1.1615 0.73 1.4 0.304575
DySmCuO4 1.1075 0.73 1.4 0.304575
SrLaMnO4 1.263 0.645 1.4 0.304575
SmTbCuO4 1.1135000000000002 0.73 1.4 0.304575
BaSrSnO4 1.3900000000000001 0.69 1.4 0.304575
CaPrAlO4 1.1795 0.535 1.4 0.304575
CaYAlO4 1.1275 0.535 1.4 0.304575
DyEuCuO4 1.1015000000000001 0.73 1.4 0.304575
DyNdCuO4 1.123 0.73 1.4 0.304575
SrPrScO4 1.2445 0.745 1.4 0.304575
SrPrNiO4 1.2445 0.6 1.4 0.304575
SrNdVO4 1.2365 0.64 1.4 0.304575
KRbMnF4 1.5899999999999999 0.83 1.33 0.344443
SrGdFeO4 1.2085 0.645 1.4 0.304575
SrPrFeO4 1.2445 0.645 1.4 0.304575
SrLaCrO4 1.263 0.615 1.4 0.304575
CaGdAlO4 1.1435 0.535 1.4 0.304575
CaErAlO4 1.121 0.535 1.4 0.304575
KRbCuF4 1.5899999999999999 0.73 1.33 0.344443
SrGdAlO4 1.2085 0.535 1.4 0.304575
Sr2VO4 1.31 0.58 1.4 0.304575
Gd2NiO4 1.107 0.69 1.4 0.304575
SrLaAlO4 1.263 0.535 1.4 0.304575
SrLaGaO4 1.263 0.62 1.4 0.304575
NaDyTiO4 1.1615 0.605 1.4 0.304575
KLaTiO4 1.383 0.605 1.4 0.304575
SrGdCoO4 1.2085 0.61 1.4 0.304575
SrNdCoO4 1.2365 0.61 1.4 0.304575
SrSmCoO4 1.221 0.61 1.4 0.304575
SrDyCrO4 1.1965 0.615 1.4 0.304575
BaLaScO4 1.343 0.745 1.4 0.304575
BaLaMnO4 1.343 0.645 1.4 0.304575
BaLaFeO4 1.343 0.645 1.4 0.304575
CaLaAlO4 1.198 0.535 1.4 0.304575
CaNdAlO4 1.1715 0.535 1.4 0.304575
BaSrPbO4 1.3900000000000001 0.775 1.4 0.304575
NaLaTiO4 1.228 0.605 1.4 0.304575
SrPrGaO4 1.2445 0.62 1.4 0.304575
LaNdCuO4 1.1895 0.73 1.4 0.304575
SrGdVO4 1.2085 0.64 1.4 0.304575
NdTbCuO4 1.129 0.73 1.4 0.304575
PrTbCuO4 1.137 0.73 1.4 0.304575
CaLaFeO4 1.198 0.645 1.4 0.304575
Sr2IrO4 1.31 0.625 1.4 0.304575
SrNdAlO4 1.2365 0.535 1.4 0.304575
SrPrCrO4 1.2445 0.615 1.4 0.304575
Rb2MnBr4 1.63 0.83 1.96 0.2412578
Rb2HgF4 1.63 1.02 1.33 0.344443
K2MgF4 1.55 0.72 1.33 0.344443
Rb2MgCl4 1.63 0.72 1.81 0.263803
Cs2CuF4 1.78 0.73 1.33 0.344443
Sr2CrO4 1.31 0.55 1.4 0.304575
Cs2CaBr4 1.78 1.0 1.96 0.2412578
Ba2SnO4 1.47 0.69 1.4 0.304575
Ba2HfS4 1.47 0.71 1.84 0.23596
Cs2CaCl4 1.78 1.0 1.81 0.263803
Cs2HgF4 1.78 1.02 1.33 0.344443
Cs2MnF4 1.78 0.83 1.33 0.344443
NaNdTiO4 1.2015 0.605 1.4 0.304575
Eu2ZrO4 1.3 0.72 1.4 0.304575
Ca2GeO4 1.18 0.53 1.4 0.304575
Ba2HfO4 1.47 0.71 1.4 0.304575
Eu2VO4 1.3 0.58 1.4 0.304575
Rb2FeF4 1.63 0.78 1.33 0.344443
Cs2NpO4 1.78 0.72 1.4 0.304575
SrLaVO4 1.263 0.64 1.4 0.304575
Cs2CaF4 1.78 1.0 1.33 0.344443
NaTmTiO4 1.146 0.605 1.4 0.304575
NaYTiO4 1.1575 0.605 1.4 0.304575
SrNdNiO4 1.2365 0.6 1.4 0.304575
EuTbCuO4 1.1075 0.73 1.4 0.304575
Eu2TiO4 1.3 0.605 1.4 0.304575
EuSmAlO4 1.2160000000000002 0.535 1.4 0.304575
Rb2MnCl4 1.63 0.83 1.81 0.263803
Ba2PbO4 1.47 0.775 1.4 0.304575
Sr2HfO4 1.31 0.71 1.4 0.304575
SrGdCrO4 1.2085 0.615 1.4 0.304575
SrNdCrO4 1.2365 0.615 1.4 0.304575
SrGdNiO4 1.2085 0.6 1.4 0.304575
Rb2CuF4 1.63 0.73 1.33 0.344443
Rb2MgF4 1.63 0.72 1.33 0.344443
K2NiF4 1.55 0.69 1.33 0.344443
K2CoF4 1.55 0.745 1.33 0.344443
Rb2CoF4 1.63 0.745 1.33 0.344443
NaPrTiO4 1.2095 0.605 1.4 0.304575
Nd2CoO4 1.163 0.745 1.4 0.304575
Rb2MnCl2I2 1.63 0.83 2.005 0.2416603
Pr2CoO4 1.179 0.745 1.4 0.304575
Ba2RuO4 1.47 0.62 1.4 0.304575
Cs2CrO4 1.78 0.44 1.4 0.304575
Co2RuO4 0.9 0.62 1.4 0.304575
Co2SiO4 0.9 0.4 1.4 0.304575
Co2SnO4 0.9 0.69 1.4 0.304575
Na2BeCl4 1.24 0.45 1.81 0.263803
Li2BeCl4 0.92 0.45 1.81 0.263803
Ba2CrO4 1.47 0.55 1.4 0.304575
Cs2BeCl4 1.78 0.45 1.81 0.263803
Ba2TiS4 1.47 0.605 1.84 0.23596
Ba2SiS4 1.47 0.4 1.84 0.23596
Ba2GeS4 1.47 0.53 1.84 0.23596
Ba2GeO4 1.47 0.53 1.4 0.304575
K2BeCl4 1.55 0.45 1.81 0.263803
Ca2GeS4 1.18 0.53 1.84 0.23596
Cs2ZnI4 1.78 0.74 2.2 0.21951759999999998
Ba2TiO4 1.47 0.605 1.4 0.304575
Rb2CoCl4 1.63 0.745 1.81 0.263803
K2BaCl4 1.55 1.35 1.81 0.263803
Rb2BaBr4 1.63 1.35 1.96 0.2412578
Ho2CdS4 1.072 0.95 1.84 0.23596
La2CdS4 1.216 0.95 1.84 0.23596
Co2RhS4 0.9 0.6 1.84 0.23596
Co2VO4 0.9 0.58 1.4 0.304575
Co2TcO4 0.9 0.645 1.4 0.304575
Cs2CuBr4 1.78 0.73 1.96 0.2412578
Rb2BaCl4 1.63 1.35 1.81 0.263803
Sm2CdS4 1.1320000000000001 0.95 1.84 0.23596
Cs2WSe4 1.78 0.6 1.98 0.2240328
Sr2SiO4 1.31 0.4 1.4 0.304575
Zn2GeO4 0.9 0.53 1.4 0.304575
Lu2FeS4 1.032 0.78 1.84 0.23596
Fe2GeSe4 0.92 0.53 1.98 0.2240328
Mn2GeS4 0.96 0.53 1.84 0.23596
Mn2GeSe4 0.96 0.53 1.98 0.2240328
Ni2GeO4 0.69 0.53 1.4 0.304575
La2SrS4 1.216 1.18 1.84 0.23596
La2PbSe4 1.216 1.19 1.98 0.2240328
La2PbS4 1.216 1.19 1.84 0.23596
Sr2NiO2Cl2 1.31 0.69 1.605 0.284189
K2MoS4 1.55 0.59 1.84 0.23596
In2ZnS4 0.92 0.74 1.84 0.23596
In2MgO4 0.92 0.72 1.4 0.304575
Li2MoO4 0.92 0.59 1.4 0.304575
Sm2ZnO4 1.1320000000000001 0.74 1.4 0.304575
Cs2MnBr4 1.78 0.83 1.96 0.2412578
Na2MoO4 1.24 0.59 1.4 0.304575
LuNaSiO4 1.1360000000000001 0.4 1.4 0.304575
LiTmSiO4 0.986 0.4 1.4 0.304575
LiScSiO4 0.895 0.4 1.4 0.304575
LiInSiO4 0.92 0.4 1.4 0.304575
MgMnSiO4 0.925 0.4 1.4 0.304575
NaTbGeO4 1.1675 0.53 1.4 0.304575
MnZnGeO4 0.9299999999999999 0.53 1.4 0.304575
MgMnGeO4 0.925 0.53 1.4 0.304575
LuNaGeO4 1.1360000000000001 0.53 1.4 0.304575
LiYGeO4 0.9975 0.53 1.4 0.304575
NaTmGeO4 1.146 0.53 1.4 0.304575
NaSrVO4 1.275 0.54 1.4 0.304575
Cs2WS4 1.78 0.6 1.84 0.23596
Ce2CdSe4 1.196 0.95 1.98 0.2240328
Fe2CuO4 0.78 0.73 1.4 0.304575
EuPrCuO4 1.1495000000000002 0.73 1.4 0.304575
SmPrCuO4 1.1555 0.73 1.4 0.304575
SmGdCuO4 1.1195 0.73 1.4 0.304575
Eu2CuO4 1.12 0.73 1.4 0.304575
Ca2SiS4 1.18 0.4 1.84 0.23596
Yb2CaS4 1.042 1.0 1.84 0.23596
Tl2CoBr4 1.59 0.745 1.96 0.2412578
Cs2CoBr4 1.78 0.745 1.96 0.2412578
Cs2CdBr4 1.78 0.95 1.96 0.2412578
Bi2YbTe4 1.17 1.02 2.21 0.20569920000000003
Rh2BeO4 0.665 0.45 1.4 0.304575
Tl2BeF4 1.59 0.45 1.33 0.344443
EuNdCuO4 1.1415000000000002 0.73 1.4 0.304575
Ho2CaS4 1.072 1.0 1.84 0.23596
EuGdCuO4 1.1135000000000002 0.73 1.4 0.304575
Nd2CaS4 1.163 1.0 1.84 0.23596
K2BeF4 1.55 0.45 1.33 0.344443
Cs2BeF4 1.78 0.45 1.33 0.344443
Cr2BeO4 0.615 0.45 1.4 0.304575
Ho2CuO4 1.072 0.73 1.4 0.304575
In2CuO4 0.92 0.73 1.4 0.304575
Sm2CuO4 1.1320000000000001 0.73 1.4 0.304575
Y2CuO4 1.075 0.73 1.4 0.304575
Gd2PdO4 1.107 0.86 1.4 0.304575
Gd2CuO4 1.107 0.73 1.4 0.304575
La2PdO4 1.216 0.86 1.4 0.304575
Nd2PdO4 1.163 0.86 1.4 0.304575
Sm2PdO4 1.1320000000000001 0.86 1.4 0.304575
