Substance rA rB rX xX
Rb2ZnF4 1.63 0.74 1.33 0.344443
Ba2SnO4 1.47 0.69 1.4 0.304575
BaLaFeO4 1.343 0.645 1.4 0.304575
CaLaAlO4 1.198 0.535 1.4 0.304575
BaSrPbO4 1.39 0.775 1.4 0.304575
NaLaTiO4 1.228 0.605 1.4 0.304575
CaLaFeO4 1.198 0.645 1.4 0.304575
SrNdAlO4 1.2365 0.535 1.4 0.304575
Ba2HfS4 1.47 0.71 1.84 0.23596
SrGdCoO4 1.2085 0.61 1.4 0.304575
Cs2HgF4 1.78 1.02 1.33 0.344443
Ca2GeO4 1.18 0.53 1.4 0.304575
Eu2VO4 1.3 0.58 1.4 0.304575
EuTbCuO4 1.1075 0.73 1.4 0.304575
Rb2MnCl4 1.63 0.83 1.81 0.263803
Rb2NiF4 1.63 0.69 1.33 0.344443
SrSmCoO4 1.221 0.61 1.4 0.304575
Eu2TiO4 1.3 0.605 1.4 0.304575
SrLaAlO4 1.263 0.535 1.4 0.304575
CaPrCoO4 1.1795 0.61 1.4 0.304575
KRbCuF4 1.59 0.73 1.33 0.344443
Cs2TmCl4 1.78 1.03 1.81 0.263803
K2ZnF4 1.55 0.74 1.33 0.344443
Pr2CuO4 1.179 0.73 1.4 0.304575
CaHoAlO4 1.126 0.535 1.4 0.304575
K2UO4 1.55 0.73 1.4 0.304575
SrPrVO4 1.2445 0.64 1.4 0.304575
Ba2ZrO4 1.47 0.72 1.4 0.304575
SrPrFeO4 1.2445 0.645 1.4 0.304575
CaErAlO4 1.121 0.535 1.4 0.304575
BaSrSnO4 1.39 0.69 1.4 0.304575
Ca2SiO4 1.18 0.4 1.4 0.304575
SrGdFeO4 1.2085 0.645 1.4 0.304575
CaYAlO4 1.1275 0.535 1.4 0.304575
Tb2CdS4 1.095 0.95 1.84 0.23596
LiNaBeF4 1.08 0.45 1.33 0.344443
Mn2VO4 0.96 0.58 1.4 0.304575
Fe2SiS4 0.92 0.4 1.84 0.23596
K2PbCl4 1.55 1.19 1.81 0.263803
Ce2EuSe4 1.196 1.17 1.98 0.2240328
Pr2CdSe4 1.179 0.95 1.98 0.2240328
Tl2CoCl4 1.59 0.745 1.81 0.263803
Tm2MgSe4 1.052 0.72 1.98 0.2240328
MnNaAsO4 1.1 0.46 1.4 0.304575
Pr2EuSe4 1.179 1.17 1.98 0.2240328
Tm2CdS4 1.052 0.95 1.84 0.23596
LiScGeO4 0.895 0.53 1.4 0.304575
K2SrCl4 1.55 1.18 1.81 0.263803
CaNaAsO4 1.21 0.46 1.4 0.304575
K2WS4 1.55 0.6 1.84 0.23596
Cs2MoSe4 1.78 0.59 1.98 0.2240328
Mg2SiO4 0.89 0.4 1.4 0.304575
CoMnGeO4 0.93 0.53 1.4 0.304575
CaMnSiO4 1.0699999999999998 0.4 1.4 0.304575
KCaVO4 1.365 0.54 1.4 0.304575
Cs2MnI4 1.78 0.83 2.2 0.2195175999999999
Mg2PtO4 0.89 0.625 1.4 0.304575
Sc2ZnS4 0.87 0.74 1.84 0.23596
Rb2WSe4 1.63 0.6 1.98 0.2240328
Zn2ZrO4 0.9 0.72 1.4 0.304575
Zn2TiO4 0.9 0.605 1.4 0.304575
Fe2GeS4 0.92 0.53 1.84 0.23596
Tm2MnS4 1.052 0.83 1.84 0.23596
Fe2SiO4 0.92 0.4 1.4 0.304575
Eu2CuO4 1.12 0.73 1.4 0.304575
Mn2SiS4 0.96 0.4 1.84 0.23596
Rb2MoSe4 1.63 0.59 1.98 0.2240328
Co2SiO4 0.9 0.4 1.4 0.304575
Ba2TiS4 1.47 0.605 1.84 0.23596
Ba2GeS4 1.47 0.53 1.84 0.23596
Rb2CoCl4 1.63 0.745 1.81 0.263803
K2BaCl4 1.55 1.35 1.81 0.263803
La2CdS4 1.216 0.95 1.84 0.23596
Lu2FeS4 1.032 0.78 1.84 0.23596
Sr2NiO2Cl2 1.31 0.69 1.605 0.284189
K2MoS4 1.55 0.59 1.84 0.23596
Li2MoO4 0.92 0.59 1.4 0.304575
LiTmSiO4 0.986 0.4 1.4 0.304575
MgMnSiO4 0.925 0.4 1.4 0.304575
NaTbGeO4 1.1675 0.53 1.4 0.304575
EuNdCuO4 1.1415000000000002 0.73 1.4 0.304575
EuGdCuO4 1.1135000000000002 0.73 1.4 0.304575
Nd2CaS4 1.163 1.0 1.84 0.23596
Cr2BeO4 0.615 0.45 1.4 0.304575
Gd2PdO4 1.107 0.86 1.4 0.304575
Rb2CoBr4 1.63 0.745 1.96 0.2412578
La2EuSe4 1.216 1.17 1.98 0.2240328
Dy2YbS4 1.083 1.02 1.84 0.23596
In2CoS4 0.92 0.745 1.84 0.23596
Lu2CaO4 1.032 1.0 1.4 0.304575
Gd2CdTe4 1.107 0.95 2.21 0.2056992
Er2CdS4 1.062 0.95 1.84 0.23596
Cs2BaBr4 1.78 1.35 1.96 0.2412578
Rb2MnI4 1.63 0.83 2.2 0.2195175999999999
Yb2CaO4 1.042 1.0 1.4 0.304575
