Substance rA rB rX xX
Rb2MnF4 1.63 0.83 1.33 0.344443
NaYTiO4 1.1575 0.605 1.4 0.304575
SrGdVO4 1.2085 0.64 1.4 0.304575
PrTbCuO4 1.137 0.73 1.4 0.304575
Cs2CuF4 1.78 0.73 1.33 0.344443
Cs2CaBr4 1.78 1.0 1.96 0.2412578
Cs2CaCl4 1.78 1.0 1.81 0.263803
Cs2NpO4 1.78 0.72 1.4 0.304575
EuSmAlO4 1.2160000000000002 0.535 1.4 0.304575
BaLaMnO4 1.343 0.645 1.4 0.304575
SrGdCrO4 1.2085 0.615 1.4 0.304575
SrNdCrO4 1.2365 0.615 1.4 0.304575
SrGdNiO4 1.2085 0.6 1.4 0.304575
Rb2CuF4 1.63 0.73 1.33 0.344443
NaPrTiO4 1.2095 0.605 1.4 0.304575
Cs2CdCl4 1.78 0.95 1.81 0.263803
LaNdCuO4 1.1895 0.73 1.4 0.304575
K2CoF4 1.55 0.745 1.33 0.344443
BaLaScO4 1.343 0.745 1.4 0.304575
SrLaCoO4 1.263 0.61 1.4 0.304575
SrNdCoO4 1.2365 0.61 1.4 0.304575
EuLaAlO4 1.258 0.535 1.4 0.304575
SrTbCrO4 1.2025 0.615 1.4 0.304575
SrSmAlO4 1.221 0.535 1.4 0.304575
CaNdCoO4 1.1715 0.61 1.4 0.304575
Cs2UO4 1.78 0.73 1.4 0.304575
EuGdAlO4 1.2035 0.535 1.4 0.304575
GdLaCuO4 1.1615 0.73 1.4 0.304575
SrLaGaO4 1.263 0.62 1.4 0.304575
NaDyTiO4 1.1615 0.605 1.4 0.304575
DyEuCuO4 1.1015 0.73 1.4 0.304575
CaDyAlO4 1.1315 0.535 1.4 0.304575
KRbMnF4 1.59 0.83 1.33 0.344443
SrPrScO4 1.2445 0.745 1.4 0.304575
Yb2FeS4 1.14 0.645 1.84 0.23596
MnScGaS4 0.915 0.62 1.84 0.23596
Gd2MnS4 1.107 0.83 1.84 0.23596
Lu2MgS4 1.032 0.72 1.84 0.23596
K2CuCl4 1.55 0.73 1.81 0.263803
Cs2ZnCl4 1.78 0.74 1.81 0.263803
Cs2MgCl4 1.78 0.72 1.81 0.263803
Cs2CuCl4 1.78 0.73 1.81 0.263803
K2CoCl4 1.55 0.745 1.81 0.263803
Ce2SrSe4 1.196 1.18 1.98 0.2240328
Ce2PbSe4 1.196 1.19 1.98 0.2240328
Nd2CeS4 1.35 1.01 1.84 0.23596
CaYbInSe4 1.111 0.8 1.98 0.2240328
Ho2CdSe4 1.072 0.95 1.98 0.2240328
Mn2TiO4 0.96 0.605 1.4 0.304575
LiMnAsO4 0.94 0.46 1.4 0.304575
HoNaGeO4 1.156 0.53 1.4 0.304575
Fe2GeO4 0.92 0.53 1.4 0.304575
CdNaAsO4 1.17 0.46 1.4 0.304575
FeMnGeO4 0.94 0.53 1.4 0.304575
CaYbInS4 1.111 0.8 1.84 0.23596
Mn2SiO4 0.96 0.4 1.4 0.304575
Sc2MgS4 0.87 0.72 1.84 0.23596
Lu2MnSe4 1.032 0.83 1.98 0.2240328
Mg2TcO4 0.89 0.645 1.4 0.304575
KCaAsO4 1.365 0.46 1.4 0.304575
Tm2ZnS4 1.052 0.74 1.84 0.23596
Tb2YbS4 1.095 1.02 1.84 0.23596
Sc2MnS4 0.87 0.83 1.84 0.23596
Mn2NiO4 0.96 0.48 1.4 0.304575
Ce2CdSe4 1.196 0.95 1.98 0.2240328
La2CdTe4 1.216 0.95 2.21 0.2056992
Yb2CdSe4 1.042 0.95 1.98 0.2240328
Cs2CrO4 1.78 0.44 1.4 0.304575
Li2BeCl4 0.92 0.45 1.81 0.263803
Ba2CrO4 1.47 0.55 1.4 0.304575
Ba2TiO4 1.47 0.605 1.4 0.304575
Cs2CuBr4 1.78 0.73 1.96 0.2412578
Sr2SiO4 1.31 0.4 1.4 0.304575
Ni2GeO4 0.69 0.53 1.4 0.304575
In2ZnS4 0.92 0.74 1.84 0.23596
In2MgO4 0.92 0.72 1.4 0.304575
Sm2ZnO4 1.132 0.74 1.4 0.304575
Na2MoO4 1.24 0.59 1.4 0.304575
LiScSiO4 0.895 0.4 1.4 0.304575
LiYGeO4 0.9975 0.53 1.4 0.304575
SmPrCuO4 1.1555 0.73 1.4 0.304575
Ca2SiS4 1.18 0.4 1.84 0.23596
Cs2CoBr4 1.78 0.745 1.96 0.2412578
Cs2CdBr4 1.78 0.95 1.96 0.2412578
Tl2BeF4 1.59 0.45 1.33 0.344443
Sm2PdO4 1.132 0.86 1.4 0.304575
Mn2CoO4 0.96 0.53 1.4 0.304575
In2CrS4 0.92 0.8 1.84 0.23596
K2CrO4 1.55 0.44 1.4 0.304575
Er2CdSe4 1.062 0.95 1.98 0.2240328
Dy2CdS4 1.083 0.95 1.84 0.23596
Cs2CdI4 1.78 0.95 2.2 0.2195175999999999
Ce2CdS4 1.196 0.95 1.84 0.23596
Ca2SnS4 1.18 0.69 1.84 0.23596
Rb2WS4 1.63 0.6 1.84 0.23596
