Substance,Label,n,rA,rB,rX,nA,nB,nX,xX,fold_5
Sc2FeS4,0.0,1.0,0.87,0.78,1.84,3.0,2.0,-2.0,0.23596,train
Fe2SiS4,0.0,1.0,0.92,0.4,1.84,2.0,4.0,-2.0,0.23596,train
Yb2FeS4,0.0,1.0,1.14,0.645,1.84,2.5,3.0,-2.0,0.23596,train
Gd2MnS4,0.0,1.0,1.107,0.83,1.84,3.0,2.0,-2.0,0.23596,train
Gd2ZnS4,0.0,1.0,1.107,0.74,1.84,3.0,2.0,-2.0,0.23596,train
Lu2MgS4,0.0,1.0,1.032,0.72,1.84,3.0,2.0,-2.0,0.23596,train
K2PbCl4,0.0,1.0,1.55,1.19,1.81,1.0,2.0,-1.0,0.263803,train
K2CuCl4,0.0,1.0,1.55,0.73,1.81,1.0,2.0,-1.0,0.263803,train
Cd2SnO4,0.0,1.0,1.1,0.69,1.4,2.0,4.0,-2.0,0.304575,train
K2SrCl4,0.0,1.0,1.55,1.18,1.81,1.0,2.0,-1.0,0.263803,train
Ce2PbS4,0.0,1.0,1.196,1.19,1.84,3.0,2.0,-2.0,0.23596,train
Ce2EuSe4,0.0,1.0,1.196,1.17,1.98,3.0,2.0,-2.0,0.2240328,train
Ho2CdSe4,0.0,1.0,1.072,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Li2ZnCl4,0.0,1.0,0.92,0.74,1.81,1.0,2.0,-1.0,0.263803,train
Li2MgCl4,0.0,1.0,0.92,0.72,1.81,1.0,2.0,-1.0,0.263803,train
K2ZnCl4,0.0,1.0,1.55,0.74,1.81,1.0,2.0,-1.0,0.263803,train
Y2CdSe4,0.0,1.0,1.075,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Tm2CdSe4,0.0,1.0,1.052,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Tb2CdSe4,0.0,1.0,1.095,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Sm2CdSe4,0.0,1.0,1.132,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Yb2CdS4,0.0,1.0,1.042,0.95,1.84,3.0,2.0,-2.0,0.23596,train
Pr2CdSe4,0.0,1.0,1.179,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Nd2CdSe4,0.0,1.0,1.163,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Cs2ZnCl4,0.0,1.0,1.78,0.74,1.81,1.0,2.0,-1.0,0.263803,train
Cs2MgCl4,0.0,1.0,1.78,0.72,1.81,1.0,2.0,-1.0,0.263803,train
Cs2CuCl4,0.0,1.0,1.78,0.73,1.81,1.0,2.0,-1.0,0.263803,train
Tl2CoCl4,0.0,1.0,1.59,0.745,1.81,1.0,2.0,-1.0,0.263803,train
Na2CoCl4,0.0,1.0,1.24,0.745,1.81,1.0,2.0,-1.0,0.263803,train
Li2CoCl4,0.0,1.0,0.92,0.745,1.81,1.0,2.0,-1.0,0.263803,train
K2CoCl4,0.0,1.0,1.55,0.745,1.81,1.0,2.0,-1.0,0.263803,train
Ce2SrSe4,0.0,1.0,1.196,1.18,1.98,3.0,2.0,-2.0,0.2240328,train
Ce2YbS4,0.0,1.0,1.196,1.02,1.84,3.0,2.0,-2.0,0.23596,train
Ce2SrS4,0.0,1.0,1.196,1.18,1.84,3.0,2.0,-2.0,0.23596,train
Ce2PbSe4,0.0,1.0,1.196,1.19,1.98,3.0,2.0,-2.0,0.2240328,train
Nd2CeS4,0.0,1.0,1.35,1.01,1.84,2.5,3.0,-2.0,0.23596,train
CaYbInSe4,0.0,1.0,1.111,0.8,1.98,2.5,3.0,-2.0,0.2240328,train
Lu2CdSe4,0.0,1.0,1.032,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Y2MgSe4,0.0,1.0,1.075,0.72,1.98,3.0,2.0,-2.0,0.2240328,train
Tm2MgSe4,0.0,1.0,1.052,0.72,1.98,3.0,2.0,-2.0,0.2240328,train
MnNaAsO4,0.0,1.0,1.1,0.46,1.4,1.5,5.0,-2.0,0.304575,train
Pr2EuSe4,0.0,1.0,1.179,1.17,1.98,3.0,2.0,-2.0,0.2240328,train
Mn2GeO4,0.0,1.0,0.96,0.53,1.4,2.0,4.0,-2.0,0.304575,train
Dy2CaS4,0.0,1.0,1.083,1.0,1.84,3.0,2.0,-2.0,0.23596,train
Na2ZnBr4,0.0,1.0,1.24,0.74,1.96,1.0,2.0,-1.0,0.2412578,train
Li2ZnBr4,0.0,1.0,0.92,0.74,1.96,1.0,2.0,-1.0,0.2412578,train
Tm2CdS4,0.0,1.0,1.052,0.95,1.84,3.0,2.0,-2.0,0.23596,train
MnScGaS4,0.0,1.0,0.915,0.62,1.84,2.5,3.0,-2.0,0.23596,train
LiMnAsO4,0.0,1.0,0.94,0.46,1.4,1.5,5.0,-2.0,0.304575,train
Li2MnBr2Cl2,0.0,1.0,0.92,0.83,1.885,1.0,2.0,-1.0,0.2525304,train
LiScGeO4,0.0,1.0,0.895,0.53,1.4,2.0,4.0,-2.0,0.304575,train
LiInGeO4,0.0,1.0,0.92,0.53,1.4,2.0,4.0,-2.0,0.304575,train
HoNaGeO4,0.0,1.0,1.156,0.53,1.4,2.0,4.0,-2.0,0.304575,train
GdNaGeO4,0.0,1.0,1.1735,0.53,1.4,2.0,4.0,-2.0,0.304575,train
Fe2GeO4,0.0,1.0,0.92,0.53,1.4,2.0,4.0,-2.0,0.304575,train
RbBaVO4,0.0,1.0,1.5499999999999998,0.54,1.4,1.5,5.0,-2.0,0.304575,train
CdNaAsO4,0.0,1.0,1.17,0.46,1.4,1.5,5.0,-2.0,0.304575,train
LiNaBeF4,0.0,1.0,1.08,0.45,1.33,1.0,2.0,-1.0,0.344443,train
K2WS4,0.0,1.0,1.55,0.6,1.84,1.0,6.0,-2.0,0.23596,train
Cs2MoSe4,0.0,1.0,1.78,0.59,1.98,1.0,6.0,-2.0,0.2240328,train
Mg2SiO4,0.0,1.0,0.89,0.4,1.4,2.0,4.0,-2.0,0.304575,train
FeMnGeO4,0.0,1.0,0.94,0.53,1.4,2.0,4.0,-2.0,0.304575,train
EuNaGeO4,0.0,1.0,1.1800000000000002,0.53,1.4,2.0,4.0,-2.0,0.304575,train
ErNaGeO4,0.0,1.0,1.151,0.53,1.4,2.0,4.0,-2.0,0.304575,train
CoMnGeS4,0.0,1.0,0.93,0.53,1.84,2.0,4.0,-2.0,0.23596,train
CoMnGeO4,0.0,1.0,0.93,0.53,1.4,2.0,4.0,-2.0,0.304575,train
CaMnSiO4,0.0,1.0,1.0699999999999998,0.4,1.4,2.0,4.0,-2.0,0.304575,train
CaMgSiO4,0.0,1.0,1.035,0.4,1.4,2.0,4.0,-2.0,0.304575,train
KCaVO4,0.0,1.0,1.365,0.54,1.4,1.5,5.0,-2.0,0.304575,train
CaYbInS4,0.0,1.0,1.111,0.8,1.84,2.5,3.0,-2.0,0.23596,train
CaLaGaO4,0.0,1.0,1.198,0.62,1.4,2.5,3.0,-2.0,0.304575,train
KSrAsO4,0.0,1.0,1.4300000000000002,0.46,1.4,1.5,5.0,-2.0,0.304575,train
CaNaAsO4,0.0,1.0,1.21,0.46,1.4,1.5,5.0,-2.0,0.304575,train
Sc2MgSe4,0.0,1.0,0.87,0.72,1.98,3.0,2.0,-2.0,0.2240328,train
Cs2MnI4,0.0,1.0,1.78,0.83,2.2,1.0,2.0,-1.0,0.2195175999999999,train
Ni2RhS4,0.0,1.0,0.69,0.6,1.84,2.0,4.0,-2.0,0.23596,train
Mn2TiO4,0.0,1.0,0.96,0.605,1.4,2.0,4.0,-2.0,0.304575,train
Mn2SiO4,0.0,1.0,0.96,0.4,1.4,2.0,4.0,-2.0,0.304575,train
Sc2MgS4,0.0,1.0,0.87,0.72,1.84,3.0,2.0,-2.0,0.23596,train
Lu2MnSe4,0.0,1.0,1.032,0.83,1.98,3.0,2.0,-2.0,0.2240328,train
Lu2ZnS4,0.0,1.0,1.032,0.74,1.84,3.0,2.0,-2.0,0.23596,train
Mg2PtO4,0.0,1.0,0.89,0.625,1.4,2.0,4.0,-2.0,0.304575,train
Sc2MgO4,0.0,1.0,0.87,0.72,1.4,3.0,2.0,-2.0,0.304575,train
Mg2SnO4,0.0,1.0,0.89,0.69,1.4,2.0,4.0,-2.0,0.304575,train
Mg2TiO4,0.0,1.0,0.89,0.605,1.4,2.0,4.0,-2.0,0.304575,train
Tm2MgS4,0.0,1.0,1.052,0.72,1.84,3.0,2.0,-2.0,0.23596,train
Mn2ScO4,0.0,1.0,0.96,0.745,1.4,2.5,3.0,-2.0,0.304575,train
Mg2TcO4,0.0,1.0,0.89,0.645,1.4,2.0,4.0,-2.0,0.304575,train
Cs2MoS4,0.0,1.0,1.78,0.59,1.84,1.0,6.0,-2.0,0.23596,train
KCaAsO4,0.0,1.0,1.365,0.46,1.4,1.5,5.0,-2.0,0.304575,train
Yb2ZnS4,0.0,1.0,1.042,0.74,1.84,3.0,2.0,-2.0,0.23596,train
Tm2ZnS4,0.0,1.0,1.052,0.74,1.84,3.0,2.0,-2.0,0.23596,train
Tb2YbS4,0.0,1.0,1.095,1.02,1.84,3.0,2.0,-2.0,0.23596,train
Sc2ZnS4,0.0,1.0,0.87,0.74,1.84,3.0,2.0,-2.0,0.23596,train
Rb2WSe4,0.0,1.0,1.63,0.6,1.98,1.0,6.0,-2.0,0.2240328,train
Rb2WS4,0.0,1.0,1.63,0.6,1.84,1.0,6.0,-2.0,0.23596,train
Zn2ZrO4,0.0,1.0,0.9,0.72,1.4,2.0,4.0,-2.0,0.304575,train
Zn2TiO4,0.0,1.0,0.9,0.605,1.4,2.0,4.0,-2.0,0.304575,train
LiMgAsO4,0.0,1.0,0.905,0.46,1.4,1.5,5.0,-2.0,0.304575,train
Fe2GeS4,0.0,1.0,0.92,0.53,1.84,2.0,4.0,-2.0,0.23596,train
Y2YbS4,0.0,1.0,1.075,1.02,1.84,3.0,2.0,-2.0,0.23596,train
Yb2CaO4,0.0,1.0,1.042,1.0,1.4,3.0,2.0,-2.0,0.304575,train
Sr2RuO4,1.0,1.0,1.31,0.62,1.4,2.0,4.0,-2.0,0.304575,test
SrSmCrO4,1.0,1.0,1.221,0.615,1.4,2.5,3.0,-2.0,0.304575,test
Rb2NpO4,1.0,1.0,1.63,0.72,1.4,1.0,6.0,-2.0,0.304575,test
Sr2TiO4,1.0,1.0,1.31,0.605,1.4,2.0,4.0,-2.0,0.304575,test
Ba2IrO4,1.0,1.0,1.47,0.625,1.4,2.0,4.0,-2.0,0.304575,test
Cs2CrCl4,1.0,1.0,1.78,0.8,1.81,1.0,2.0,-1.0,0.263803,test
LaAgTiO4,1.0,1.0,1.248,0.605,1.4,2.0,4.0,-2.0,0.304575,test
K2NpO4,1.0,1.0,1.55,0.72,1.4,1.0,6.0,-2.0,0.304575,test
K2PuO4,1.0,1.0,1.55,0.71,1.4,1.0,6.0,-2.0,0.304575,test
Tl2CuF4,1.0,1.0,1.59,0.73,1.33,1.0,2.0,-1.0,0.344443,test
La2NiO4,1.0,1.0,1.216,0.69,1.4,3.0,2.0,-2.0,0.304575,test
Ca2MnO4,1.0,1.0,1.18,0.53,1.4,2.0,4.0,-2.0,0.304575,test
CaYCrO4,1.0,1.0,1.1275,0.615,1.4,2.5,3.0,-2.0,0.304575,test
CaCeMnO4,1.0,1.0,1.075,0.83,1.4,3.0,2.0,-2.0,0.304575,test
DyPrCuO4,1.0,1.0,1.131,0.73,1.4,3.0,2.0,-2.0,0.304575,test
EuLaCuO4,1.0,1.0,1.168,0.73,1.4,3.0,2.0,-2.0,0.304575,test
NaLuTiO4,1.0,1.0,1.136,0.605,1.4,2.0,4.0,-2.0,0.304575,test
CaEuAlO4,1.0,1.0,1.15,0.535,1.4,2.5,3.0,-2.0,0.304575,test
CeEuAlO4,1.0,1.0,1.248,0.535,1.4,2.5,3.0,-2.0,0.304575,test
SrNdGaO4,1.0,1.0,1.2365,0.62,1.4,2.5,3.0,-2.0,0.304575,test
SrCeVO4,1.0,1.0,1.253,0.64,1.4,2.5,3.0,-2.0,0.304575,test
CaSmAlO4,1.0,1.0,1.156,0.535,1.4,2.5,3.0,-2.0,0.304575,test
SrEuCoO4,1.0,1.0,1.215,0.61,1.4,2.5,3.0,-2.0,0.304575,test
CaLaCrO4,1.0,1.0,1.198,0.615,1.4,2.5,3.0,-2.0,0.304575,test
Sr2CoO4,1.0,1.0,1.31,0.53,1.4,2.0,4.0,-2.0,0.304575,test
Ba2ZrS4,1.0,1.0,1.47,0.72,1.84,2.0,4.0,-2.0,0.23596,test
NaSmTiO4,1.0,1.0,1.186,0.605,1.4,2.0,4.0,-2.0,0.304575,test
SrEuAlO4,1.0,1.0,1.215,0.535,1.4,2.5,3.0,-2.0,0.304575,test
EuPrAlO4,1.0,1.0,1.2395,0.535,1.4,2.5,3.0,-2.0,0.304575,test
K2MgCl4,1.0,1.0,1.55,0.72,1.81,1.0,2.0,-1.0,0.263803,test
SrLaScO4,1.0,1.0,1.263,0.745,1.4,2.5,3.0,-2.0,0.304575,test
K2FeF4,1.0,1.0,1.55,0.78,1.33,1.0,2.0,-1.0,0.344443,test
Tl2CoF4,1.0,1.0,1.59,0.745,1.33,1.0,2.0,-1.0,0.344443,test
K2MnF4,1.0,1.0,1.55,0.83,1.33,1.0,2.0,-1.0,0.344443,test
Ba2SiO4,0.0,1.0,1.47,0.4,1.4,2.0,4.0,-2.0,0.304575,test
Rb2ZnBr4,0.0,1.0,1.63,0.74,1.96,1.0,2.0,-1.0,0.2412578,test
Co2TiO4,0.0,1.0,0.9,0.605,1.4,2.0,4.0,-2.0,0.304575,test
Cs2HgCl4,0.0,1.0,1.78,1.02,1.81,1.0,2.0,-1.0,0.263803,test
In2FeS4,0.0,1.0,0.92,0.78,1.84,3.0,2.0,-2.0,0.23596,test
Fe2TiO4,0.0,1.0,0.92,0.605,1.4,2.0,4.0,-2.0,0.304575,test
K2WSe4,0.0,1.0,1.55,0.6,1.98,1.0,6.0,-2.0,0.2240328,test
In2MnSe4,0.0,1.0,0.92,0.83,1.98,3.0,2.0,-2.0,0.2240328,test
In2MnS4,0.0,1.0,0.92,0.83,1.84,3.0,2.0,-2.0,0.23596,test
In2MnO4,0.0,1.0,0.92,0.83,1.4,3.0,2.0,-2.0,0.304575,test
Cs2ZnBr4,0.0,1.0,1.78,0.74,1.96,1.0,2.0,-1.0,0.2412578,test
Zn2SnO4,0.0,1.0,0.9,0.69,1.4,2.0,4.0,-2.0,0.304575,test
NaYbGeO4,0.0,1.0,1.141,0.53,1.4,2.0,4.0,-2.0,0.304575,test
NaYGeO4,0.0,1.0,1.1575,0.53,1.4,2.0,4.0,-2.0,0.304575,test
NaSmGeO4,0.0,1.0,1.186,0.53,1.4,2.0,4.0,-2.0,0.304575,test
MnNiGeS4,0.0,1.0,0.825,0.53,1.84,2.0,4.0,-2.0,0.23596,test
Ag2MoO4,0.0,1.0,1.28,0.59,1.4,1.0,6.0,-2.0,0.304575,test
PrGdCuO4,0.0,1.0,1.143,0.73,1.4,3.0,2.0,-2.0,0.304575,test
Pr2CaS4,0.0,1.0,1.179,1.0,1.84,3.0,2.0,-2.0,0.23596,test
K2CoBr4,0.0,1.0,1.55,0.745,1.96,1.0,2.0,-1.0,0.2412578,test
Bi2EuTe4,0.0,1.0,1.17,1.17,2.21,3.0,2.0,-2.0,0.2056992,test
NdGaCuO4,0.0,1.0,0.8915,0.73,1.4,3.0,2.0,-2.0,0.304575,test
Rb2BeF4,0.0,1.0,1.63,0.45,1.33,1.0,2.0,-1.0,0.344443,test
Tm2CuO4,0.0,1.0,1.052,0.73,1.4,3.0,2.0,-2.0,0.304575,test
Na2ZnCl4,0.0,1.0,1.24,0.74,1.81,1.0,2.0,-1.0,0.263803,test
Gd2CrS4,0.0,1.0,1.107,0.8,1.84,3.0,2.0,-2.0,0.23596,test
Co2GeO4,0.0,1.0,0.9,0.53,1.4,2.0,4.0,-2.0,0.304575,test
Ni2CoS4,0.0,1.0,0.69,0.53,1.84,2.0,4.0,-2.0,0.23596,test
Gd2CdSe4,0.0,1.0,1.107,0.95,1.98,3.0,2.0,-2.0,0.2240328,test
Dy2CdSe4,0.0,1.0,1.083,0.95,1.98,3.0,2.0,-2.0,0.2240328,test
Li2ZnI4,0.0,1.0,0.92,0.74,2.2,1.0,2.0,-1.0,0.2195175999999999,test
Cd2GeO4,0.0,1.0,1.1,0.53,1.4,2.0,4.0,-2.0,0.304575,test
Yb2MnS4,0.0,1.0,1.042,0.83,1.84,3.0,2.0,-2.0,0.23596,test
Sc2MnSe4,0.0,1.0,0.87,0.83,1.98,3.0,2.0,-2.0,0.2240328,test
Rb2MoS4,0.0,1.0,1.63,0.59,1.84,1.0,6.0,-2.0,0.23596,test
Lu2MgSe4,0.0,1.0,1.032,0.72,1.98,3.0,2.0,-2.0,0.2240328,test
Ni2SnO4,0.0,1.0,0.69,0.69,1.4,2.0,4.0,-2.0,0.304575,test
Nd2ZnS4,0.0,1.0,1.163,0.74,1.84,3.0,2.0,-2.0,0.23596,test
Fe2SnS4,0.0,1.0,0.92,0.69,1.84,2.0,4.0,-2.0,0.23596,test
Mg2GeO4,0.0,1.0,0.89,0.53,1.4,2.0,4.0,-2.0,0.304575,test
La2SrSe4,0.0,1.0,1.216,1.18,1.98,3.0,2.0,-2.0,0.2240328,test
K2EuCl4,0.0,1.0,1.55,1.17,1.81,1.0,2.0,-1.0,0.263803,test
Rb2CrO4,0.0,1.0,1.63,0.44,1.4,1.0,6.0,-2.0,0.304575,test
Li2VCl4,0.0,1.0,0.92,0.79,1.81,1.0,2.0,-1.0,0.263803,test
Pr2CdS4,0.0,1.0,1.179,0.95,1.84,3.0,2.0,-2.0,0.23596,test
Nd2CdS4,0.0,1.0,1.163,0.95,1.84,3.0,2.0,-2.0,0.23596,test
Cs2CoCl4,0.0,1.0,1.78,0.745,1.81,1.0,2.0,-1.0,0.263803,test
Sm2CeS4,0.0,1.0,1.32,1.01,1.84,2.5,3.0,-2.0,0.23596,test
Yb2MgSe4,0.0,1.0,1.042,0.72,1.98,3.0,2.0,-2.0,0.2240328,test
Li2NiF4,0.0,1.0,0.92,0.69,1.33,1.0,2.0,-1.0,0.344443,test
NaSrAsO4,0.0,1.0,1.275,0.46,1.4,1.5,5.0,-2.0,0.304575,test
Ba2VO4,0.0,1.0,1.47,0.58,1.4,2.0,4.0,-2.0,0.304575,test
CaYGaO4,0.0,1.0,1.1275,0.62,1.4,2.5,3.0,-2.0,0.304575,test
Zn2PdO4,0.0,1.0,0.9,0.615,1.4,2.0,4.0,-2.0,0.304575,test
Mn2TcO4,0.0,1.0,0.96,0.645,1.4,2.0,4.0,-2.0,0.304575,test
Yb2MgS4,0.0,1.0,1.042,0.72,1.84,3.0,2.0,-2.0,0.23596,test
Ni2FeS4,0.0,1.0,0.69,0.645,1.84,2.5,3.0,-2.0,0.23596,test
NaBaAsO4,0.0,1.0,1.355,0.46,1.4,1.5,5.0,-2.0,0.304575,test
NaBaVO4,0.0,1.0,1.355,0.54,1.4,1.5,5.0,-2.0,0.304575,test
Sm2ZnS4,0.0,1.0,1.132,0.74,1.84,3.0,2.0,-2.0,0.23596,test
Pr2YbS4,0.0,1.0,1.179,1.02,1.84,3.0,2.0,-2.0,0.23596,test
