Substance,Label,n,rA,rB,rX,nA,nB,nX,xX,fold_5
CaGdAlO4,1.0,1.0,1.1435,0.535,1.4,2.5,3.0,-2.0,0.304575,train
CaErAlO4,1.0,1.0,1.121,0.535,1.4,2.5,3.0,-2.0,0.304575,train
KRbCuF4,1.0,1.0,1.59,0.73,1.33,1.0,2.0,-1.0,0.344443,train
SrGdAlO4,1.0,1.0,1.2085,0.535,1.4,2.5,3.0,-2.0,0.304575,train
Sr2VO4,1.0,1.0,1.31,0.58,1.4,2.0,4.0,-2.0,0.304575,train
Gd2NiO4,1.0,1.0,1.107,0.69,1.4,3.0,2.0,-2.0,0.304575,train
SrLaAlO4,1.0,1.0,1.263,0.535,1.4,2.5,3.0,-2.0,0.304575,train
SrLaGaO4,1.0,1.0,1.263,0.62,1.4,2.5,3.0,-2.0,0.304575,train
NaDyTiO4,1.0,1.0,1.1615,0.605,1.4,2.0,4.0,-2.0,0.304575,train
KLaTiO4,1.0,1.0,1.383,0.605,1.4,2.0,4.0,-2.0,0.304575,train
SrGdCoO4,1.0,1.0,1.2085,0.61,1.4,2.5,3.0,-2.0,0.304575,train
SrNdCoO4,1.0,1.0,1.2365,0.61,1.4,2.5,3.0,-2.0,0.304575,train
SrSmCoO4,1.0,1.0,1.221,0.61,1.4,2.5,3.0,-2.0,0.304575,train
SrDyCrO4,1.0,1.0,1.1965,0.615,1.4,2.5,3.0,-2.0,0.304575,train
BaLaScO4,1.0,1.0,1.343,0.745,1.4,2.5,3.0,-2.0,0.304575,train
BaLaMnO4,1.0,1.0,1.343,0.645,1.4,2.5,3.0,-2.0,0.304575,train
BaLaFeO4,1.0,1.0,1.343,0.645,1.4,2.5,3.0,-2.0,0.304575,train
CaLaAlO4,1.0,1.0,1.198,0.535,1.4,2.5,3.0,-2.0,0.304575,train
CaNdAlO4,1.0,1.0,1.1715,0.535,1.4,2.5,3.0,-2.0,0.304575,train
BaSrPbO4,1.0,1.0,1.39,0.775,1.4,2.0,4.0,-2.0,0.304575,train
NaLaTiO4,1.0,1.0,1.228,0.605,1.4,2.0,4.0,-2.0,0.304575,train
SrPrGaO4,1.0,1.0,1.2445,0.62,1.4,2.5,3.0,-2.0,0.304575,train
LaNdCuO4,1.0,1.0,1.1895,0.73,1.4,3.0,2.0,-2.0,0.304575,train
SrGdVO4,1.0,1.0,1.2085,0.64,1.4,2.5,3.0,-2.0,0.304575,train
NdTbCuO4,1.0,1.0,1.129,0.73,1.4,3.0,2.0,-2.0,0.304575,train
PrTbCuO4,1.0,1.0,1.137,0.73,1.4,3.0,2.0,-2.0,0.304575,train
CaLaFeO4,1.0,1.0,1.198,0.645,1.4,2.5,3.0,-2.0,0.304575,train
Sr2IrO4,1.0,1.0,1.31,0.625,1.4,2.0,4.0,-2.0,0.304575,train
SrNdAlO4,1.0,1.0,1.2365,0.535,1.4,2.5,3.0,-2.0,0.304575,train
SrPrCrO4,1.0,1.0,1.2445,0.615,1.4,2.5,3.0,-2.0,0.304575,train
Rb2MnBr4,1.0,1.0,1.63,0.83,1.96,1.0,2.0,-1.0,0.2412578,train
Rb2HgF4,1.0,1.0,1.63,1.02,1.33,1.0,2.0,-1.0,0.344443,train
K2MgF4,1.0,1.0,1.55,0.72,1.33,1.0,2.0,-1.0,0.344443,train
Rb2MgCl4,1.0,1.0,1.63,0.72,1.81,1.0,2.0,-1.0,0.263803,train
Cs2CuF4,1.0,1.0,1.78,0.73,1.33,1.0,2.0,-1.0,0.344443,train
Sr2CrO4,1.0,1.0,1.31,0.55,1.4,2.0,4.0,-2.0,0.304575,train
Cs2CaBr4,1.0,1.0,1.78,1.0,1.96,1.0,2.0,-1.0,0.2412578,train
Ba2SnO4,1.0,1.0,1.47,0.69,1.4,2.0,4.0,-2.0,0.304575,train
Ba2HfS4,1.0,1.0,1.47,0.71,1.84,2.0,4.0,-2.0,0.23596,train
Cs2CaCl4,1.0,1.0,1.78,1.0,1.81,1.0,2.0,-1.0,0.263803,train
Cs2HgF4,1.0,1.0,1.78,1.02,1.33,1.0,2.0,-1.0,0.344443,train
Cs2MnF4,1.0,1.0,1.78,0.83,1.33,1.0,2.0,-1.0,0.344443,train
NaNdTiO4,1.0,1.0,1.2015,0.605,1.4,2.0,4.0,-2.0,0.304575,train
Eu2ZrO4,1.0,1.0,1.3,0.72,1.4,2.0,4.0,-2.0,0.304575,train
Ca2GeO4,1.0,1.0,1.18,0.53,1.4,2.0,4.0,-2.0,0.304575,train
Ba2HfO4,1.0,1.0,1.47,0.71,1.4,2.0,4.0,-2.0,0.304575,train
Eu2VO4,1.0,1.0,1.3,0.58,1.4,2.0,4.0,-2.0,0.304575,train
Rb2FeF4,1.0,1.0,1.63,0.78,1.33,1.0,2.0,-1.0,0.344443,train
Cs2NpO4,1.0,1.0,1.78,0.72,1.4,1.0,6.0,-2.0,0.304575,train
SrLaVO4,1.0,1.0,1.263,0.64,1.4,2.5,3.0,-2.0,0.304575,train
Cs2CaF4,1.0,1.0,1.78,1.0,1.33,1.0,2.0,-1.0,0.344443,train
NaTmTiO4,1.0,1.0,1.146,0.605,1.4,2.0,4.0,-2.0,0.304575,train
NaYTiO4,1.0,1.0,1.1575,0.605,1.4,2.0,4.0,-2.0,0.304575,train
SrNdNiO4,1.0,1.0,1.2365,0.6,1.4,2.5,3.0,-2.0,0.304575,train
EuTbCuO4,1.0,1.0,1.1075,0.73,1.4,3.0,2.0,-2.0,0.304575,train
Eu2TiO4,1.0,1.0,1.3,0.605,1.4,2.0,4.0,-2.0,0.304575,train
EuSmAlO4,1.0,1.0,1.2160000000000002,0.535,1.4,2.5,3.0,-2.0,0.304575,train
Rb2MnCl4,1.0,1.0,1.63,0.83,1.81,1.0,2.0,-1.0,0.263803,train
Ba2PbO4,1.0,1.0,1.47,0.775,1.4,2.0,4.0,-2.0,0.304575,train
Sr2HfO4,1.0,1.0,1.31,0.71,1.4,2.0,4.0,-2.0,0.304575,train
SrGdCrO4,1.0,1.0,1.2085,0.615,1.4,2.5,3.0,-2.0,0.304575,train
SrNdCrO4,1.0,1.0,1.2365,0.615,1.4,2.5,3.0,-2.0,0.304575,train
SrGdNiO4,1.0,1.0,1.2085,0.6,1.4,2.5,3.0,-2.0,0.304575,train
Rb2CuF4,1.0,1.0,1.63,0.73,1.33,1.0,2.0,-1.0,0.344443,train
Rb2MgF4,1.0,1.0,1.63,0.72,1.33,1.0,2.0,-1.0,0.344443,train
K2NiF4,1.0,1.0,1.55,0.69,1.33,1.0,2.0,-1.0,0.344443,train
K2CoF4,1.0,1.0,1.55,0.745,1.33,1.0,2.0,-1.0,0.344443,train
Rb2CoF4,1.0,1.0,1.63,0.745,1.33,1.0,2.0,-1.0,0.344443,train
NaPrTiO4,1.0,1.0,1.2095,0.605,1.4,2.0,4.0,-2.0,0.304575,train
Nd2CoO4,1.0,1.0,1.163,0.745,1.4,3.0,2.0,-2.0,0.304575,train
Rb2MnCl2I2,1.0,1.0,1.63,0.83,2.005,1.0,2.0,-1.0,0.2416603,train
Pr2CoO4,1.0,1.0,1.179,0.745,1.4,3.0,2.0,-2.0,0.304575,train
Ba2RuO4,1.0,1.0,1.47,0.62,1.4,2.0,4.0,-2.0,0.304575,train
Cs2CrO4,0.0,1.0,1.78,0.44,1.4,1.0,6.0,-2.0,0.304575,train
Co2RuO4,0.0,1.0,0.9,0.62,1.4,2.0,4.0,-2.0,0.304575,train
Co2SiO4,0.0,1.0,0.9,0.4,1.4,2.0,4.0,-2.0,0.304575,train
Co2SnO4,0.0,1.0,0.9,0.69,1.4,2.0,4.0,-2.0,0.304575,train
Na2BeCl4,0.0,1.0,1.24,0.45,1.81,1.0,2.0,-1.0,0.263803,train
Li2BeCl4,0.0,1.0,0.92,0.45,1.81,1.0,2.0,-1.0,0.263803,train
Ba2CrO4,0.0,1.0,1.47,0.55,1.4,2.0,4.0,-2.0,0.304575,train
Cs2BeCl4,0.0,1.0,1.78,0.45,1.81,1.0,2.0,-1.0,0.263803,train
Ba2TiS4,0.0,1.0,1.47,0.605,1.84,2.0,4.0,-2.0,0.23596,train
Ba2SiS4,0.0,1.0,1.47,0.4,1.84,2.0,4.0,-2.0,0.23596,train
Ba2GeS4,0.0,1.0,1.47,0.53,1.84,2.0,4.0,-2.0,0.23596,train
Ba2GeO4,0.0,1.0,1.47,0.53,1.4,2.0,4.0,-2.0,0.304575,train
K2BeCl4,0.0,1.0,1.55,0.45,1.81,1.0,2.0,-1.0,0.263803,train
Ca2GeS4,0.0,1.0,1.18,0.53,1.84,2.0,4.0,-2.0,0.23596,train
Cs2ZnI4,0.0,1.0,1.78,0.74,2.2,1.0,2.0,-1.0,0.2195175999999999,train
Ba2TiO4,0.0,1.0,1.47,0.605,1.4,2.0,4.0,-2.0,0.304575,train
Rb2CoCl4,0.0,1.0,1.63,0.745,1.81,1.0,2.0,-1.0,0.263803,train
K2BaCl4,0.0,1.0,1.55,1.35,1.81,1.0,2.0,-1.0,0.263803,train
Rb2BaBr4,0.0,1.0,1.63,1.35,1.96,1.0,2.0,-1.0,0.2412578,train
Ho2CdS4,0.0,1.0,1.072,0.95,1.84,3.0,2.0,-2.0,0.23596,train
La2CdS4,0.0,1.0,1.216,0.95,1.84,3.0,2.0,-2.0,0.23596,train
Co2RhS4,0.0,1.0,0.9,0.6,1.84,2.0,4.0,-2.0,0.23596,train
Co2VO4,0.0,1.0,0.9,0.58,1.4,2.0,4.0,-2.0,0.304575,train
Co2TcO4,0.0,1.0,0.9,0.645,1.4,2.0,4.0,-2.0,0.304575,train
Cs2CuBr4,0.0,1.0,1.78,0.73,1.96,1.0,2.0,-1.0,0.2412578,train
Rb2BaCl4,0.0,1.0,1.63,1.35,1.81,1.0,2.0,-1.0,0.263803,train
Sm2CdS4,0.0,1.0,1.132,0.95,1.84,3.0,2.0,-2.0,0.23596,train
Cs2WSe4,0.0,1.0,1.78,0.6,1.98,1.0,6.0,-2.0,0.2240328,train
Sr2SiO4,0.0,1.0,1.31,0.4,1.4,2.0,4.0,-2.0,0.304575,train
Zn2GeO4,0.0,1.0,0.9,0.53,1.4,2.0,4.0,-2.0,0.304575,train
Lu2FeS4,0.0,1.0,1.032,0.78,1.84,3.0,2.0,-2.0,0.23596,train
Fe2GeSe4,0.0,1.0,0.92,0.53,1.98,2.0,4.0,-2.0,0.2240328,train
Mn2GeS4,0.0,1.0,0.96,0.53,1.84,2.0,4.0,-2.0,0.23596,train
Mn2GeSe4,0.0,1.0,0.96,0.53,1.98,2.0,4.0,-2.0,0.2240328,train
Ni2GeO4,0.0,1.0,0.69,0.53,1.4,2.0,4.0,-2.0,0.304575,train
La2SrS4,0.0,1.0,1.216,1.18,1.84,3.0,2.0,-2.0,0.23596,train
La2PbSe4,0.0,1.0,1.216,1.19,1.98,3.0,2.0,-2.0,0.2240328,train
La2PbS4,0.0,1.0,1.216,1.19,1.84,3.0,2.0,-2.0,0.23596,train
Sr2NiO2Cl2,0.0,1.0,1.31,0.69,1.605,2.0,2.0,-1.5,0.284189,train
K2MoS4,0.0,1.0,1.55,0.59,1.84,1.0,6.0,-2.0,0.23596,train
In2ZnS4,0.0,1.0,0.92,0.74,1.84,3.0,2.0,-2.0,0.23596,train
In2MgO4,0.0,1.0,0.92,0.72,1.4,3.0,2.0,-2.0,0.304575,train
Li2MoO4,0.0,1.0,0.92,0.59,1.4,1.0,6.0,-2.0,0.304575,train
Sm2ZnO4,0.0,1.0,1.132,0.74,1.4,3.0,2.0,-2.0,0.304575,train
