Substance,f.e,n,rA,rB,rX,xX,fold_3
CdNaAsO4,-0.6502302850000028,1.0,1.17,0.46,1.4,0.304575,train
LiNaBeF4,0.8759494683333351,1.0,1.08,0.45,1.33,0.344443,train
K2WS4,-1.6423924499999991,1.0,1.55,0.6,1.84,0.23596,train
Cs2MoSe4,-0.0814771899999975,1.0,1.78,0.59,1.98,0.2240328,train
Ba2VO4,-1.5928588999999995,1.0,1.47,0.58,1.4,0.304575,train
Mg2SiO4,1.9788634349999967,1.0,0.89,0.4,1.4,0.304575,train
FeMnGeO4,1.6266529133333345,1.0,0.94,0.53,1.4,0.304575,train
EuNaGeO4,-0.8597889897916673,1.0,1.1800000000000002,0.53,1.4,0.304575,train
ErNaGeO4,-0.6623619235416633,1.0,1.151,0.53,1.4,0.304575,train
CoMnGeS4,3.883173056666673,1.0,0.93,0.53,1.84,0.23596,train
CoMnGeO4,2.156842810833336,1.0,0.93,0.53,1.4,0.304575,train
CaMnSiO4,0.2937831450000026,1.0,1.0699999999999998,0.4,1.4,0.304575,train
KCaVO4,-1.3118316399999903,1.0,1.365,0.54,1.4,0.304575,train
CaYbInS4,2.7680648975000004,1.0,1.111,0.8,1.84,0.23596,train
CaYGaO4,0.4961377912500015,1.0,1.1275,0.62,1.4,0.304575,train
KSrAsO4,-2.178955110000004,1.0,1.4300000000000002,0.46,1.4,0.304575,train
CaNaAsO4,-1.6224150349999995,1.0,1.21,0.46,1.4,0.304575,train
Sc2MgSe4,3.918946432500002,1.0,0.87,0.72,1.98,0.2240328,train
Cs2MnI4,0.0819683199999996,1.0,1.78,0.83,2.2,0.2195175999999999,train
Zn2PdO4,3.696393539999999,1.0,0.9,0.615,1.4,0.304575,train
Mn2TiO4,0.6140886700000046,1.0,0.96,0.605,1.4,0.304575,train
Mn2TcO4,1.7058552475000006,1.0,0.96,0.645,1.4,0.304575,train
Mn2SiO4,0.7660795150000013,1.0,0.96,0.4,1.4,0.304575,train
Sc2MgS4,3.9813556325000032,1.0,0.87,0.72,1.84,0.23596,train
Lu2MnSe4,2.869335497499998,1.0,1.032,0.83,1.98,0.2240328,train
Lu2ZnS4,3.2171911792857104,1.0,1.032,0.74,1.84,0.23596,train
Mg2PtO4,4.383408849999995,1.0,0.89,0.625,1.4,0.304575,train
Sc2MgO4,3.3180104362500007,1.0,0.87,0.72,1.4,0.304575,train
Mn2ScO4,3.2169875831250003,1.0,0.96,0.745,1.4,0.304575,train
Yb2MgS4,2.74137705625,1.0,1.042,0.72,1.84,0.23596,train
Mg2TcO4,3.6833658274999976,1.0,0.89,0.645,1.4,0.304575,train
KCaAsO4,-1.612759790000002,1.0,1.365,0.46,1.4,0.304575,train
Ni2FeS4,4.403849280000003,1.0,0.69,0.645,1.84,0.23596,train
NaBaAsO4,-1.882663945000001,1.0,1.355,0.46,1.4,0.304575,train
NaBaVO4,-1.7605689750000018,1.0,1.355,0.54,1.4,0.304575,train
Yb2ZnS4,2.775455535535717,1.0,1.042,0.74,1.84,0.23596,train
Tm2ZnS4,2.352760628035715,1.0,1.052,0.74,1.84,0.23596,train
Tb2YbS4,3.961453507499998,1.0,1.095,1.02,1.84,0.23596,train
Sm2ZnS4,1.7480303367857148,1.0,1.132,0.74,1.84,0.23596,train
Sc2ZnS4,4.266059881785712,1.0,0.87,0.74,1.84,0.23596,train
Rb2WSe4,-1.546175390000002,1.0,1.63,0.6,1.98,0.2240328,train
Rb2WS4,-1.8484376900000008,1.0,1.63,0.6,1.84,0.23596,train
Pr2YbS4,3.3311983575000017,1.0,1.179,1.02,1.84,0.23596,train
Zn2ZrO4,3.743927270000004,1.0,0.9,0.72,1.4,0.304575,train
Zn2TiO4,2.60036551,1.0,0.9,0.605,1.4,0.304575,train
Fe2GeS4,4.833649256666666,1.0,0.92,0.53,1.84,0.23596,train
Y2YbS4,4.126161394999999,1.0,1.075,1.02,1.84,0.23596,train
Yb2CaO4,2.5864123524999965,1.0,1.042,1.0,1.4,0.304575,train
Cs2AgF4,-0.5137445550000006,1.0,1.78,0.94,1.33,0.344443,test
Sr2SnO4,-0.7724194700000027,1.0,1.31,0.69,1.4,0.304575,test
Rb2CdCl4,-0.0779500999999989,1.0,1.63,0.95,1.81,0.263803,test
SrCeAlO4,-0.4001949831250009,1.0,1.253,0.535,1.4,0.304575,test
SrEuCrO4,-1.0653709656250037,1.0,1.215,0.615,1.4,0.304575,test
Rb2PuO4,-3.739536819999998,1.0,1.63,0.71,1.4,0.304575,test
Rb2UO4,-3.544043100000003,1.0,1.63,0.73,1.4,0.304575,test
Sr2MnO4,-1.3532722016666696,1.0,1.31,0.53,1.4,0.304575,test
DySmCuO4,1.070966680000005,1.0,1.1075,0.73,1.4,0.304575,test
SrLaMnO4,-0.5815694531249918,1.0,1.263,0.645,1.4,0.304575,test
SmTbCuO4,1.0661782381250011,1.0,1.1135000000000002,0.73,1.4,0.304575,test
CaPrAlO4,-0.2504974412499976,1.0,1.1795,0.535,1.4,0.304575,test
SrPrNiO4,-1.166611118749998,1.0,1.2445,0.6,1.4,0.304575,test
CaGdAlO4,-0.2573308525000009,1.0,1.1435,0.535,1.4,0.304575,test
Gd2NiO4,0.6139985924999962,1.0,1.107,0.69,1.4,0.304575,test
KLaTiO4,-1.289652473124999,1.0,1.383,0.605,1.4,0.304575,test
SrDyCrO4,-0.0318331762499966,1.0,1.1965,0.615,1.4,0.304575,test
CaNdAlO4,-0.1390941431249963,1.0,1.1715,0.535,1.4,0.304575,test
Sr2IrO4,-0.2473477299999977,1.0,1.31,0.625,1.4,0.304575,test
Rb2MnBr4,0.9141699699999996,1.0,1.63,0.83,1.96,0.2412578,test
Rb2HgF4,-0.0309647400000017,1.0,1.63,1.02,1.33,0.344443,test
K2MgF4,-0.4662300450000032,1.0,1.55,0.72,1.33,0.344443,test
Rb2MgCl4,-0.2677291400000001,1.0,1.63,0.72,1.81,0.263803,test
Sr2CrO4,-1.1247123249999973,1.0,1.31,0.55,1.4,0.304575,test
Cs2MnF4,-0.4637677449999984,1.0,1.78,0.83,1.33,0.344443,test
Eu2ZrO4,0.1176586000000092,1.0,1.3,0.72,1.4,0.304575,test
Ba2HfO4,-1.4125517674999983,1.0,1.47,0.71,1.4,0.304575,test
SrLaVO4,-0.683491815625004,1.0,1.263,0.64,1.4,0.304575,test
Cs2CaF4,0.0125894999999971,1.0,1.78,1.0,1.33,0.344443,test
NaTmTiO4,-0.2895258256249988,1.0,1.146,0.605,1.4,0.304575,test
SrNdNiO4,-0.9290180906250036,1.0,1.2365,0.6,1.4,0.304575,test
Sr2HfO4,-0.6481336375000026,1.0,1.31,0.71,1.4,0.304575,test
Nd2CoO4,0.26318267125,1.0,1.163,0.745,1.4,0.304575,test
Pr2CoO4,0.3632590850000028,1.0,1.179,0.745,1.4,0.304575,test
Co2RuO4,3.365491655,1.0,0.9,0.62,1.4,0.304575,test
Na2BeCl4,1.5523248450000011,1.0,1.24,0.45,1.81,0.263803,test
Cs2BeCl4,0.8687276950000005,1.0,1.78,0.45,1.81,0.263803,test
Ba2SiS4,0.5900563649999988,1.0,1.47,0.4,1.84,0.23596,test
Cs2ZnI4,0.352812235,1.0,1.78,0.74,2.2,0.2195175999999999,test
Ho2CdS4,3.4023319200000035,1.0,1.072,0.95,1.84,0.23596,test
Co2RhS4,5.096545050000003,1.0,0.9,0.6,1.84,0.23596,test
Co2VO4,2.5160923649999987,1.0,0.9,0.58,1.4,0.304575,test
Mn2GeSe4,3.258171945000001,1.0,0.96,0.53,1.98,0.2240328,test
La2SrS4,4.0737779325000005,1.0,1.216,1.18,1.84,0.23596,test
Cs2MnBr4,1.146636109999999,1.0,1.78,0.83,1.96,0.2412578,test
LiInSiO4,1.4832836356249963,1.0,0.92,0.4,1.4,0.304575,test
NaSrVO4,-1.7826923650000026,1.0,1.275,0.54,1.4,0.304575,test
Cs2WS4,-1.870416764999998,1.0,1.78,0.6,1.84,0.23596,test
Fe2CuO4,3.819552747500001,1.0,0.78,0.73,1.4,0.304575,test
EuPrCuO4,0.2323505731250001,1.0,1.1495000000000002,0.73,1.4,0.304575,test
Ho2CaS4,4.64414363,1.0,1.072,1.0,1.84,0.23596,test
Cs2BeF4,0.777900118333335,1.0,1.78,0.45,1.33,0.344443,test
In2CuO4,3.0799509037499995,1.0,0.92,0.73,1.4,0.304575,test
Sm2CuO4,0.9854690349999976,1.0,1.132,0.73,1.4,0.304575,test
Gd2CuO4,1.001458377499997,1.0,1.107,0.73,1.4,0.304575,test
La2CaS4,2.7787361425,1.0,1.216,1.0,1.84,0.23596,test
Cu2GeO4,3.4443247983333336,1.0,0.73,0.53,1.4,0.304575,test
Cs2CoI4,0.4858121299999993,1.0,1.78,0.745,2.2,0.2195175999999999,test
Pr2EuS4,3.824905912500004,1.0,1.179,1.17,1.84,0.23596,test
Eu2ZnO4,1.0054834137499995,1.0,1.12,0.74,1.4,0.304575,test
Eu2SiO4,-0.2540888149999958,1.0,1.3,0.4,1.4,0.304575,test
Er2MgSe4,2.1789428225,1.0,1.062,0.72,1.98,0.2240328,test
Dy2CdTe4,3.443128022499999,1.0,1.083,0.95,2.21,0.2056992,test
FeMnSiO4,1.3442468850000076,1.0,0.94,0.4,1.4,0.304575,test
Mn2SiSe4,3.423557009999996,1.0,0.96,0.4,1.98,0.2240328,test
Yb2MnSe4,0.4243611087499968,1.0,1.042,0.83,1.98,0.2240328,test
Na2WO4,-1.91884048,1.0,1.24,0.6,1.4,0.304575,test
V2FeO4,3.6193372099999976,1.0,0.79,0.645,1.4,0.304575,test
La2CdSe4,2.4162345825000022,1.0,1.216,0.95,1.98,0.2240328,test
Zn2PtO4,4.32834626,1.0,0.9,0.625,1.4,0.304575,test
Nd2YbS4,3.252855670000004,1.0,1.163,1.02,1.84,0.23596,test
Mg2GeS4,4.257243096666668,1.0,0.89,0.53,1.84,0.23596,test
Ce2PbS4,4.518610092500001,1.0,1.196,1.19,1.84,0.23596,test
Li2ZnCl4,1.7028799250000013,1.0,0.92,0.74,1.81,0.263803,test
Li2MgCl4,1.6533578099999993,1.0,0.92,0.72,1.81,0.263803,test
K2ZnCl4,0.130322774999998,1.0,1.55,0.74,1.81,0.263803,test
Y2CdSe4,3.779203455,1.0,1.075,0.95,1.98,0.2240328,test
Tm2CdSe4,3.311267862500002,1.0,1.052,0.95,1.98,0.2240328,test
Yb2CdS4,3.3983081162500017,1.0,1.042,0.95,1.84,0.23596,test
Li2CoCl4,1.7074215200000005,1.0,0.92,0.745,1.81,0.263803,test
Ce2YbS4,3.277603817500003,1.0,1.196,1.02,1.84,0.23596,test
Lu2CdSe4,4.6038219725,1.0,1.032,0.95,1.98,0.2240328,test
Y2MgSe4,2.5525718549999983,1.0,1.075,0.72,1.98,0.2240328,test
Mn2GeO4,0.786472323333335,1.0,0.96,0.53,1.4,0.304575,test
Na2ZnBr4,1.2205459818750004,1.0,1.24,0.74,1.96,0.2412578,test
LiInGeO4,1.4473892339583294,1.0,0.92,0.53,1.4,0.304575,test
RbBaVO4,-2.074346239999993,1.0,1.5499999999999998,0.54,1.4,0.304575,test
CaMgSiO4,0.9574832549999996,1.0,1.035,0.4,1.4,0.304575,test
CaLaGaO4,-0.0568935306249951,1.0,1.198,0.62,1.4,0.304575,test
Ni2RhS4,5.036746696666668,1.0,0.69,0.6,1.84,0.23596,test
Mg2SnO4,3.987529249999998,1.0,0.89,0.69,1.4,0.304575,test
Mg2TiO4,2.5526523899999987,1.0,0.89,0.605,1.4,0.304575,test
Tm2MgS4,2.261762738749999,1.0,1.052,0.72,1.84,0.23596,test
Cs2MoS4,-0.6282958749999992,1.0,1.78,0.59,1.84,0.23596,test
LiMgAsO4,0.8785474499999957,1.0,0.905,0.46,1.4,0.304575,test
