Substance,f.e,n,rA,rB,rX,xX,fold_3
SrNdGaO4,-0.0529653306249944,1.0,1.2365,0.62,1.4,0.304575,train
NaDyTiO4,-0.528971033750004,1.0,1.1615,0.605,1.4,0.304575,train
SrGdCoO4,-0.7318636099999978,1.0,1.2085,0.61,1.4,0.304575,train
SrNdCoO4,-0.7848141406249951,1.0,1.2365,0.61,1.4,0.304575,train
SrSmCoO4,-0.8737254212500005,1.0,1.221,0.61,1.4,0.304575,train
SrCeVO4,-0.5331168056249957,1.0,1.253,0.64,1.4,0.304575,train
BaLaScO4,-0.0948108249999997,1.0,1.343,0.745,1.4,0.304575,train
BaLaMnO4,-0.5846533731249934,1.0,1.343,0.645,1.4,0.304575,train
BaLaFeO4,-0.654897580624997,1.0,1.343,0.645,1.4,0.304575,train
CaLaAlO4,-0.389251053124994,1.0,1.198,0.535,1.4,0.304575,train
CaSmAlO4,-0.2523388137499971,1.0,1.156,0.535,1.4,0.304575,train
BaSrPbO4,-0.8035412400000013,1.0,1.39,0.775,1.4,0.304575,train
NaLaTiO4,-1.2390752781249963,1.0,1.228,0.605,1.4,0.304575,train
SrPrGaO4,-0.1693192387500044,1.0,1.2445,0.62,1.4,0.304575,train
LaNdCuO4,0.5855813362500015,1.0,1.1895,0.73,1.4,0.304575,train
SrGdVO4,-0.226593685000001,1.0,1.2085,0.64,1.4,0.304575,train
NdTbCuO4,0.9468991987499996,1.0,1.129,0.73,1.4,0.304575,train
SrEuCoO4,-1.0438948856250043,1.0,1.215,0.61,1.4,0.304575,train
PrTbCuO4,0.9888087206249984,1.0,1.137,0.73,1.4,0.304575,train
CaLaFeO4,-0.2388061106249992,1.0,1.198,0.645,1.4,0.304575,train
CaLaCrO4,-0.258476630625001,1.0,1.198,0.615,1.4,0.304575,train
SrNdAlO4,-0.321620483125006,1.0,1.2365,0.535,1.4,0.304575,train
SrPrCrO4,-0.4207406687499961,1.0,1.2445,0.615,1.4,0.304575,train
Cs2CuF4,-0.5763013749999999,1.0,1.78,0.73,1.33,0.344443,train
Sr2CoO4,-0.8648800849999958,1.0,1.31,0.53,1.4,0.304575,train
Ba2ZrS4,-0.4588459299999989,1.0,1.47,0.72,1.84,0.23596,train
Cs2CaBr4,-0.2360434100000024,1.0,1.78,1.0,1.96,0.2412578,train
Ba2SnO4,-1.523318800000002,1.0,1.47,0.69,1.4,0.304575,train
Ba2HfS4,-0.495197080000004,1.0,1.47,0.71,1.84,0.23596,train
Cs2CaCl4,-0.4004082499999981,1.0,1.78,1.0,1.81,0.263803,train
Cs2HgF4,-0.1518700699999975,1.0,1.78,1.02,1.33,0.344443,train
NaNdTiO4,-1.023072628125,1.0,1.2015,0.605,1.4,0.304575,train
Ca2GeO4,-0.666877666666668,1.0,1.18,0.53,1.4,0.304575,train
Eu2VO4,-1.5962641799999986,1.0,1.3,0.58,1.4,0.304575,train
Rb2FeF4,-0.4138845199999998,1.0,1.63,0.78,1.33,0.344443,train
Cs2NpO4,-3.414155320000006,1.0,1.78,0.72,1.4,0.304575,train
NaSmTiO4,-0.8064394987500023,1.0,1.186,0.605,1.4,0.304575,train
NaYTiO4,-0.5423732562499985,1.0,1.1575,0.605,1.4,0.304575,train
EuTbCuO4,0.6851487337500011,1.0,1.1075,0.73,1.4,0.304575,train
Eu2TiO4,-1.3020001500000014,1.0,1.3,0.605,1.4,0.304575,train
SrEuAlO4,-0.3870274181250082,1.0,1.215,0.535,1.4,0.304575,train
EuSmAlO4,-0.7444868037500036,1.0,1.2160000000000002,0.535,1.4,0.304575,train
EuPrAlO4,-0.4264648212500006,1.0,1.2395,0.535,1.4,0.304575,train
Rb2MnCl4,-0.1494777200000001,1.0,1.63,0.83,1.81,0.263803,train
K2MgCl4,0.1836121299999984,1.0,1.55,0.72,1.81,0.263803,train
Ba2PbO4,-1.3877732800000049,1.0,1.47,0.775,1.4,0.304575,train
SrGdCrO4,-0.2751355700000104,1.0,1.2085,0.615,1.4,0.304575,train
SrNdCrO4,-0.2857608506250031,1.0,1.2365,0.615,1.4,0.304575,train
SrGdNiO4,4.410872909999998,1.0,1.2085,0.6,1.4,0.304575,train
SrLaScO4,0.0778520150000012,1.0,1.263,0.745,1.4,0.304575,train
K2FeF4,-0.3067246699999977,1.0,1.55,0.78,1.33,0.344443,train
Rb2CuF4,-0.7068977550000035,1.0,1.63,0.73,1.33,0.344443,train
