Substance f.e rA rB rX xX
Sr2RuO4 -0.7413689499999947 1.31 0.62 1.4 0.304575
SrSmCrO4 -0.4580233012499946 1.221 0.615 1.4 0.304575
Cs2YbCl4 -0.3513746349999991 1.78 1.02 1.81 0.263803
SrTbFeO4 -0.0831388481249959 1.2025 0.645 1.4 0.304575
La2CuO4 0.1370280762500009 1.216 0.73 1.4 0.304575
Rb2ZnF4 -0.6077385300000024 1.63 0.74 1.33 0.344443
Rb2NiF4 -0.56117083 1.63 0.69 1.33 0.344443
Rb2MnF4 -0.4206319749999991 1.63 0.83 1.33 0.344443
Tl2UO4 -0.9002159750000018 1.59 0.73 1.4 0.304575
Rb2NpO4 -3.734476540000003 1.63 0.72 1.4 0.304575
Rb2MnBr2Cl2 0.1305074350000019 1.63 0.83 1.885 0.2525304
Sr2TiO4 -1.4499136499999956 1.31 0.605 1.4 0.304575
Sr2RhO4 -0.4577036649999968 1.31 0.6 1.4 0.304575
Ba2IrO4 -0.8215249200000017 1.47 0.625 1.4 0.304575
Ca2SiO4 -0.4933149050000018 1.18 0.4 1.4 0.304575
Cs2CdCl4 -0.3025700900000014 1.78 0.95 1.81 0.263803
Cs2CrCl4 -0.3350831100000029 1.78 0.8 1.81 0.263803
SrTbVO4 -0.1348327031250065 1.2025 0.64 1.4 0.304575
LaAgTiO4 -0.1640200656249959 1.248 0.605 1.4 0.304575
CaDyAlO4 -0.0483046287499995 1.1315 0.535 1.4 0.304575
SrPrVO4 -0.5171969737499964 1.2445 0.64 1.4 0.304575
EuGdAlO4 -0.3664590924999977 1.2035 0.535 1.4 0.304575
EuLaAlO4 -0.4973257931250003 1.258 0.535 1.4 0.304575
EuNdAlO4 -0.4447730831250034 1.2315 0.535 1.4 0.304575
SrTbCrO4 -0.1614070281250086 1.2025 0.615 1.4 0.304575
SrEuVO4 -1.498606480000003 1.3050000000000002 0.58 1.4 0.304575
Cs2TmCl4 -0.2843709437499981 1.78 1.03 1.81 0.263803
K2ZnF4 -0.5190239400000003 1.55 0.74 1.33 0.344443
K2NpO4 -3.53853796 1.55 0.72 1.4 0.304575
Pr2CuO4 0.605921519999999 1.179 0.73 1.4 0.304575
K2PuO4 -3.561435269999997 1.55 0.71 1.4 0.304575
Nd2CuO4 0.4898627562500017 1.163 0.73 1.4 0.304575
CaHoAlO4 -0.1199629268750008 1.126 0.535 1.4 0.304575
SrSmAlO4 -0.3640061737499955 1.221 0.535 1.4 0.304575
CaNdCoO4 -0.4740106106249939 1.1715 0.61 1.4 0.304575
Tl2CuF4 -0.4882982700000013 1.59 0.73 1.33 0.344443
Cs2UO4 -3.239797240000001 1.78 0.73 1.4 0.304575
K2UO4 -3.350565209999999 1.55 0.73 1.4 0.304575
Sr2MoO4 -1.3111372099999985 1.31 0.65 1.4 0.304575
Nd2NiO4 0.1314144512500021 1.163 0.69 1.4 0.304575
Cs2MnCl4 0.2484328900000001 1.78 0.83 1.81 0.263803
CaPrCoO4 -0.603248008749997 1.1795 0.61 1.4 0.304575
SrLaCoO4 -1.023901540624994 1.263 0.61 1.4 0.304575
CaSmCoO4 -0.5707407112499965 1.156 0.61 1.4 0.304575
SrPrAlO4 -0.4674866912499951 1.2445 0.535 1.4 0.304575
La2NiO4 -0.1647227287500001 1.216 0.69 1.4 0.304575
La2CoO4 -0.0029236587499994 1.216 0.745 1.4 0.304575
Ba2ZrO4 -1.295473389999998 1.47 0.72 1.4 0.304575
Ca2MnO4 -0.6326593416666704 1.18 0.53 1.4 0.304575
Cs2PuO4 -3.500448139999996 1.78 0.71 1.4 0.304575
Tl2NiF4 -0.3254218049999995 1.59 0.69 1.33 0.344443
Sr2FeO4 -1.3175370999999956 1.31 0.585 1.4 0.304575
GdLaCuO4 0.5531150368749991 1.1615 0.73 1.4 0.304575
CaYCrO4 0.2984832912499975 1.1275 0.615 1.4 0.304575
CaCeMnO4 0.2114671600000051 1.075 0.83 1.4 0.304575
BaSrSnO4 -1.0634615899999993 1.39 0.69 1.4 0.304575
CaYAlO4 -0.0786252812499981 1.1275 0.535 1.4 0.304575
DyEuCuO4 0.7804039956249902 1.1015 0.73 1.4 0.304575
DyNdCuO4 0.9468769106249936 1.123 0.73 1.4 0.304575
DyPrCuO4 1.0714502324999948 1.131 0.73 1.4 0.304575
EuLaCuO4 0.2431159612500018 1.168 0.73 1.4 0.304575
NaLuTiO4 -0.2212803131249998 1.136 0.605 1.4 0.304575
SrPrScO4 0.4339365468750067 1.2445 0.745 1.4 0.304575
SrNdVO4 -0.5682500656249978 1.2365 0.64 1.4 0.304575
KRbMnF4 -0.259308254999997 1.59 0.83 1.33 0.344443
SrGdFeO4 -0.2590706099999984 1.2085 0.645 1.4 0.304575
SrPrFeO4 -0.3388313087499952 1.2445 0.645 1.4 0.304575
SrLaCrO4 -0.7545976606249987 1.263 0.615 1.4 0.304575
CaEuAlO4 -0.2057340581250031 1.15 0.535 1.4 0.304575
CaErAlO4 -0.0020797418749971 1.121 0.535 1.4 0.304575
