Substance,Label,rp,f.e,Compound,Type,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train
CaNdCoO4,1.0,1.7860812392770296,-0.4740106106249939,CaNdCoO4,RP,1.0,1.83,1.786081239,1.0,Ca,Nd,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.1715,0.61,1.4,2.5,3.0,-2.0,0.14597545,0.1432363,0.304575,5.8190776,7.88101,13.618054,4.0,9.0,6.0,Handbook,True
Cs2UO4,1.0,1.553041676891758,-3.239797240000001,Cs2UO4,RP,1.0,1.83,1.553041677,1.0,Cs,Cs,U,U,O,O,9.0,9.0,6.0,6.0,6.0,1.78,0.73,1.4,1.0,6.0,-2.0,0.1542125,0.13207,0.304575,3.893905548,6.19405,13.618054,1.0,6.0,6.0,Handbook,True
K2UO4,1.0,1.6066601433794372,-3.350565209999999,K2UO4,RP,1.0,1.83,1.606660143,1.0,K,K,U,U,O,O,9.0,9.0,6.0,6.0,6.0,1.55,0.73,1.4,1.0,6.0,-2.0,0.0981896,0.13207,0.304575,4.34066354,6.19405,13.618054,1.0,6.0,6.0,Handbook,True
Sr2MoO4,1.0,1.7137965454331785,-1.3111372099999985,Sr2MoO4,RP,1.0,1.83,1.713796545,1.0,Sr,Sr,Mo,Mo,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.65,1.4,2.0,4.0,-2.0,0.1185082,0.1312672,0.304575,5.6948672,7.09243,13.618054,2.0,6.0,6.0,Handbook,True
Nd2NiO4,1.0,1.7764214529604367,0.1314144512500021,Nd2NiO4,RP,1.0,1.83,1.776421453,1.0,Nd,Nd,Ni,Ni,O,O,9.0,9.0,6.0,6.0,6.0,1.163,0.69,1.4,3.0,2.0,-2.0,0.176539,0.1472068,0.304575,5.525,7.639877,13.618054,6.0,10.0,6.0,Handbook,True
Rb2PuO4,1.0,1.5939513898951263,-3.739536819999998,Rb2PuO4,RP,1.0,1.83,1.59395139,1.0,Rb,Rb,Pu,Pu,O,O,9.0,9.0,6.0,6.0,6.0,1.63,0.71,1.4,1.0,6.0,-2.0,0.104686,0.16137,0.304575,4.177128,6.0258,13.618054,1.0,8.0,6.0,Handbook,True
Rb2UO4,1.0,1.5854216247346613,-3.544043100000003,Rb2UO4,RP,1.0,1.83,1.585421625,1.0,Rb,Rb,U,U,O,O,9.0,9.0,6.0,6.0,6.0,1.63,0.73,1.4,1.0,6.0,-2.0,0.104686,0.13207,0.304575,4.177128,6.19405,13.618054,1.0,6.0,6.0,Handbook,True
CaPrCoO4,1.0,1.7824158356114663,-0.603248008749997,CaPrCoO4,RP,1.0,1.83,1.782415836,1.0,Ca,Pr,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.1795,0.61,1.4,2.5,3.0,-2.0,0.14374595,0.1432363,0.304575,5.7930776,7.88101,13.618054,3.5,9.0,6.0,Handbook,True
SrLaCoO4,1.0,1.748219613728969,-1.023901540624994,SrLaCoO4,RP,1.0,1.83,1.748219614,1.0,Sr,La,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.263,0.61,1.4,2.5,3.0,-2.0,0.1408251,0.1432363,0.304575,5.6358836,7.88101,13.618054,2.5,9.0,6.0,Handbook,True
CaSmCoO4,1.0,1.793400728974135,-0.5707407112499965,CaSmCoO4,RP,1.0,1.83,1.793400729,1.0,Ca,Sm,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.156,0.61,1.4,2.5,3.0,-2.0,0.15043995,0.1432363,0.304575,5.8784326,7.88101,13.618054,5.0,9.0,6.0,Handbook,True
Sr2MnO4,1.0,1.7889572106799034,-1.3532722016666696,Sr2MnO4,RP,1.0,1.83,1.788957211,1.0,Sr,Sr,Mn,Mn,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.53,1.4,2.0,4.0,-2.0,0.1185082,0.1352844,0.304575,5.6948672,7.434018,13.618054,2.0,7.0,6.0,Handbook,True
SrPrAlO4,1.0,1.8024662744420288,-0.4674866912499951,SrPrAlO4,RP,1.0,1.83,1.802466274,1.0,Sr,Pr,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.2445,0.535,1.4,2.5,3.0,-2.0,0.1452941,0.150078,0.304575,5.5839336,5.9857684,13.618054,3.5,3.0,6.0,Handbook,True
La2NiO4,1.0,1.7464062064994623,-0.1647227287500001,La2NiO4,RP,1.0,1.83,1.746406206,1.0,La,La,Ni,Ni,O,O,9.0,9.0,6.0,6.0,6.0,1.216,0.69,1.4,3.0,2.0,-2.0,0.163142,0.1472068,0.304575,5.5769,7.639877,13.618054,3.0,10.0,6.0,Handbook,True
La2CoO4,1.0,1.746194958032795,-0.0029236587499994,La2CoO4,RP,1.0,1.83,1.746194958,1.0,La,La,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.216,0.745,1.4,3.0,2.0,-2.0,0.163142,0.1432363,0.304575,5.5769,7.88101,13.618054,3.0,9.0,6.0,Handbook,True
Ba2ZrO4,1.0,1.6343334192061052,-1.295473389999998,Ba2ZrO4,RP,1.0,1.83,1.634333419,1.0,Ba,Ba,Zr,Zr,O,O,9.0,9.0,6.0,6.0,6.0,1.47,0.72,1.4,2.0,4.0,-2.0,0.1586786,0.1248887,0.304575,5.211664,6.6339,13.618054,2.0,4.0,6.0,Handbook,True
Ca2MnO4,1.0,1.8270101170640247,-0.6326593416666704,Ca2MnO4,RP,1.0,1.83,1.827010117,1.0,Ca,Ca,Mn,Mn,O,O,9.0,9.0,6.0,6.0,6.0,1.18,0.53,1.4,2.0,4.0,-2.0,0.1154119,0.1352844,0.304575,6.1131552,7.434018,13.618054,2.0,7.0,6.0,Handbook,True
Cs2PuO4,1.0,1.5633213810611848,-3.500448139999996,Cs2PuO4,RP,1.0,1.83,1.563321381,1.0,Cs,Cs,Pu,Pu,O,O,9.0,9.0,6.0,6.0,6.0,1.78,0.71,1.4,1.0,6.0,-2.0,0.1542125,0.16137,0.304575,3.893905548,6.0258,13.618054,1.0,8.0,6.0,Handbook,True
Sr2FeO4,1.0,1.7464051332657429,-1.3175370999999956,Sr2FeO4,RP,1.0,1.83,1.746405133,1.0,Sr,Sr,Fe,Fe,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.585,1.4,2.0,4.0,-2.0,0.1185082,0.1392532,0.304575,5.6948672,7.9024678,13.618054,2.0,8.0,6.0,Handbook,True
GdLaCuO4,1.0,1.7798588033327538,0.5531150368749991,GdLaCuO4,RP,1.0,1.83,1.779858803,1.0,Gd,La,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.1615,0.73,1.4,3.0,2.0,-2.0,0.178771,0.1511716,0.304575,5.863348,7.72638,13.618054,6.5,11.0,6.0,Handbook,True
DySmCuO4,1.0,1.8193179853258497,1.070966680000005,DySmCuO4,RP,1.0,1.83,1.819317985,1.0,Dy,Sm,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.1075,0.73,1.4,3.0,2.0,-2.0,0.194399,0.1511716,0.304575,5.79138,7.72638,13.618054,10.0,11.0,6.0,Handbook,True
SrLaMnO4,1.0,1.734079244618477,-0.5815694531249918,SrLaMnO4,RP,1.0,1.83,1.734079245,1.0,Sr,La,Mn,Mn,O,O,9.0,9.0,6.0,6.0,6.0,1.263,0.645,1.4,2.5,3.0,-2.0,0.1408251,0.1352844,0.304575,5.6358836,7.434018,13.618054,2.5,7.0,6.0,Handbook,True
SmTbCuO4,1.0,1.814648407514575,1.0661782381250011,SmTbCuO4,RP,1.0,1.83,1.814648408,1.0,Sm,Tb,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.1135,0.73,1.4,3.0,2.0,-2.0,0.1921655,0.1511716,0.304575,5.753755,7.72638,13.618054,9.5,11.0,6.0,Handbook,True
CaYCrO4,1.0,1.8063025420886727,0.2984832912499975,CaYCrO4,RP,1.0,1.83,1.806302542,1.0,Ca,Y,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.1275,0.615,1.4,2.5,3.0,-2.0,0.11855525,0.1313053,0.304575,6.1652076,6.76651,13.618054,2.5,6.0,6.0,Handbook,True
CaCeMnO4,1.0,1.894875875424097,0.2114671600000051,CaCeMnO4,RP,1.0,1.83,1.894875875,0.0,Ca,Ce,Mn,Mn,O,O,9.0,9.0,6.0,6.0,6.0,1.075,0.83,1.4,3.0,2.0,-2.0,0.14151095,0.1352844,0.304575,5.8258776,7.434018,13.618054,3.0,7.0,6.0,Handbook,True
BaSrSnO4,1.0,1.6708404402105377,-1.0634615899999993,BaSrSnO4,RP,1.0,1.83,1.67084044,1.0,Ba,Sr,Sn,Sn,O,O,9.0,9.0,6.0,6.0,6.0,1.39,0.69,1.4,2.0,4.0,-2.0,0.1385934,0.178052,0.304575,5.4532656,7.343917,13.618054,2.0,4.0,6.0,Handbook,True
CaPrAlO4,1.0,1.8233962077191856,-0.2504974412499976,CaPrAlO4,RP,1.0,1.83,1.823396208,1.0,Ca,Pr,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.1795,0.535,1.4,2.5,3.0,-2.0,0.14374595,0.150078,0.304575,5.7930776,5.9857684,13.618054,3.5,3.0,6.0,Handbook,True
CaYAlO4,1.0,1.842810855260467,-0.0786252812499981,CaYAlO4,RP,1.0,1.83,1.842810855,0.0,Ca,Y,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.1275,0.535,1.4,2.5,3.0,-2.0,0.11855525,0.150078,0.304575,6.1652076,5.9857684,13.618054,2.5,3.0,6.0,Handbook,True
DyEuCuO4,1.0,1.8240640779951487,0.7804039956249902,DyEuCuO4,RP,1.0,1.83,1.824064078,1.0,Dy,Eu,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.1015,0.73,1.4,3.0,2.0,-2.0,0.1966325,0.1511716,0.304575,5.8047175,7.72638,13.618054,10.5,11.0,6.0,Handbook,True
DyNdCuO4,1.0,1.807407412094738,0.9468769106249936,DyNdCuO4,RP,1.0,1.83,1.807407412,1.0,Dy,Nd,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.123,0.73,1.4,3.0,2.0,-2.0,0.1899345,0.1511716,0.304575,5.732025,7.72638,13.618054,9.0,11.0,6.0,Handbook,True
DyPrCuO4,1.0,1.8014507234995505,1.0714502324999948,DyPrCuO4,RP,1.0,1.83,1.801450723,1.0,Dy,Pr,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.131,0.73,1.4,3.0,2.0,-2.0,0.187705,0.1511716,0.304575,5.706025,7.72638,13.618054,8.5,11.0,6.0,Handbook,True
EuLaCuO4,1.0,1.775474529435629,0.2431159612500018,EuLaCuO4,RP,1.0,1.83,1.775474529,1.0,Eu,La,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.168,0.73,1.4,3.0,2.0,-2.0,0.1765385,0.1511716,0.304575,5.6236425,7.72638,13.618054,6.0,11.0,6.0,Handbook,True
NaLuTiO4,1.0,1.8048313032031071,-0.2212803131249998,NaLuTiO4,RP,1.0,1.83,1.804831303,1.0,Na,Lu,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.136,0.605,1.4,2.0,4.0,-2.0,0.159432,0.1233637,0.304575,5.28247385,6.82812,13.618054,9.0,4.0,6.0,Handbook,True
SrPrScO4,1.0,1.7291998541674278,0.4339365468750067,SrPrScO4,RP,1.0,1.83,1.729199854,1.0,Sr,Pr,Sc,Sc,O,O,9.0,9.0,6.0,6.0,6.0,1.2445,0.745,1.4,2.5,3.0,-2.0,0.1452941,0.1193833,0.304575,5.5839336,6.56149,13.618054,3.5,3.0,6.0,Handbook,True
SrPrNiO4,1.0,1.7599662122235933,-1.166611118749998,SrPrNiO4,RP,1.0,1.83,1.759966212,1.0,Sr,Pr,Ni,Ni,O,O,9.0,9.0,6.0,6.0,6.0,1.2445,0.6,1.4,2.5,3.0,-2.0,0.1452941,0.1472068,0.304575,5.5839336,7.639877,13.618054,3.5,10.0,6.0,Handbook,True
SrNdVO4,1.0,1.7469193245734087,-0.5682500656249978,SrNdVO4,RP,1.0,1.83,1.746919325,1.0,Sr,Nd,V,V,O,O,9.0,9.0,6.0,6.0,6.0,1.2365,0.64,1.4,2.5,3.0,-2.0,0.1475236,0.1273344,0.304575,5.6099336,6.746187,13.618054,4.0,5.0,6.0,Handbook,True
SrGdFeO4,1.0,1.7581326480653483,-0.2590706099999984,SrGdFeO4,RP,1.0,1.83,1.758132648,1.0,Sr,Gd,Fe,Fe,O,O,9.0,9.0,6.0,6.0,6.0,1.2085,0.645,1.4,2.5,3.0,-2.0,0.1564541,0.1392532,0.304575,5.9223316,7.9024678,13.618054,6.0,8.0,6.0,Handbook,True
SrPrFeO4,1.0,1.7418907654698037,-0.3388313087499952,SrPrFeO4,RP,1.0,1.83,1.741890765,1.0,Sr,Pr,Fe,Fe,O,O,9.0,9.0,6.0,6.0,6.0,1.2445,0.645,1.4,2.5,3.0,-2.0,0.1452941,0.1392532,0.304575,5.5839336,7.9024678,13.618054,3.5,8.0,6.0,Handbook,True
SrLaCrO4,1.0,1.7458884194864972,-0.7545976606249987,SrLaCrO4,RP,1.0,1.83,1.745888419,1.0,Sr,La,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.263,0.615,1.4,2.5,3.0,-2.0,0.1408251,0.1313053,0.304575,5.6358836,6.76651,13.618054,2.5,6.0,6.0,Handbook,True
CaGdAlO4,1.0,1.8365542429920907,-0.2573308525000009,CaGdAlO4,RP,1.0,1.83,1.836554243,0.0,Ca,Gd,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.1435,0.535,1.4,2.5,3.0,-2.0,0.15490595,0.150078,0.304575,6.1314756,5.9857684,13.618054,6.0,3.0,6.0,Handbook,True
CaEuAlO4,1.0,1.8340867743248304,-0.2057340581250031,CaEuAlO4,RP,1.0,1.83,1.834086774,0.0,Ca,Eu,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.15,0.535,1.4,2.5,3.0,-2.0,0.15267345,0.150078,0.304575,5.8917701,5.9857684,13.618054,5.5,3.0,6.0,Handbook,True
CaErAlO4,1.0,1.845429457206551,-0.0020797418749971,CaErAlO4,RP,1.0,1.83,1.845429457,0.0,Ca,Er,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.121,0.535,1.4,2.5,3.0,-2.0,0.16383645,0.150078,0.304575,6.1104276,5.9857684,13.618054,8.0,3.0,6.0,Handbook,True
SrGdAlO4,1.0,1.8136406818596356,-0.4177719825000032,SrGdAlO4,RP,1.0,1.83,1.813640682,1.0,Sr,Gd,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.2085,0.535,1.4,2.5,3.0,-2.0,0.1564541,0.150078,0.304575,5.9223316,5.9857684,13.618054,6.0,3.0,6.0,Handbook,True
CeEuAlO4,1.0,1.8014311518132289,-0.3109418431250041,CeEuAlO4,RP,1.0,1.83,1.801431152,1.0,Ce,Eu,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.248,0.535,1.4,2.5,3.0,-2.0,0.1787725,0.150078,0.304575,5.6044925,5.9857684,13.618054,6.5,3.0,6.0,Handbook,True
Sr2VO4,1.0,1.749664538282809,-1.4301452599999962,Sr2VO4,RP,1.0,1.83,1.749664538,1.0,Sr,Sr,V,V,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.58,1.4,2.0,4.0,-2.0,0.1185082,0.1273344,0.304575,5.6948672,6.746187,13.618054,2.0,5.0,6.0,Handbook,True
Gd2NiO4,1.0,1.812935283398192,0.6139985924999962,Gd2NiO4,RP,1.0,1.83,1.812935283,1.0,Gd,Gd,Ni,Ni,O,O,9.0,9.0,6.0,6.0,6.0,1.107,0.69,1.4,3.0,2.0,-2.0,0.1944,0.1472068,0.304575,6.149796,7.639877,13.618054,10.0,10.0,6.0,Handbook,True
SrLaAlO4,1.0,1.797091951851629,-0.6448793131250028,SrLaAlO4,RP,1.0,1.83,1.797091952,1.0,Sr,La,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.263,0.535,1.4,2.5,3.0,-2.0,0.1408251,0.150078,0.304575,5.6358836,5.9857684,13.618054,2.5,3.0,6.0,Handbook,True
SrLaGaO4,1.0,1.7436633693400942,-0.4832230506250052,SrLaGaO4,RP,1.0,1.83,1.743663369,1.0,Sr,La,Ga,Ga,O,O,9.0,9.0,6.0,6.0,6.0,1.263,0.62,1.4,2.5,3.0,-2.0,0.1408251,0.1723773,0.304575,5.6358836,5.9993018,13.618054,2.5,3.0,6.0,Handbook,True
SrNdGaO4,1.0,1.7541030557045274,-0.0529653306249944,SrNdGaO4,RP,1.0,1.83,1.754103056,1.0,Sr,Nd,Ga,Ga,O,O,9.0,9.0,6.0,6.0,6.0,1.2365,0.62,1.4,2.5,3.0,-2.0,0.1475236,0.1723773,0.304575,5.6099336,5.9993018,13.618054,4.0,3.0,6.0,Handbook,True
NaDyTiO4,1.0,1.7925141211996665,-0.528971033750004,NaDyTiO4,RP,1.0,1.83,1.792514121,1.0,Na,Dy,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.1615,0.605,1.4,2.0,4.0,-2.0,0.148272,0.1233637,0.304575,5.53906335,6.82812,13.618054,6.5,4.0,6.0,Handbook,True
