Compound,Type,Label,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train,Substance
EuNdAlO4,RP,1,1,1.83,1.806388594,1,Eu,Nd,Al,Al,O,O,9,9,6,6,6,1.2315,0.535,1.4,2.5,3.0,-2.0,0.183237,0.150078,0.304575,5.5976925,5.9857684,13.618054,7.5,3.0,6.0,Handbook,True,EuNdAlO4
SrTbCrO4,RP,1,1,1.83,1.77034714,1,Sr,Tb,Cr,Cr,O,O,9,9,6,6,6,1.2025,0.615,1.4,2.5,3.0,-2.0,0.1586856,0.1313053,0.304575,5.7793336,6.76651,13.618054,6.5,6.0,6.0,Handbook,True,SrTbCrO4
SrEuVO4,RP,1,1,1.83,1.75116953,1,Sr,Eu,V,V,O,O,9,9,6,6,6,1.305,0.58,1.4,2.0,4.0,-2.0,0.1542216,0.1273344,0.304575,5.6826261,6.746187,13.618054,5.5,5.0,6.0,Handbook,True,SrEuVO4
K2NpO4,RP,1,1,1.83,1.610208612,1,K,K,Np,Np,O,O,9,9,6,6,6,1.55,0.72,1.4,1.0,6.0,-2.0,0.0981896,0.14265,0.304575,4.34066354,6.2655,13.618054,1.0,7.0,6.0,Handbook,True,K2NpO4
Pr2CuO4,RP,1,1,1.83,1.768219516,1,Pr,Pr,Cu,Cu,O,O,9,9,6,6,6,1.179,0.73,1.4,3.0,2.0,-2.0,0.17208,0.1511716,0.304575,5.473,7.72638,13.618054,5.0,11.0,6.0,Handbook,True,Pr2CuO4
K2PuO4,RP,1,1,1.83,1.614042096,1,K,K,Pu,Pu,O,O,9,9,6,6,6,1.55,0.71,1.4,1.0,6.0,-2.0,0.0981896,0.16137,0.304575,4.34066354,6.0258,13.618054,1.0,8.0,6.0,Handbook,True,K2PuO4
Nd2CuO4,RP,1,1,1.83,1.77884052,1,Nd,Nd,Cu,Cu,O,O,9,9,6,6,6,1.163,0.73,1.4,3.0,2.0,-2.0,0.176539,0.1511716,0.304575,5.525,7.72638,13.618054,6.0,11.0,6.0,Handbook,True,Nd2CuO4
CaHoAlO4,RP,1,1,1.83,1.843411125,0,Ca,Ho,Al,Al,O,O,9,9,6,6,6,1.126,0.535,1.4,2.5,3.0,-2.0,0.16160345,0.150078,0.304575,6.0673276,5.9857684,13.618054,7.5,3.0,6.0,Handbook,True,CaHoAlO4
SrEuCrO4,RP,1,1,1.83,1.764992824,1,Sr,Eu,Cr,Cr,O,O,9,9,6,6,6,1.215,0.615,1.4,2.5,3.0,-2.0,0.1542216,0.1313053,0.304575,5.6826261,6.76651,13.618054,5.5,6.0,6.0,Handbook,True,SrEuCrO4
SrSmAlO4,RP,1,1,1.83,1.809648504,1,Sr,Sm,Al,Al,O,O,9,9,6,6,6,1.221,0.535,1.4,2.5,3.0,-2.0,0.1519881,0.150078,0.304575,5.6692886,5.9857684,13.618054,5.0,3.0,6.0,Handbook,True,SrSmAlO4
CaNdCoO4,RP,1,1,1.83,1.786081239,1,Ca,Nd,Co,Co,O,O,9,9,6,6,6,1.1715,0.61,1.4,2.5,3.0,-2.0,0.14597545,0.1432363,0.304575,5.8190776,7.88101,13.618054,4.0,9.0,6.0,Handbook,True,CaNdCoO4
Cs2UO4,RP,1,1,1.83,1.553041677,1,Cs,Cs,U,U,O,O,9,9,6,6,6,1.78,0.73,1.4,1.0,6.0,-2.0,0.1542125,0.13207,0.304575,3.893905548,6.19405,13.618054,1.0,6.0,6.0,Handbook,True,Cs2UO4
K2UO4,RP,1,1,1.83,1.606660143,1,K,K,U,U,O,O,9,9,6,6,6,1.55,0.73,1.4,1.0,6.0,-2.0,0.0981896,0.13207,0.304575,4.34066354,6.19405,13.618054,1.0,6.0,6.0,Handbook,True,K2UO4
Sr2MoO4,RP,1,1,1.83,1.713796545,1,Sr,Sr,Mo,Mo,O,O,9,9,6,6,6,1.31,0.65,1.4,2.0,4.0,-2.0,0.1185082,0.1312672,0.304575,5.6948672,7.09243,13.618054,2.0,6.0,6.0,Handbook,True,Sr2MoO4
Nd2NiO4,RP,1,1,1.83,1.776421453,1,Nd,Nd,Ni,Ni,O,O,9,9,6,6,6,1.163,0.69,1.4,3.0,2.0,-2.0,0.176539,0.1472068,0.304575,5.525,7.639877,13.618054,6.0,10.0,6.0,Handbook,True,Nd2NiO4
Rb2PuO4,RP,1,1,1.83,1.59395139,1,Rb,Rb,Pu,Pu,O,O,9,9,6,6,6,1.63,0.71,1.4,1.0,6.0,-2.0,0.104686,0.16137,0.304575,4.177128,6.0258,13.618054,1.0,8.0,6.0,Handbook,True,Rb2PuO4
Rb2UO4,RP,1,1,1.83,1.585421625,1,Rb,Rb,U,U,O,O,9,9,6,6,6,1.63,0.73,1.4,1.0,6.0,-2.0,0.104686,0.13207,0.304575,4.177128,6.19405,13.618054,1.0,6.0,6.0,Handbook,True,Rb2UO4
CaPrCoO4,RP,1,1,1.83,1.782415836,1,Ca,Pr,Co,Co,O,O,9,9,6,6,6,1.1795,0.61,1.4,2.5,3.0,-2.0,0.14374595,0.1432363,0.304575,5.7930776,7.88101,13.618054,3.5,9.0,6.0,Handbook,True,CaPrCoO4
SrLaCoO4,RP,1,1,1.83,1.748219614,1,Sr,La,Co,Co,O,O,9,9,6,6,6,1.263,0.61,1.4,2.5,3.0,-2.0,0.1408251,0.1432363,0.304575,5.6358836,7.88101,13.618054,2.5,9.0,6.0,Handbook,True,SrLaCoO4
CaSmCoO4,RP,1,1,1.83,1.793400729,1,Ca,Sm,Co,Co,O,O,9,9,6,6,6,1.156,0.61,1.4,2.5,3.0,-2.0,0.15043995,0.1432363,0.304575,5.8784326,7.88101,13.618054,5.0,9.0,6.0,Handbook,True,CaSmCoO4
Sr2MnO4,RP,1,1,1.83,1.788957211,1,Sr,Sr,Mn,Mn,O,O,9,9,6,6,6,1.31,0.53,1.4,2.0,4.0,-2.0,0.1185082,0.1352844,0.304575,5.6948672,7.434018,13.618054,2.0,7.0,6.0,Handbook,True,Sr2MnO4
SrPrAlO4,RP,1,1,1.83,1.802466274,1,Sr,Pr,Al,Al,O,O,9,9,6,6,6,1.2445,0.535,1.4,2.5,3.0,-2.0,0.1452941,0.150078,0.304575,5.5839336,5.9857684,13.618054,3.5,3.0,6.0,Handbook,True,SrPrAlO4
La2NiO4,RP,1,1,1.83,1.746406206,1,La,La,Ni,Ni,O,O,9,9,6,6,6,1.216,0.69,1.4,3.0,2.0,-2.0,0.163142,0.1472068,0.304575,5.5769,7.639877,13.618054,3.0,10.0,6.0,Handbook,True,La2NiO4
La2CoO4,RP,1,1,1.83,1.746194958,1,La,La,Co,Co,O,O,9,9,6,6,6,1.216,0.745,1.4,3.0,2.0,-2.0,0.163142,0.1432363,0.304575,5.5769,7.88101,13.618054,3.0,9.0,6.0,Handbook,True,La2CoO4
Ba2ZrO4,RP,1,1,1.83,1.634333419,1,Ba,Ba,Zr,Zr,O,O,9,9,6,6,6,1.47,0.72,1.4,2.0,4.0,-2.0,0.1586786,0.1248887,0.304575,5.211664,6.6339,13.618054,2.0,4.0,6.0,Handbook,True,Ba2ZrO4
Ca2MnO4,RP,1,1,1.83,1.827010117,1,Ca,Ca,Mn,Mn,O,O,9,9,6,6,6,1.18,0.53,1.4,2.0,4.0,-2.0,0.1154119,0.1352844,0.304575,6.1131552,7.434018,13.618054,2.0,7.0,6.0,Handbook,True,Ca2MnO4
Cs2PuO4,RP,1,1,1.83,1.563321381,1,Cs,Cs,Pu,Pu,O,O,9,9,6,6,6,1.78,0.71,1.4,1.0,6.0,-2.0,0.1542125,0.16137,0.304575,3.893905548,6.0258,13.618054,1.0,8.0,6.0,Handbook,True,Cs2PuO4
Sr2FeO4,RP,1,1,1.83,1.746405133,1,Sr,Sr,Fe,Fe,O,O,9,9,6,6,6,1.31,0.585,1.4,2.0,4.0,-2.0,0.1185082,0.1392532,0.304575,5.6948672,7.9024678,13.618054,2.0,8.0,6.0,Handbook,True,Sr2FeO4
GdLaCuO4,RP,1,1,1.83,1.779858803,1,Gd,La,Cu,Cu,O,O,9,9,6,6,6,1.1615,0.73,1.4,3.0,2.0,-2.0,0.178771,0.1511716,0.304575,5.863348,7.72638,13.618054,6.5,11.0,6.0,Handbook,True,GdLaCuO4
DySmCuO4,RP,1,1,1.83,1.819317985,1,Dy,Sm,Cu,Cu,O,O,9,9,6,6,6,1.1075,0.73,1.4,3.0,2.0,-2.0,0.194399,0.1511716,0.304575,5.79138,7.72638,13.618054,10.0,11.0,6.0,Handbook,True,DySmCuO4
SrLaMnO4,RP,1,1,1.83,1.734079245,1,Sr,La,Mn,Mn,O,O,9,9,6,6,6,1.263,0.645,1.4,2.5,3.0,-2.0,0.1408251,0.1352844,0.304575,5.6358836,7.434018,13.618054,2.5,7.0,6.0,Handbook,True,SrLaMnO4
SmTbCuO4,RP,1,1,1.83,1.814648408,1,Sm,Tb,Cu,Cu,O,O,9,9,6,6,6,1.1135,0.73,1.4,3.0,2.0,-2.0,0.1921655,0.1511716,0.304575,5.753755,7.72638,13.618054,9.5,11.0,6.0,Handbook,True,SmTbCuO4
CaYCrO4,RP,1,1,1.83,1.806302542,1,Ca,Y,Cr,Cr,O,O,9,9,6,6,6,1.1275,0.615,1.4,2.5,3.0,-2.0,0.11855525,0.1313053,0.304575,6.1652076,6.76651,13.618054,2.5,6.0,6.0,Handbook,True,CaYCrO4
CaCeMnO4,RP,1,1,1.83,1.894875875,0,Ca,Ce,Mn,Mn,O,O,9,9,6,6,6,1.075,0.83,1.4,3.0,2.0,-2.0,0.14151095,0.1352844,0.304575,5.8258776,7.434018,13.618054,3.0,7.0,6.0,Handbook,True,CaCeMnO4
BaSrSnO4,RP,1,1,1.83,1.67084044,1,Ba,Sr,Sn,Sn,O,O,9,9,6,6,6,1.39,0.69,1.4,2.0,4.0,-2.0,0.1385934,0.178052,0.304575,5.4532656,7.343917,13.618054,2.0,4.0,6.0,Handbook,True,BaSrSnO4
CaPrAlO4,RP,1,1,1.83,1.823396208,1,Ca,Pr,Al,Al,O,O,9,9,6,6,6,1.1795,0.535,1.4,2.5,3.0,-2.0,0.14374595,0.150078,0.304575,5.7930776,5.9857684,13.618054,3.5,3.0,6.0,Handbook,True,CaPrAlO4
