Compound,Type,Label,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train,Substance
CaSmAlO4,RP,1,1,1.83,1.831845955,0,Ca,Sm,Al,Al,O,O,9,9,6,6,6,1.156,0.535,1.4,2.5,3.0,-2.0,0.15043995,0.150078,0.304575,5.8784326,5.9857684,13.618054,5.0,3.0,6.0,Handbook,True,CaSmAlO4
BaSrPbO4,RP,1,1,1.83,1.654909425,1,Ba,Sr,Pb,Pb,O,O,9,9,6,6,6,1.39,0.775,1.4,2.0,4.0,-2.0,0.1385934,0.177911,0.304575,5.4532656,7.4166796,13.618054,2.0,4.0,6.0,Handbook,True,BaSrPbO4
NaLaTiO4,RP,1,1,1.83,1.763924772,1,Na,La,Ti,Ti,O,O,9,9,6,6,6,1.228,0.605,1.4,2.0,4.0,-2.0,0.128178,0.1233637,0.304575,5.35798835,6.82812,13.618054,2.0,4.0,6.0,Handbook,True,NaLaTiO4
SrPrGaO4,RP,1,1,1.83,1.750881081,1,Sr,Pr,Ga,Ga,O,O,9,9,6,6,6,1.2445,0.62,1.4,2.5,3.0,-2.0,0.1452941,0.1723773,0.304575,5.5839336,5.9993018,13.618054,3.5,3.0,6.0,Handbook,True,SrPrGaO4
LaNdCuO4,RP,1,1,1.83,1.761481192,1,La,Nd,Cu,Cu,O,O,9,9,6,6,6,1.1895,0.73,1.4,3.0,2.0,-2.0,0.1698405,0.1511716,0.304575,5.55095,7.72638,13.618054,4.5,11.0,6.0,Handbook,True,LaNdCuO4
SrGdVO4,RP,1,1,1.83,1.759477175,1,Sr,Gd,V,V,O,O,9,9,6,6,6,1.2085,0.64,1.4,2.5,3.0,-2.0,0.1564541,0.1273344,0.304575,5.9223316,6.746187,13.618054,6.0,5.0,6.0,Handbook,True,SrGdVO4
NdTbCuO4,RP,1,1,1.83,1.802928032,1,Nd,Tb,Cu,Cu,O,O,9,9,6,6,6,1.129,0.73,1.4,3.0,2.0,-2.0,0.187701,0.1511716,0.304575,5.6944,7.72638,13.618054,8.5,11.0,6.0,Handbook,True,NdTbCuO4
SrEuCoO4,RP,1,1,1.83,1.767014641,1,Sr,Eu,Co,Co,O,O,9,9,6,6,6,1.215,0.61,1.4,2.5,3.0,-2.0,0.1542216,0.1432363,0.304575,5.6826261,7.88101,13.618054,5.5,9.0,6.0,Handbook,True,SrEuCoO4
PrTbCuO4,RP,1,1,1.83,1.797065478,1,Pr,Tb,Cu,Cu,O,O,9,9,6,6,6,1.137,0.73,1.4,3.0,2.0,-2.0,0.1854715,0.1511716,0.304575,5.6684,7.72638,13.618054,8.0,11.0,6.0,Handbook,True,PrTbCuO4
CaLaFeO4,RP,1,1,1.83,1.763147841,1,Ca,La,Fe,Fe,O,O,9,9,6,6,6,1.198,0.645,1.4,2.5,3.0,-2.0,0.13927695,0.1392532,0.304575,5.8450276,7.9024678,13.618054,2.5,8.0,6.0,Handbook,True,CaLaFeO4
CaLaCrO4,RP,1,1,1.83,1.772315845,1,Ca,La,Cr,Cr,O,O,9,9,6,6,6,1.198,0.615,1.4,2.5,3.0,-2.0,0.13927695,0.1313053,0.304575,5.8450276,6.76651,13.618054,2.5,6.0,6.0,Handbook,True,CaLaCrO4
Sr2IrO4,RP,1,1,1.83,1.724286636,1,Sr,Sr,Ir,Ir,O,O,9,9,6,6,6,1.31,0.625,1.4,2.0,4.0,-2.0,0.1185082,0.25106,0.304575,5.6948672,8.96702,13.618054,2.0,9.0,6.0,Handbook,True,Sr2IrO4
SrNdAlO4,RP,1,1,1.83,1.804865363,1,Sr,Nd,Al,Al,O,O,9,9,6,6,6,1.2365,0.535,1.4,2.5,3.0,-2.0,0.1475236,0.150078,0.304575,5.6099336,5.9857684,13.618054,4.0,3.0,6.0,Handbook,True,SrNdAlO4
SrPrCrO4,RP,1,1,1.83,1.752990186,1,Sr,Pr,Cr,Cr,O,O,9,9,6,6,6,1.2445,0.615,1.4,2.5,3.0,-2.0,0.1452941,0.1313053,0.304575,5.5839336,6.76651,13.618054,3.5,6.0,6.0,Handbook,True,SrPrCrO4
Sr2CrO4,RP,1,1,1.83,1.771719849,1,Sr,Sr,Cr,Cr,O,O,9,9,6,6,6,1.31,0.55,1.4,2.0,4.0,-2.0,0.1185082,0.1313053,0.304575,5.6948672,6.76651,13.618054,2.0,6.0,6.0,Handbook,True,Sr2CrO4
Sr2CoO4,RP,1,1,1.83,1.788957211,1,Sr,Sr,Co,Co,O,O,9,9,6,6,6,1.31,0.53,1.4,2.0,4.0,-2.0,0.1185082,0.1432363,0.304575,5.6948672,7.88101,13.618054,2.0,9.0,6.0,Handbook,True,Sr2CoO4
Ba2ZrS4,RP,1,1,1.83,1.838510549,0,Ba,Ba,Zr,Zr,S,S,9,9,6,6,6,1.47,0.72,1.84,2.0,4.0,-2.0,0.1586786,0.1248887,0.23596,5.211664,6.6339,10.36001,2.0,4.0,6.0,Handbook,True,Ba2ZrS4
Ba2SnO4,RP,1,1,1.83,1.644749488,1,Ba,Ba,Sn,Sn,O,O,9,9,6,6,6,1.47,0.69,1.4,2.0,4.0,-2.0,0.1586786,0.178052,0.304575,5.211664,7.343917,13.618054,2.0,4.0,6.0,Handbook,True,Ba2SnO4
Ba2HfS4,RP,1,1,1.83,1.843111393,0,Ba,Ba,Hf,Hf,S,S,9,9,6,6,6,1.47,0.71,1.84,2.0,4.0,-2.0,0.1586786,0.229987,0.23596,5.211664,6.82507,10.36001,2.0,4.0,6.0,Handbook,True,Ba2HfS4
NaNdTiO4,RP,1,1,1.83,1.774749805,1,Na,Nd,Ti,Ti,O,O,9,9,6,6,6,1.2015,0.605,1.4,2.0,4.0,-2.0,0.1348765,0.1233637,0.304575,5.33203835,6.82812,13.618054,3.5,4.0,6.0,Handbook,True,NaNdTiO4
Eu2ZrO4,RP,1,1,1.83,1.70117894,1,Eu,Eu,Zr,Zr,O,O,9,9,6,6,6,1.3,0.72,1.4,2.0,4.0,-2.0,0.189935,0.1248887,0.304575,5.670385,6.6339,13.618054,9.0,4.0,6.0,Handbook,True,Eu2ZrO4
Ca2GeO4,RP,1,1,1.83,1.827010117,1,Ca,Ca,Ge,Ge,O,O,9,9,6,6,6,1.18,0.53,1.4,2.0,4.0,-2.0,0.1154119,0.1895892,0.304575,6.1131552,7.899435,13.618054,2.0,4.0,6.0,Handbook,True,Ca2GeO4
Ba2HfO4,RP,1,1,1.83,1.637501424,1,Ba,Ba,Hf,Hf,O,O,9,9,6,6,6,1.47,0.71,1.4,2.0,4.0,-2.0,0.1586786,0.229987,0.304575,5.211664,6.82507,13.618054,2.0,4.0,6.0,Handbook,True,Ba2HfO4
Eu2VO4,RP,1,1,1.83,1.75269192,1,Eu,Eu,V,V,O,O,9,9,6,6,6,1.3,0.58,1.4,2.0,4.0,-2.0,0.189935,0.1273344,0.304575,5.670385,6.746187,13.618054,9.0,5.0,6.0,Handbook,True,Eu2VO4
Cs2NpO4,RP,1,1,1.83,1.558049083,1,Cs,Cs,Np,Np,O,O,9,9,6,6,6,1.78,0.72,1.4,1.0,6.0,-2.0,0.1542125,0.14265,0.304575,3.893905548,6.2655,13.618054,1.0,7.0,6.0,Handbook,True,Cs2NpO4
SrLaVO4,RP,1,1,1.83,1.735795247,1,Sr,La,V,V,O,O,9,9,6,6,6,1.263,0.64,1.4,2.5,3.0,-2.0,0.1408251,0.1273344,0.304575,5.6358836,6.746187,13.618054,2.5,5.0,6.0,Handbook,True,SrLaVO4
NaSmTiO4,RP,1,1,1.83,1.781420467,1,Na,Sm,Ti,Ti,O,O,9,9,6,6,6,1.186,0.605,1.4,2.0,4.0,-2.0,0.139341,0.1233637,0.304575,5.39139335,6.82812,13.618054,4.5,4.0,6.0,Handbook,True,NaSmTiO4
NaTmTiO4,RP,1,1,1.83,1.799902965,1,Na,Tm,Ti,Ti,O,O,9,9,6,6,6,1.146,0.605,1.4,2.0,4.0,-2.0,0.1549692,0.1233637,0.304575,5.66169335,6.82812,13.618054,8.0,4.0,6.0,Handbook,True,NaTmTiO4
NaYTiO4,RP,1,1,1.83,1.794392534,1,Na,Y,Ti,Ti,O,O,9,9,6,6,6,1.1575,0.605,1.4,2.0,4.0,-2.0,0.1074563,0.1233637,0.304575,5.67816835,6.82812,13.618054,2.0,4.0,6.0,Handbook,True,NaYTiO4
SrNdNiO4,RP,1,1,1.83,1.76298367,1,Sr,Nd,Ni,Ni,O,O,9,9,6,6,6,1.2365,0.6,1.4,2.5,3.0,-2.0,0.1475236,0.1472068,0.304575,5.6099336,7.639877,13.618054,4.0,10.0,6.0,Handbook,True,SrNdNiO4
EuTbCuO4,RP,1,1,1.83,1.819317985,1,Eu,Tb,Cu,Cu,O,O,9,9,6,6,6,1.1075,0.73,1.4,3.0,2.0,-2.0,0.194399,0.1511716,0.304575,5.7670925,7.72638,13.618054,10.0,11.0,6.0,Handbook,True,EuTbCuO4
Eu2TiO4,RP,1,1,1.83,1.737782888,1,Eu,Eu,Ti,Ti,O,O,9,9,6,6,6,1.3,0.605,1.4,2.0,4.0,-2.0,0.189935,0.1233637,0.304575,5.670385,6.82812,13.618054,9.0,4.0,6.0,Handbook,True,Eu2TiO4
SrEuAlO4,RP,1,1,1.83,1.811549373,1,Sr,Eu,Al,Al,O,O,9,9,6,6,6,1.215,0.535,1.4,2.5,3.0,-2.0,0.1542216,0.150078,0.304575,5.6826261,5.9857684,13.618054,5.5,3.0,6.0,Handbook,True,SrEuAlO4
EuSmAlO4,RP,1,1,1.83,1.811230607,1,Eu,Sm,Al,Al,O,O,9,9,6,6,6,1.216,0.535,1.4,2.5,3.0,-2.0,0.1877015,0.150078,0.304575,5.6570475,5.9857684,13.618054,8.5,3.0,6.0,Handbook,True,EuSmAlO4
EuPrAlO4,RP,1,1,1.83,1.80396026,1,Eu,Pr,Al,Al,O,O,9,9,6,6,6,1.2395,0.535,1.4,2.5,3.0,-2.0,0.1810075,0.150078,0.304575,5.5716925,5.9857684,13.618054,7.0,3.0,6.0,Handbook,True,EuPrAlO4
Ba2PbO4,RP,1,1,1.83,1.621994327,1,Ba,Ba,Pb,Pb,O,O,9,9,6,6,6,1.47,0.775,1.4,2.0,4.0,-2.0,0.1586786,0.177911,0.304575,5.211664,7.4166796,13.618054,2.0,4.0,6.0,Handbook,True,Ba2PbO4
Sr2HfO4,RP,1,1,1.83,1.697966446,1,Sr,Sr,Hf,Hf,O,O,9,9,6,6,6,1.31,0.71,1.4,2.0,4.0,-2.0,0.1185082,0.229987,0.304575,5.6948672,6.82507,13.618054,2.0,4.0,6.0,Handbook,True,Sr2HfO4
SrGdCrO4,RP,1,1,1.83,1.767756333,1,Sr,Gd,Cr,Cr,O,O,9,9,6,6,6,1.2085,0.615,1.4,2.5,3.0,-2.0,0.1564541,0.1313053,0.304575,5.9223316,6.76651,13.618054,6.0,6.0,6.0,Handbook,True,SrGdCrO4
SrNdCrO4,RP,1,1,1.83,1.756160403,1,Sr,Nd,Cr,Cr,O,O,9,9,6,6,6,1.2365,0.615,1.4,2.5,3.0,-2.0,0.1475236,0.1313053,0.304575,5.6099336,6.76651,13.618054,4.0,6.0,6.0,Handbook,True,SrNdCrO4
SrGdNiO4,RP,1,1,1.83,1.774020843,1,Sr,Gd,Ni,Ni,O,O,9,9,6,6,6,1.2085,0.6,1.4,2.5,3.0,-2.0,0.1564541,0.1472068,0.304575,5.9223316,7.639877,13.618054,6.0,10.0,6.0,Handbook,True,SrGdNiO4
SrLaScO4,RP,1,1,1.83,1.718778391,1,Sr,La,Sc,Sc,O,O,9,9,6,6,6,1.263,0.745,1.4,2.5,3.0,-2.0,0.1408251,0.1193833,0.304575,5.6358836,6.56149,13.618054,2.5,3.0,6.0,Handbook,True,SrLaScO4
NaPrTiO4,RP,1,1,1.83,1.771406788,1,Na,Pr,Ti,Ti,O,O,9,9,6,6,6,1.2095,0.605,1.4,2.0,4.0,-2.0,0.132647,0.1233637,0.304575,5.30603835,6.82812,13.618054,3.0,4.0,6.0,Handbook,True,NaPrTiO4
Nd2CoO4,RP,1,1,1.83,1.781185952,1,Nd,Nd,Co,Co,O,O,9,9,6,6,6,1.163,0.745,1.4,3.0,2.0,-2.0,0.176539,0.1432363,0.304575,5.525,7.88101,13.618054,6.0,9.0,6.0,Handbook,True,Nd2CoO4
Pr2CoO4,RP,1,1,1.83,1.770123984,1,Pr,Pr,Co,Co,O,O,9,9,6,6,6,1.179,0.745,1.4,3.0,2.0,-2.0,0.17208,0.1432363,0.304575,5.473,7.88101,13.618054,5.0,9.0,6.0,Handbook,True,Pr2CoO4
Ba2RuO4,RP,1,1,1.83,1.68057461,1,Ba,Ba,Ru,Ru,O,O,9,9,6,6,6,1.47,0.62,1.4,2.0,4.0,-2.0,0.1586786,0.1376494,0.304575,5.211664,7.3605,13.618054,2.0,8.0,6.0,Handbook,True,Ba2RuO4
La2CdS4,Th3P4,0,1,1.83,2.00205631,0,La,La,Cd,Cd,S,S,9,9,6,6,6,1.216,0.95,1.84,3.0,2.0,-2.0,0.163142,0.1504066,0.23596,5.5769,8.993822,10.36001,3.0,12.0,6.0,Handbook,True,La2CdS4
Sm2CdS4,Th3P4,0,1,1.83,2.095999345,0,Sm,Sm,Cd,Cd,S,S,9,9,6,6,6,1.132,0.95,1.84,3.0,2.0,-2.0,0.185468,0.1504066,0.23596,5.64371,8.993822,10.36001,8.0,12.0,6.0,Handbook,True,Sm2CdS4
La2SrS4,Th3P4,0,1,1.83,2.190394112,0,La,La,Sr,Sr,S,S,9,9,6,6,6,1.216,1.18,1.84,3.0,2.0,-2.0,0.163142,0.1185082,0.23596,5.5769,5.6948672,10.36001,3.0,2.0,6.0,Handbook,True,La2SrS4
La2PbSe4,Th3P4,0,1,1.83,2.247603137,0,La,La,Pb,Pb,Se,Se,9,9,6,6,6,1.216,1.19,1.98,3.0,2.0,-2.0,0.163142,0.177911,0.2240328,5.5769,7.4166796,9.752392,3.0,4.0,6.0,Handbook,True,La2PbSe4
La2PbS4,Th3P4,0,1,1.83,2.201164354,0,La,La,Pb,Pb,S,S,9,9,6,6,6,1.216,1.19,1.84,3.0,2.0,-2.0,0.163142,0.177911,0.23596,5.5769,7.4166796,10.36001,3.0,4.0,6.0,Handbook,True,La2PbS4
Ce2CdSe4,Th3P4,0,1,1.83,2.074614846,0,Ce,Ce,Cd,Cd,Se,Se,9,9,6,6,6,1.196,0.95,1.98,3.0,2.0,-2.0,0.16761,0.1504066,0.2240328,5.5386,8.993822,9.752392,4.0,12.0,6.0,Handbook,True,Ce2CdSe4
Pr2CaS4,Th3P4,0,1,1.83,2.075869237,0,Pr,Pr,Ca,Ca,S,S,9,9,6,6,6,1.179,1.0,1.84,3.0,2.0,-2.0,0.17208,0.1154119,0.23596,5.473,6.1131552,10.36001,5.0,2.0,6.0,Handbook,True,Pr2CaS4
Yb2CaS4,Th3P4,0,1,1.83,2.277476456,0,Yb,Yb,Ca,Ca,S,S,9,9,6,6,6,1.042,1.0,1.84,3.0,2.0,-2.0,0.22119,0.1154119,0.23596,6.25416,6.1131552,10.36001,16.0,2.0,6.0,Handbook,True,Yb2CaS4
Bi2YbTe4,Th3P4,0,1,1.83,2.231986443,0,Bi,Bi,Yb,Yb,Te,Te,9,9,6,6,6,1.17,1.02,2.21,3.0,2.0,-2.0,0.182377,0.22119,0.2056992,7.285516,6.25416,9.00966,5.0,16.0,6.0,Handbook,True,Bi2YbTe4
Bi2EuTe4,Th3P4,0,1,1.83,2.374368542,0,Bi,Bi,Eu,Eu,Te,Te,9,9,6,6,6,1.17,1.17,2.21,3.0,2.0,-2.0,0.182377,0.189935,0.2056992,7.285516,5.670385,9.00966,5.0,9.0,6.0,Handbook,True,Bi2EuTe4
Ho2CaS4,Th3P4,0,1,1.83,2.226648665,0,Ho,Ho,Ca,Ca,S,S,9,9,6,6,6,1.072,1.0,1.84,3.0,2.0,-2.0,0.207795,0.1154119,0.23596,6.0215,6.1131552,10.36001,13.0,2.0,6.0,Handbook,True,Ho2CaS4
Nd2CaS4,Th3P4,0,1,1.83,2.095799812,0,Nd,Nd,Ca,Ca,S,S,9,9,6,6,6,1.163,1.0,1.84,3.0,2.0,-2.0,0.176539,0.1154119,0.23596,5.525,6.1131552,10.36001,6.0,2.0,6.0,Handbook,True,Nd2CaS4
La2CaS4,Th3P4,0,1,1.83,2.032755817,0,La,La,Ca,Ca,S,S,9,9,6,6,6,1.216,1.0,1.84,3.0,2.0,-2.0,0.163142,0.1154119,0.23596,5.5769,6.1131552,10.36001,3.0,2.0,6.0,Handbook,True,La2CaS4
Gd2CrS4,Th3P4,0,1,1.83,2.038832645,0,Gd,Gd,Cr,Cr,S,S,9,9,6,6,6,1.107,0.8,1.84,3.0,2.0,-2.0,0.1944,0.1313053,0.23596,6.149796,6.76651,10.36001,10.0,6.0,6.0,Handbook,True,Gd2CrS4
Pr2EuS4,Th3P4,0,1,1.83,2.238844354,0,Pr,Pr,Eu,Eu,S,S,9,9,6,6,6,1.179,1.17,1.84,3.0,2.0,-2.0,0.17208,0.189935,0.23596,5.473,5.670385,10.36001,5.0,9.0,6.0,Handbook,True,Pr2EuS4
La2EuSe4,Th3P4,0,1,1.83,2.226660406,0,La,La,Eu,Eu,Se,Se,9,9,6,6,6,1.216,1.17,1.98,3.0,2.0,-2.0,0.163142,0.189935,0.2240328,5.5769,5.670385,9.752392,3.0,9.0,6.0,Handbook,True,La2EuSe4
Dy2YbS4,Th3P4,0,1,1.83,2.230141935,0,Dy,Dy,Yb,Yb,S,S,9,9,6,6,6,1.083,1.02,1.84,3.0,2.0,-2.0,0.20333,0.22119,0.23596,5.93905,6.25416,10.36001,12.0,16.0,6.0,Handbook,True,Dy2YbS4
Gd2CdTe4,Th3P4,0,1,1.83,2.261691229,0,Gd,Gd,Cd,Cd,Te,Te,9,9,6,6,6,1.107,0.95,2.21,3.0,2.0,-2.0,0.1944,0.1504066,0.2056992,6.149796,8.993822,9.00966,10.0,12.0,6.0,Handbook,True,Gd2CdTe4
Gd2CdSe4,Th3P4,0,1,1.83,2.180144267,0,Gd,Gd,Cd,Cd,Se,Se,9,9,6,6,6,1.107,0.95,1.98,3.0,2.0,-2.0,0.1944,0.1504066,0.2240328,6.149796,8.993822,9.752392,10.0,12.0,6.0,Handbook,True,Gd2CdSe4
Gd2CdS4,Th3P4,0,1,1.83,2.128169505,0,Gd,Gd,Cd,Cd,S,S,9,9,6,6,6,1.107,0.95,1.84,3.0,2.0,-2.0,0.1944,0.1504066,0.23596,6.149796,8.993822,10.36001,10.0,12.0,6.0,Handbook,True,Gd2CdS4
Ce2CdS4,Th3P4,0,1,1.83,2.022640084,0,Ce,Ce,Cd,Cd,S,S,9,9,6,6,6,1.196,0.95,1.84,3.0,2.0,-2.0,0.16761,0.1504066,0.23596,5.5386,8.993822,10.36001,4.0,12.0,6.0,Handbook,True,Ce2CdS4
Ho2YbS4,Th3P4,0,1,1.83,2.248439522,0,Ho,Ho,Yb,Yb,S,S,9,9,6,6,6,1.072,1.02,1.84,3.0,2.0,-2.0,0.207795,0.22119,0.23596,6.0215,6.25416,10.36001,13.0,16.0,6.0,Handbook,True,Ho2YbS4
Tm2MnS4,Th3P4,0,1,1.83,2.111393864,0,Tm,Tm,Mn,Mn,S,S,9,9,6,6,6,1.052,0.83,1.84,3.0,2.0,-2.0,0.2167244,0.1352844,0.23596,6.18431,7.434018,10.36001,15.0,7.0,6.0,Handbook,True,Tm2MnS4
Tb2CdS4,Th3P4,0,1,1.83,2.144399646,0,Tb,Tb,Cd,Cd,S,S,9,9,6,6,6,1.095,0.95,1.84,3.0,2.0,-2.0,0.198863,0.1504066,0.23596,5.8638,8.993822,10.36001,11.0,12.0,6.0,Handbook,True,Tb2CdS4
La2CdSe4,Th3P4,0,1,1.83,2.054031072,0,La,La,Cd,Cd,Se,Se,9,9,6,6,6,1.216,0.95,1.98,3.0,2.0,-2.0,0.163142,0.1504066,0.2240328,5.5769,8.993822,9.752392,3.0,12.0,6.0,Handbook,True,La2CdSe4
La2CdTe4,Th3P4,0,1,1.83,2.135578034,0,La,La,Cd,Cd,Te,Te,9,9,6,6,6,1.216,0.95,2.21,3.0,2.0,-2.0,0.163142,0.1504066,0.2056992,5.5769,8.993822,9.00966,3.0,12.0,6.0,Handbook,True,La2CdTe4
Nd2ZnS4,Th3P4,0,1,1.83,1.981718889,0,Nd,Nd,Zn,Zn,S,S,9,9,6,6,6,1.163,0.74,1.84,3.0,2.0,-2.0,0.176539,0.1551518,0.23596,5.525,9.394199,10.36001,6.0,12.0,6.0,Handbook,True,Nd2ZnS4
Nd2YbS4,Th3P4,0,1,1.83,2.112304376,0,Nd,Nd,Yb,Yb,S,S,9,9,6,6,6,1.163,1.02,1.84,3.0,2.0,-2.0,0.176539,0.22119,0.23596,5.525,6.25416,10.36001,6.0,16.0,6.0,Handbook,True,Nd2YbS4
Gd2MnS4,Th3P4,0,1,1.83,2.051076161,0,Gd,Gd,Mn,Mn,S,S,9,9,6,6,6,1.107,0.83,1.84,3.0,2.0,-2.0,0.1944,0.1352844,0.23596,6.149796,7.434018,10.36001,10.0,7.0,6.0,Handbook,True,Gd2MnS4
Gd2ZnS4,Th3P4,0,1,1.83,2.023716313,0,Gd,Gd,Zn,Zn,S,S,9,9,6,6,6,1.107,0.74,1.84,3.0,2.0,-2.0,0.1944,0.1551518,0.23596,6.149796,9.394199,10.36001,10.0,12.0,6.0,Handbook,True,Gd2ZnS4
La2SrSe4,Th3P4,0,1,1.83,2.237029254,0,La,La,Sr,Sr,Se,Se,9,9,6,6,6,1.216,1.18,1.98,3.0,2.0,-2.0,0.163142,0.1185082,0.2240328,5.5769,5.6948672,9.752392,3.0,2.0,6.0,Handbook,True,La2SrSe4
Ce2PbS4,Th3P4,0,1,1.83,2.233462063,0,Ce,Ce,Pb,Pb,S,S,9,9,6,6,6,1.196,1.19,1.84,3.0,2.0,-2.0,0.16761,0.177911,0.23596,5.5386,7.4166796,10.36001,4.0,4.0,6.0,Handbook,True,Ce2PbS4
Ce2EuSe4,Th3P4,0,1,1.83,2.2578816,0,Ce,Ce,Eu,Eu,Se,Se,9,9,6,6,6,1.196,1.17,1.98,3.0,2.0,-2.0,0.16761,0.189935,0.2240328,5.5386,5.670385,9.752392,4.0,9.0,6.0,Handbook,True,Ce2EuSe4
Tb2CdSe4,Th3P4,0,1,1.83,2.196374407,0,Tb,Tb,Cd,Cd,Se,Se,9,9,6,6,6,1.095,0.95,1.98,3.0,2.0,-2.0,0.198863,0.1504066,0.2240328,5.8638,8.993822,9.752392,11.0,12.0,6.0,Handbook,True,Tb2CdSe4
Sm2CdSe4,Th3P4,0,1,1.83,2.147974107,0,Sm,Sm,Cd,Cd,Se,Se,9,9,6,6,6,1.132,0.95,1.98,3.0,2.0,-2.0,0.185468,0.1504066,0.2240328,5.64371,8.993822,9.752392,8.0,12.0,6.0,Handbook,True,Sm2CdSe4
Pr2CdSe4,Th3P4,0,1,1.83,2.092940934,0,Pr,Pr,Cd,Cd,Se,Se,9,9,6,6,6,1.179,0.95,1.98,3.0,2.0,-2.0,0.17208,0.1504066,0.2240328,5.473,8.993822,9.752392,5.0,12.0,6.0,Handbook,True,Pr2CdSe4
Pr2CdS4,Th3P4,0,1,1.83,2.040966173,0,Pr,Pr,Cd,Cd,S,S,9,9,6,6,6,1.179,0.95,1.84,3.0,2.0,-2.0,0.17208,0.1504066,0.23596,5.473,8.993822,10.36001,5.0,12.0,6.0,Handbook,True,Pr2CdS4
Nd2CdSe4,Th3P4,0,1,1.83,2.110928278,0,Nd,Nd,Cd,Cd,Se,Se,9,9,6,6,6,1.163,0.95,1.98,3.0,2.0,-2.0,0.176539,0.1504066,0.2240328,5.525,8.993822,9.752392,6.0,12.0,6.0,Handbook,True,Nd2CdSe4
Nd2CdS4,Th3P4,0,1,1.83,2.058953517,0,Nd,Nd,Cd,Cd,S,S,9,9,6,6,6,1.163,0.95,1.84,3.0,2.0,-2.0,0.176539,0.1504066,0.23596,5.525,8.993822,10.36001,6.0,12.0,6.0,Handbook,True,Nd2CdS4
Ce2SrSe4,Th3P4,0,1,1.83,2.268786425,0,Ce,Ce,Sr,Sr,Se,Se,9,9,6,6,6,1.196,1.18,1.98,3.0,2.0,-2.0,0.16761,0.1185082,0.2240328,5.5386,5.6948672,9.752392,4.0,2.0,6.0,Handbook,True,Ce2SrSe4
Ce2YbS4,Th3P4,0,1,1.83,2.070442331,0,Ce,Ce,Yb,Yb,S,S,9,9,6,6,6,1.196,1.02,1.84,3.0,2.0,-2.0,0.16761,0.22119,0.23596,5.5386,6.25416,10.36001,4.0,16.0,6.0,Handbook,True,Ce2YbS4
Ce2SrS4,Th3P4,0,1,1.83,2.222151283,0,Ce,Ce,Sr,Sr,S,S,9,9,6,6,6,1.196,1.18,1.84,3.0,2.0,-2.0,0.16761,0.1185082,0.23596,5.5386,5.6948672,10.36001,4.0,2.0,6.0,Handbook,True,Ce2SrS4
Sm2CeS4,Th3P4,0,1,1.83,1.935190955,0,Sm,Sm,Ce,Ce,S,S,9,9,6,6,6,1.32,1.01,1.84,2.5,3.0,-2.0,0.185468,0.16761,0.23596,5.64371,5.5386,10.36001,8.0,4.0,6.0,Handbook,True,Sm2CeS4
Ce2PbSe4,Th3P4,0,1,1.83,2.279900846,0,Ce,Ce,Pb,Pb,Se,Se,9,9,6,6,6,1.196,1.19,1.98,3.0,2.0,-2.0,0.16761,0.177911,0.2240328,5.5386,7.4166796,9.752392,4.0,4.0,6.0,Handbook,True,Ce2PbSe4
Nd2CeS4,Th3P4,0,1,1.83,1.909459765,0,Nd,Nd,Ce,Ce,S,S,9,9,6,6,6,1.35,1.01,1.84,2.5,3.0,-2.0,0.176539,0.16761,0.23596,5.525,5.5386,10.36001,6.0,4.0,6.0,Handbook,True,Nd2CeS4
Pr2EuSe4,Th3P4,0,1,1.83,2.285678367,0,Pr,Pr,Eu,Eu,Se,Se,9,9,6,6,6,1.179,1.17,1.98,3.0,2.0,-2.0,0.17208,0.189935,0.2240328,5.473,5.670385,9.752392,5.0,9.0,6.0,Handbook,True,Pr2EuSe4
Dy2CaS4,Th3P4,0,1,1.83,2.209061596,0,Dy,Dy,Ca,Ca,S,S,9,9,6,6,6,1.083,1.0,1.84,3.0,2.0,-2.0,0.20333,0.1154119,0.23596,5.93905,6.1131552,10.36001,12.0,2.0,6.0,Handbook,True,Dy2CaS4
Tm2MgS4,Th3P4,0,1,1.83,2.067028441,0,Tm,Tm,Mg,Mg,S,S,9,9,6,6,6,1.052,0.72,1.84,3.0,2.0,-2.0,0.2167244,0.121644,0.23596,6.18431,7.646235,10.36001,15.0,2.0,6.0,Handbook,True,Tm2MgS4
Tb2YbS4,Th3P4,0,1,1.83,2.210806484,0,Tb,Tb,Yb,Yb,S,S,9,9,6,6,6,1.095,1.02,1.84,3.0,2.0,-2.0,0.198863,0.22119,0.23596,5.8638,6.25416,10.36001,11.0,16.0,6.0,Handbook,True,Tb2YbS4
Sm2ZnS4,Th3P4,0,1,1.83,2.004196779,0,Sm,Sm,Zn,Zn,S,S,9,9,6,6,6,1.132,0.74,1.84,3.0,2.0,-2.0,0.185468,0.1551518,0.23596,5.64371,9.394199,10.36001,8.0,12.0,6.0,Handbook,True,Sm2ZnS4
Pr2YbS4,Th3P4,0,1,1.83,2.091568605,0,Pr,Pr,Yb,Yb,S,S,9,9,6,6,6,1.179,1.02,1.84,3.0,2.0,-2.0,0.17208,0.22119,0.23596,5.473,6.25416,10.36001,5.0,16.0,6.0,Handbook,True,Pr2YbS4
