Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX
GdLaCuO4,rp,1,1,Gd,La,Cu,Cu,O,O,1.1615,0.73,1.4,0.304575
DySmCuO4,rp,1,1,Dy,Sm,Cu,Cu,O,O,1.1075,0.73,1.4,0.304575
SrLaMnO4,rp,1,1,Sr,La,Mn,Mn,O,O,1.263,0.645,1.4,0.304575
SmTbCuO4,rp,1,1,Sm,Tb,Cu,Cu,O,O,1.1135000000000002,0.73,1.4,0.304575
CaYCrO4,rp,1,1,Ca,Y,Cr,Cr,O,O,1.1275,0.615,1.4,0.304575
CaCeMnO4,rp,1,1,Ca,Ce,Mn,Mn,O,O,1.075,0.83,1.4,0.304575
BaSrSnO4,rp,1,1,Ba,Sr,Sn,Sn,O,O,1.39,0.69,1.4,0.304575
CaPrAlO4,rp,1,1,Ca,Pr,Al,Al,O,O,1.1795,0.535,1.4,0.304575
CaYAlO4,rp,1,1,Ca,Y,Al,Al,O,O,1.1275,0.535,1.4,0.304575
DyEuCuO4,rp,1,1,Dy,Eu,Cu,Cu,O,O,1.1015,0.73,1.4,0.304575
DyNdCuO4,rp,1,1,Dy,Nd,Cu,Cu,O,O,1.123,0.73,1.4,0.304575
DyPrCuO4,rp,1,1,Dy,Pr,Cu,Cu,O,O,1.131,0.73,1.4,0.304575
EuLaCuO4,rp,1,1,Eu,La,Cu,Cu,O,O,1.168,0.73,1.4,0.304575
NaLuTiO4,rp,1,1,Na,Lu,Ti,Ti,O,O,1.136,0.605,1.4,0.304575
SrPrScO4,rp,1,1,Sr,Pr,Sc,Sc,O,O,1.2445,0.745,1.4,0.304575
SrPrNiO4,rp,1,1,Sr,Pr,Ni,Ni,O,O,1.2445,0.6,1.4,0.304575
SrNdVO4,rp,1,1,Sr,Nd,V,V,O,O,1.2365,0.64,1.4,0.304575
KRbMnF4,rp,1,1,K,Rb,Mn,Mn,F,F,1.59,0.83,1.33,0.344443
SrGdFeO4,rp,1,1,Sr,Gd,Fe,Fe,O,O,1.2085,0.645,1.4,0.304575
SrPrFeO4,rp,1,1,Sr,Pr,Fe,Fe,O,O,1.2445,0.645,1.4,0.304575
SrLaCrO4,rp,1,1,Sr,La,Cr,Cr,O,O,1.263,0.615,1.4,0.304575
CaGdAlO4,rp,1,1,Ca,Gd,Al,Al,O,O,1.1435,0.535,1.4,0.304575
CaEuAlO4,rp,1,1,Ca,Eu,Al,Al,O,O,1.15,0.535,1.4,0.304575
CaErAlO4,rp,1,1,Ca,Er,Al,Al,O,O,1.121,0.535,1.4,0.304575
KRbCuF4,rp,1,1,K,Rb,Cu,Cu,F,F,1.59,0.73,1.33,0.344443
SrGdAlO4,rp,1,1,Sr,Gd,Al,Al,O,O,1.2085,0.535,1.4,0.304575
CeEuAlO4,rp,1,1,Ce,Eu,Al,Al,O,O,1.248,0.535,1.4,0.304575
Sr2VO4,rp,1,1,Sr,Sr,V,V,O,O,1.31,0.58,1.4,0.304575
Gd2NiO4,rp,1,1,Gd,Gd,Ni,Ni,O,O,1.107,0.69,1.4,0.304575
SrLaAlO4,rp,1,1,Sr,La,Al,Al,O,O,1.263,0.535,1.4,0.304575
SrLaGaO4,rp,1,1,Sr,La,Ga,Ga,O,O,1.263,0.62,1.4,0.304575
SrNdGaO4,rp,1,1,Sr,Nd,Ga,Ga,O,O,1.2365,0.62,1.4,0.304575
NaDyTiO4,rp,1,1,Na,Dy,Ti,Ti,O,O,1.1615,0.605,1.4,0.304575
KLaTiO4,rp,1,1,K,La,Ti,Ti,O,O,1.383,0.605,1.4,0.304575
SrGdCoO4,rp,1,1,Sr,Gd,Co,Co,O,O,1.2085,0.61,1.4,0.304575
SrNdCoO4,rp,1,1,Sr,Nd,Co,Co,O,O,1.2365,0.61,1.4,0.304575
SrSmCoO4,rp,1,1,Sr,Sm,Co,Co,O,O,1.221,0.61,1.4,0.304575
SrDyCrO4,rp,1,1,Sr,Dy,Cr,Cr,O,O,1.1965,0.615,1.4,0.304575
SrCeVO4,rp,1,1,Sr,Ce,V,V,O,O,1.253,0.64,1.4,0.304575
BaLaScO4,rp,1,1,Ba,La,Sc,Sc,O,O,1.343,0.745,1.4,0.304575
BaLaMnO4,rp,1,1,Ba,La,Mn,Mn,O,O,1.343,0.645,1.4,0.304575
BaLaFeO4,rp,1,1,Ba,La,Fe,Fe,O,O,1.343,0.645,1.4,0.304575
CaLaAlO4,rp,1,1,Ca,La,Al,Al,O,O,1.198,0.535,1.4,0.304575
CaNdAlO4,rp,1,1,Ca,Nd,Al,Al,O,O,1.1715,0.535,1.4,0.304575
CaSmAlO4,rp,1,1,Ca,Sm,Al,Al,O,O,1.156,0.535,1.4,0.304575
BaSrPbO4,rp,1,1,Ba,Sr,Pb,Pb,O,O,1.39,0.775,1.4,0.304575
NaLaTiO4,rp,1,1,Na,La,Ti,Ti,O,O,1.228,0.605,1.4,0.304575
SrPrGaO4,rp,1,1,Sr,Pr,Ga,Ga,O,O,1.2445,0.62,1.4,0.304575
LaNdCuO4,rp,1,1,La,Nd,Cu,Cu,O,O,1.1895,0.73,1.4,0.304575
SrGdVO4,rp,1,1,Sr,Gd,V,V,O,O,1.2085,0.64,1.4,0.304575
NdTbCuO4,rp,1,1,Nd,Tb,Cu,Cu,O,O,1.129,0.73,1.4,0.304575
SrEuCoO4,rp,1,1,Sr,Eu,Co,Co,O,O,1.215,0.61,1.4,0.304575
PrTbCuO4,rp,1,1,Pr,Tb,Cu,Cu,O,O,1.137,0.73,1.4,0.304575
CaLaFeO4,rp,1,1,Ca,La,Fe,Fe,O,O,1.198,0.645,1.4,0.304575
CaLaCrO4,rp,1,1,Ca,La,Cr,Cr,O,O,1.198,0.615,1.4,0.304575
Sr2IrO4,rp,1,1,Sr,Sr,Ir,Ir,O,O,1.31,0.625,1.4,0.304575
SrNdAlO4,rp,1,1,Sr,Nd,Al,Al,O,O,1.2365,0.535,1.4,0.304575
SrPrCrO4,rp,1,1,Sr,Pr,Cr,Cr,O,O,1.2445,0.615,1.4,0.304575
Rb2MnBr4,rp,1,1,Rb,Rb,Mn,Mn,Br,Br,1.63,0.83,1.96,0.2412578
Rb2HgF4,rp,1,1,Rb,Rb,Hg,Hg,F,F,1.63,1.02,1.33,0.344443
K2MgF4,rp,1,1,K,K,Mg,Mg,F,F,1.55,0.72,1.33,0.344443
Rb2MgCl4,rp,1,1,Rb,Rb,Mg,Mg,Cl,Cl,1.63,0.72,1.81,0.263803
Cs2CuF4,rp,1,1,Cs,Cs,Cu,Cu,F,F,1.78,0.73,1.33,0.344443
Sr2CrO4,rp,1,1,Sr,Sr,Cr,Cr,O,O,1.31,0.55,1.4,0.304575
Sr2CoO4,rp,1,1,Sr,Sr,Co,Co,O,O,1.31,0.53,1.4,0.304575
Ba2ZrS4,rp,1,1,Ba,Ba,Zr,Zr,S,S,1.47,0.72,1.84,0.23596
Cs2CaBr4,rp,1,1,Cs,Cs,Ca,Ca,Br,Br,1.78,1.0,1.96,0.2412578
Ba2SnO4,rp,1,1,Ba,Ba,Sn,Sn,O,O,1.47,0.69,1.4,0.304575
Ba2HfS4,rp,1,1,Ba,Ba,Hf,Hf,S,S,1.47,0.71,1.84,0.23596
Cs2CaCl4,rp,1,1,Cs,Cs,Ca,Ca,Cl,Cl,1.78,1.0,1.81,0.263803
Cs2HgF4,rp,1,1,Cs,Cs,Hg,Hg,F,F,1.78,1.02,1.33,0.344443
Cs2MnF4,rp,1,1,Cs,Cs,Mn,Mn,F,F,1.78,0.83,1.33,0.344443
NaNdTiO4,rp,1,1,Na,Nd,Ti,Ti,O,O,1.2015,0.605,1.4,0.304575
Eu2ZrO4,rp,1,1,Eu,Eu,Zr,Zr,O,O,1.3,0.72,1.4,0.304575
Ca2GeO4,rp,1,1,Ca,Ca,Ge,Ge,O,O,1.18,0.53,1.4,0.304575
Ba2HfO4,rp,1,1,Ba,Ba,Hf,Hf,O,O,1.47,0.71,1.4,0.304575
Eu2VO4,rp,1,1,Eu,Eu,V,V,O,O,1.3,0.58,1.4,0.304575
Rb2FeF4,rp,1,1,Rb,Rb,Fe,Fe,F,F,1.63,0.78,1.33,0.344443
Cs2NpO4,rp,1,1,Cs,Cs,Np,Np,O,O,1.78,0.72,1.4,0.304575
SrLaVO4,rp,1,1,Sr,La,V,V,O,O,1.263,0.64,1.4,0.304575
Cs2CaF4,rp,1,1,Cs,Cs,Ca,Ca,F,F,1.78,1.0,1.33,0.344443
NaSmTiO4,rp,1,1,Na,Sm,Ti,Ti,O,O,1.186,0.605,1.4,0.304575
NaTmTiO4,rp,1,1,Na,Tm,Ti,Ti,O,O,1.146,0.605,1.4,0.304575
NaYTiO4,rp,1,1,Na,Y,Ti,Ti,O,O,1.1575,0.605,1.4,0.304575
SrNdNiO4,rp,1,1,Sr,Nd,Ni,Ni,O,O,1.2365,0.6,1.4,0.304575
EuTbCuO4,rp,1,1,Eu,Tb,Cu,Cu,O,O,1.1075,0.73,1.4,0.304575
Eu2TiO4,rp,1,1,Eu,Eu,Ti,Ti,O,O,1.3,0.605,1.4,0.304575
SrEuAlO4,rp,1,1,Sr,Eu,Al,Al,O,O,1.215,0.535,1.4,0.304575
EuSmAlO4,rp,1,1,Eu,Sm,Al,Al,O,O,1.2160000000000002,0.535,1.4,0.304575
EuPrAlO4,rp,1,1,Eu,Pr,Al,Al,O,O,1.2395,0.535,1.4,0.304575
Rb2MnCl4,rp,1,1,Rb,Rb,Mn,Mn,Cl,Cl,1.63,0.83,1.81,0.263803
K2MgCl4,rp,1,1,K,K,Mg,Mg,Cl,Cl,1.55,0.72,1.81,0.263803
Ba2PbO4,rp,1,1,Ba,Ba,Pb,Pb,O,O,1.47,0.775,1.4,0.304575
Sr2HfO4,rp,1,1,Sr,Sr,Hf,Hf,O,O,1.31,0.71,1.4,0.304575
SrGdCrO4,rp,1,1,Sr,Gd,Cr,Cr,O,O,1.2085,0.615,1.4,0.304575
SrNdCrO4,rp,1,1,Sr,Nd,Cr,Cr,O,O,1.2365,0.615,1.4,0.304575
SrGdNiO4,rp,1,1,Sr,Gd,Ni,Ni,O,O,1.2085,0.6,1.4,0.304575
SrLaScO4,rp,1,1,Sr,La,Sc,Sc,O,O,1.263,0.745,1.4,0.304575
K2FeF4,rp,1,1,K,K,Fe,Fe,F,F,1.55,0.78,1.33,0.344443
Rb2CuF4,rp,1,1,Rb,Rb,Cu,Cu,F,F,1.63,0.73,1.33,0.344443
Rb2MgF4,rp,1,1,Rb,Rb,Mg,Mg,F,F,1.63,0.72,1.33,0.344443
Tl2CoF4,rp,1,1,Tl,Tl,Co,Co,F,F,1.59,0.745,1.33,0.344443
K2NiF4,rp,1,1,K,K,Ni,Ni,F,F,1.55,0.69,1.33,0.344443
K2MnF4,rp,1,1,K,K,Mn,Mn,F,F,1.55,0.83,1.33,0.344443
K2CoF4,rp,1,1,K,K,Co,Co,F,F,1.55,0.745,1.33,0.344443
Rb2CoF4,rp,1,1,Rb,Rb,Co,Co,F,F,1.63,0.745,1.33,0.344443
NaPrTiO4,rp,1,1,Na,Pr,Ti,Ti,O,O,1.2095,0.605,1.4,0.304575
Nd2CoO4,rp,1,1,Nd,Nd,Co,Co,O,O,1.163,0.745,1.4,0.304575
Rb2MnCl2I2,rp,1,1,Rb,Rb,Mn,Mn,Cl,I,1.63,0.83,2.005,0.2416603
Pr2CoO4,rp,1,1,Pr,Pr,Co,Co,O,O,1.179,0.745,1.4,0.304575
Ba2RuO4,rp,1,1,Ba,Ba,Ru,Ru,O,O,1.47,0.62,1.4,0.304575
Cs2CrO4,k2so4,0,1,Cs,Cs,Cr,Cr,O,O,1.78,0.44,1.4,0.304575
Co2RuO4,spinel,0,1,Co,Co,Ru,Ru,O,O,0.9,0.62,1.4,0.304575
Co2SiO4,spinel,0,1,Co,Co,Si,Si,O,O,0.9,0.4,1.4,0.304575
Co2SnO4,spinel,0,1,Co,Co,Sn,Sn,O,O,0.9,0.69,1.4,0.304575
Na2BeCl4,olivine,0,1,Na,Na,Be,Be,Cl,Cl,1.24,0.45,1.81,0.263803
Li2BeCl4,olivine,0,1,Li,Li,Be,Be,Cl,Cl,0.92,0.45,1.81,0.263803
Ba2CrO4,k2so4,0,1,Ba,Ba,Cr,Cr,O,O,1.47,0.55,1.4,0.304575
Cs2BeCl4,k2so4,0,1,Cs,Cs,Be,Be,Cl,Cl,1.78,0.45,1.81,0.263803
Ba2TiS4,k2so4,0,1,Ba,Ba,Ti,Ti,S,S,1.47,0.605,1.84,0.23596
Ba2SiS4,k2so4,0,1,Ba,Ba,Si,Si,S,S,1.47,0.4,1.84,0.23596
Ba2SiO4,k2so4,0,1,Ba,Ba,Si,Si,O,O,1.47,0.4,1.4,0.304575
Ba2GeS4,k2so4,0,1,Ba,Ba,Ge,Ge,S,S,1.47,0.53,1.84,0.23596
Ba2GeO4,olivine,0,1,Ba,Ba,Ge,Ge,O,O,1.47,0.53,1.4,0.304575
K2BeCl4,k2so4,0,1,K,K,Be,Be,Cl,Cl,1.55,0.45,1.81,0.263803
