Substance,Label,rp,f.e
Cs2AgF4,1,1.4683719378233921,-0.5137445550000006
Sr2VO4,1,1.749664538282809,-1.4301452599999962
Mg2TcO4,0,1.9984939328300868,3.6833658274999976
Ni2RhS4,0,2.5073337388386125,5.036746696666668
Zn2PdO4,0,1.9757263253760926,3.696393539999999
Mn2TiO4,0,1.9183625916465517,0.6140886700000046
Mn2TcO4,0,1.9246921729216946,1.7058552475000006
Mn2SiO4,0,2.0444398044980816,0.7660795150000013
Sc2MgS4,0,2.2835094376163285,3.9813556325000032
Lu2MnSe4,0,2.1913599281834673,2.869335497499998
Lu2ZnS4,0,2.091026508337463,3.2171911792857104
Mg2PtO4,0,1.9898140719927477,4.383408849999995
Sc2MgO4,0,2.0793323074022148,3.3180104362500007
Mg2SnO4,0,2.025485095386445,3.987529249999998
Mg2TiO4,0,1.98329448076492,2.5526523899999987
Tm2MgS4,0,2.0670284406599175,2.261762738749999
Mn2ScO4,0,1.973077869120822,3.2169875831250003
Yb2MgS4,0,2.0760623297137966,2.74137705625
Sc2MgSe4,0,2.343211325023122,3.918946432500002
Tm2MgSe4,0,2.126730328066711,2.189773502499998
Y2MgSe4,0,2.1069008213540115,2.5525718549999983
Yb2MgSe4,0,2.13576421712059,2.3216514337500005
Mn2NiO4,0,1.957825127659933,0.2672748600000041
Ni2SnO4,0,2.4244246232238393,3.8394245850000033
Ni2SiO4,0,2.2068925455188757,2.870016310000004
Nd2ZnS4,0,1.9817188890108763,1.753963914285717
Nd2YbS4,0,2.112304375722797,3.252855670000004
Mg2GeS4,0,2.2178762837791766,4.257243096666668
Sc2FeS4,0,2.3397002896313057,3.496273437500003
Fe2SiS4,0,2.3337969757769184,5.136893364999995
Fe2SnS4,0,2.195493161855452,5.51785596
Yb2FeS4,0,2.0091154130461284,0.7072329574999969
Gd2MnS4,0,2.0510761608214487,1.7009063275000005
Gd2ZnS4,0,2.02371631297163,2.4059676217857104
Mg2GeO4,0,1.9798990517867998,2.241333833333332
La2SrSe4,0,2.237029254055977,4.0260333025
Lu2MgS4,0,2.0853601021462445,2.975173099999997
Zn2PtO4,0,1.9789160411293296,4.32834626
Lu2MgSe4,0,2.145061989553038,3.1812012424999967
Mn2VO4,0,1.9186560267757744,0.6056818899999996
Sc2MnS4,0,2.399074725804705,3.3935732274999992
Mn2SiS4,0,2.318372170063833,4.004382925000002
Tm2MnS4,0,2.1113938639156777,0.917461383750002
Yb2MnS4,0,2.123398968408767,0.2928272812500019
Sc2MnSe4,0,2.4546799073604366,3.4878566975000016
Mn2SiSe4,0,2.39847065723981,3.423557009999996
Yb2MnSe4,0,2.179004149964498,0.4243611087499968
Rb2MoS4,0,1.8969856598795505,-0.5928716000000023
Rb2MoSe4,0,1.9629377105043315,-0.0084185199999957
Na2WO4,0,1.7616563450754639,-1.91884048
V2FeO4,0,2.1398760611582555,3.6193372099999976
Fe2SiO4,0,2.059864610211167,2.349869125000005
K2MnF4,1,1.5526061750554203,-0.2260201649999942
K2CoF4,1,1.5671465986330386,-0.3295858050000007
Rb2CoF4,1,1.5450262968675728,-0.4177141850000012
Tl2CoF4,1,1.5556691716140842,-0.1708702299999984
Nd2CoO4,1,1.781185951872329,0.26318267125
Pr2CoO4,1,1.7701239843452896,0.3632590850000028
Ba2RuO4,1,1.6805746102056962,-1.1337961399999976
K2NiF4,1,1.5865259606261408,-0.5091681800000014
Rb2MgF4,1,1.5542401431073907,-0.4727227950000028
Rb2CuF4,1,1.5503564514904868,-0.7068977550000035
K2FeF4,1,1.5590417893569513,-0.3067246699999977
Eu2VO4,1,1.7526919201025333,-1.5962641799999986
Cs2CaF4,1,1.4688729745283093,0.0125894999999971
Ba2HfS4,1,1.8431113933759646,-0.495197080000004
Eu2TiO4,1,1.73778288848046,-1.3020001500000014
Rb2MnCl4,1,1.7360142268536753,-0.1494777200000001
K2MgCl4,1,1.8013000333344842,0.1836121299999984
Ba2PbO4,1,1.6219943266455483,-1.3877732800000049
Sr2HfO4,1,1.6979664456135848,-0.6481336375000026
Cs2NpO4,1,1.558049082644534,-3.414155320000006
Rb2FeF4,1,1.5347942480856405,-0.4138845199999998
Rb2HgF4,1,1.533478028782239,-0.0309647400000017
K2MgF4,1,1.5749007699894544,-0.4662300450000032
Rb2MgCl4,1,1.7806394064524205,-0.2677291400000001
Cs2CuF4,1,1.5179765036475834,-0.5763013749999999
Sr2CrO4,1,1.7717198494687871,-1.1247123249999973
Sr2CoO4,1,1.7889572106799034,-0.8648800849999958
Ba2ZrS4,1,1.8385105494202194,-0.4588459299999989
Cs2CaBr4,1,1.7156167150612296,-0.2360434100000024
Rb2MnBr4,1,1.7959867790027912,0.9141699699999996
Ba2SnO4,1,1.6447494878635727,-1.523318800000002
Cs2CaCl4,1,1.6609791197686008,-0.4004082499999981
Cs2HgF4,1,1.4702614820835023,-0.1518700699999975
Cs2MnF4,1,1.4832915539945042,-0.4637677449999984
Eu2ZrO4,1,1.70117893968697,0.1176586000000092
Ca2GeO4,1,1.8270101170640252,-0.666877666666668
Ba2HfO4,1,1.6375014236165244,-1.4125517674999983
Tb2CdS4,0,2.1443996458148264,3.706403752499997
Yb2CdSe4,0,2.2748914488001453,2.93298774375
La2CdSe4,0,2.054031072057364,2.4162345825000022
La2CdTe4,0,2.135578034035845,2.793374741249999
Lu2CdS4,0,2.2391034919427804,4.470240549999994
Lu2CdSe4,0,2.291078253623225,4.6038219725
Nd2CdS4,0,2.0589535167012816,2.6789197950000005
Nd2CdSe4,0,2.1109282783817265,2.65133717375
Cd2SnO4,0,1.8178956976040046,1.8163388599999983
Pr2CdS4,0,2.0409661725399326,2.9188200025000004
Pr2CdSe4,0,2.092940934220377,2.902054794999997
Sm2CdS4,0,2.0959993451374666,2.6018300975000006
Tm2CdS4,0,2.2071892857479303,3.3160404387499955
Ba2IrO4,1,1.6774325414558395,-0.8215249200000017
Yb2CdS4,0,2.222916687119701,3.3983081162500017
Sm2CdSe4,0,2.1479741068179115,2.579803210000001
Tb2CdSe4,0,2.1963744074952714,3.506910634999996
Tm2CdSe4,0,2.259164047428375,3.311267862500002
Y2CdSe4,0,2.2246421920884614,3.779203455
K2ZnCl4,0,1.7918812683939944,0.130322774999998
Li2MgCl4,0,2.1980011697137676,1.6533578099999993
Li2VCl4,0,2.251009186959386,1.723694329999999
Li2ZnCl4,0,2.2109274533501972,1.7028799250000013
Rb2CrO4,0,1.8566320449611184,-1.448031775000004
Ho2CdSe4,0,2.229019368100469,3.296954842499999
Ce2EuSe4,0,2.257881600098477,3.7685942312500025
Ce2PbS4,0,2.233462063063727,4.518610092500001
K2SrCl4,0,1.8180694369032002,0.8861735500000023
Sr2IrO4,1,1.7242866363132126,-0.2473477299999977
K2NpO4,1,1.610208611687906,-3.5385379599999998
Pr2CuO4,1,1.7682195163640717,0.605921519999999
K2PuO4,1,1.6140420959353432,-3.561435269999997
Nd2CuO4,1,1.7788405199137483,0.4898627562500017
Nd2CeS4,0,1.9094597654746894,2.9099832612500016
Ce2PbSe4,0,2.279900845927938,4.122223401249999
Sm2CeS4,0,1.935190955035845,2.637058798750001
Ce2SrS4,0,2.2221512826077046,4.600759032500001
Ce2YbS4,0,2.0704423311745184,3.277603817500003
Ce2SrSe4,0,2.2687864248376455,4.372728031250002
Cs2CoCl4,0,1.733870198815191,0.2245048100000009
K2CoCl4,0,1.7897148026101324,0.3720242900000006
Li2CoCl4,0,2.214442904884268,1.7074215200000005
Na2CoCl4,0,1.91966342383802,1.1541704399999997
Tl2CoCl4,0,1.778237375591178,0.2130553899999991
Cs2CuCl4,0,1.7428197398710852,-0.2302380900000002
Cs2MgCl4,0,1.7491405042911121,-0.3758710899999986
Cs2ZnCl4,0,1.736783741186914,-0.1595053149999987
K2CuCl4,0,1.7964382063587645,-0.1151828200000011
K2EuCl4,0,1.8135694607695125,0.6283204999999974
