Substance rA rB rX xX
Eu2TiO4 1.3 0.605 1.4 0.304575
SrEuAlO4 1.215 0.535 1.4 0.304575
EuPrAlO4 1.2395 0.535 1.4 0.304575
Rb2MnCl4 1.63 0.83 1.81 0.263803
K2MgCl4 1.55 0.72 1.81 0.263803
Ba2PbO4 1.47 0.775 1.4 0.304575
Sr2HfO4 1.31 0.71 1.4 0.304575
SrLaScO4 1.263 0.745 1.4 0.304575
K2FeF4 1.55 0.78 1.33 0.344443
Rb2MgF4 1.63 0.72 1.33 0.344443
Tl2CoF4 1.59 0.745 1.33 0.344443
K2NiF4 1.55 0.69 1.33 0.344443
K2MnF4 1.55 0.83 1.33 0.344443
Rb2CoF4 1.63 0.745 1.33 0.344443
Nd2CoO4 1.163 0.745 1.4 0.304575
Rb2MnCl2I2 1.63 0.83 2.005 0.2416603
Pr2CoO4 1.179 0.745 1.4 0.304575
Ba2RuO4 1.47 0.62 1.4 0.304575
Co2RuO4 0.9 0.62 1.4 0.304575
Co2SiO4 0.9 0.4 1.4 0.304575
Co2SnO4 0.9 0.69 1.4 0.304575
Na2BeCl4 1.24 0.45 1.81 0.263803
Cs2BeCl4 1.78 0.45 1.81 0.263803
Ba2TiS4 1.47 0.605 1.84 0.23596
Ba2SiS4 1.47 0.4 1.84 0.23596
Ba2SiO4 1.47 0.4 1.4 0.304575
Ba2GeS4 1.47 0.53 1.84 0.23596
Ba2GeO4 1.47 0.53 1.4 0.304575
K2BeCl4 1.55 0.45 1.81 0.263803
Ca2GeS4 1.18 0.53 1.84 0.23596
Cs2ZnI4 1.78 0.74 2.2 0.21951759999999998
Rb2ZnBr4 1.63 0.74 1.96 0.2412578
Rb2CoCl4 1.63 0.745 1.81 0.263803
K2BaCl4 1.55 1.35 1.81 0.263803
Rb2BaBr4 1.63 1.35 1.96 0.2412578
Ho2CdS4 1.072 0.95 1.84 0.23596
La2CdS4 1.216 0.95 1.84 0.23596
Co2RhS4 0.9 0.6 1.84 0.23596
Co2VO4 0.9 0.58 1.4 0.304575
Co2TiO4 0.9 0.605 1.4 0.304575
Co2TcO4 0.9 0.645 1.4 0.304575
Cs2HgCl4 1.78 1.02 1.81 0.263803
Rb2BaCl4 1.63 1.35 1.81 0.263803
Sm2CdS4 1.1320000000000001 0.95 1.84 0.23596
Cs2WSe4 1.78 0.6 1.98 0.2240328
Zn2GeO4 0.9 0.53 1.4 0.304575
Lu2FeS4 1.032 0.78 1.84 0.23596
In2FeS4 0.92 0.78 1.84 0.23596
Fe2GeSe4 0.92 0.53 1.98 0.2240328
Fe2TiO4 0.92 0.605 1.4 0.304575
Mn2GeS4 0.96 0.53 1.84 0.23596
Mn2GeSe4 0.96 0.53 1.98 0.2240328
La2SrS4 1.216 1.18 1.84 0.23596
La2PbSe4 1.216 1.19 1.98 0.2240328
La2PbS4 1.216 1.19 1.84 0.23596
Sr2NiO2Cl2 1.31 0.69 1.605 0.284189
K2WSe4 1.55 0.6 1.98 0.2240328
K2MoS4 1.55 0.59 1.84 0.23596
In2MnSe4 0.92 0.83 1.98 0.2240328
In2MnS4 0.92 0.83 1.84 0.23596
In2MnO4 0.92 0.83 1.4 0.304575
Li2MoO4 0.92 0.59 1.4 0.304575
Cs2MnBr4 1.78 0.83 1.96 0.2412578
Cs2ZnBr4 1.78 0.74 1.96 0.2412578
Zn2SnO4 0.9 0.69 1.4 0.304575
LuNaSiO4 1.1360000000000001 0.4 1.4 0.304575
LiTmSiO4 0.986 0.4 1.4 0.304575
LiInSiO4 0.92 0.4 1.4 0.304575
NaYbGeO4 1.141 0.53 1.4 0.304575
MgMnSiO4 0.925 0.4 1.4 0.304575
NaYGeO4 1.1575 0.53 1.4 0.304575
NaTbGeO4 1.1675 0.53 1.4 0.304575
NaSmGeO4 1.186 0.53 1.4 0.304575
MnZnGeO4 0.9299999999999999 0.53 1.4 0.304575
MnNiGeS4 0.825 0.53 1.84 0.23596
MgMnGeO4 0.925 0.53 1.4 0.304575
LuNaGeO4 1.1360000000000001 0.53 1.4 0.304575
NaTmGeO4 1.146 0.53 1.4 0.304575
NaSrVO4 1.275 0.54 1.4 0.304575
Ag2MoO4 1.28 0.59 1.4 0.304575
Cs2WS4 1.78 0.6 1.84 0.23596
Fe2CuO4 0.78 0.73 1.4 0.304575
EuPrCuO4 1.1495000000000002 0.73 1.4 0.304575
SmGdCuO4 1.1195 0.73 1.4 0.304575
PrGdCuO4 1.143 0.73 1.4 0.304575
Pr2CaS4 1.179 1.0 1.84 0.23596
Eu2CuO4 1.12 0.73 1.4 0.304575
Yb2CaS4 1.042 1.0 1.84 0.23596
Tl2CoBr4 1.59 0.745 1.96 0.2412578
K2CoBr4 1.55 0.745 1.96 0.2412578
Bi2YbTe4 1.17 1.02 2.21 0.20569920000000003
Bi2EuTe4 1.17 1.17 2.21 0.20569920000000003
Rh2BeO4 0.665 0.45 1.4 0.304575
NdGaCuO4 0.8915 0.73 1.4 0.304575
EuNdCuO4 1.1415000000000002 0.73 1.4 0.304575
Ho2CaS4 1.072 1.0 1.84 0.23596
EuGdCuO4 1.1135000000000002 0.73 1.4 0.304575
Nd2CaS4 1.163 1.0 1.84 0.23596
Rb2BeF4 1.63 0.45 1.33 0.344443
K2BeF4 1.55 0.45 1.33 0.344443
Cs2BeF4 1.78 0.45 1.33 0.344443
Cr2BeO4 0.615 0.45 1.4 0.304575
Ho2CuO4 1.072 0.73 1.4 0.304575
In2CuO4 0.92 0.73 1.4 0.304575
Sm2CuO4 1.1320000000000001 0.73 1.4 0.304575
Tm2CuO4 1.052 0.73 1.4 0.304575
Y2CuO4 1.075 0.73 1.4 0.304575
Gd2PdO4 1.107 0.86 1.4 0.304575
Gd2CuO4 1.107 0.73 1.4 0.304575
La2PdO4 1.216 0.86 1.4 0.304575
Nd2PdO4 1.163 0.86 1.4 0.304575
Rb2CoBr4 1.63 0.745 1.96 0.2412578
