Substance rA rB rX xX
Sr2RuO4 1.31 0.62 1.4 0.304575
NaSmTiO4 1.186 0.605 1.4 0.304575
SrCeVO4 1.253 0.64 1.4 0.304575
CaSmAlO4 1.156 0.535 1.4 0.304575
SrEuCoO4 1.215 0.61 1.4 0.304575
CaLaCrO4 1.198 0.615 1.4 0.304575
Sr2CoO4 1.31 0.53 1.4 0.304575
Ba2ZrS4 1.47 0.72 1.84 0.23596
SrEuAlO4 1.215 0.535 1.4 0.304575
CeEuAlO4 1.248 0.535 1.4 0.304575
EuPrAlO4 1.2395 0.535 1.4 0.304575
K2MgCl4 1.55 0.72 1.81 0.263803
SrLaScO4 1.263 0.745 1.4 0.304575
K2FeF4 1.55 0.78 1.33 0.344443
K2MnF4 1.55 0.83 1.33 0.344443
SrSmCrO4 1.221 0.615 1.4 0.304575
SrNdGaO4 1.2365 0.62 1.4 0.304575
Tl2CoF4 1.59 0.745 1.33 0.344443
CaEuAlO4 1.15 0.535 1.4 0.304575
Tl2CuF4 1.59 0.73 1.33 0.344443
NaLuTiO4 1.136 0.605 1.4 0.304575
Ba2IrO4 1.47 0.625 1.4 0.304575
Cs2CrCl4 1.78 0.8 1.81 0.263803
LaAgTiO4 1.248 0.605 1.4 0.304575
K2NpO4 1.55 0.72 1.4 0.304575
K2PuO4 1.55 0.71 1.4 0.304575
Sr2TiO4 1.31 0.605 1.4 0.304575
La2NiO4 1.216 0.69 1.4 0.304575
DyPrCuO4 1.131 0.73 1.4 0.304575
EuLaCuO4 1.168 0.73 1.4 0.304575
Ca2MnO4 1.18 0.53 1.4 0.304575
Rb2NpO4 1.63 0.72 1.4 0.304575
CaCeMnO4 1.075 0.83 1.4 0.304575
CaYCrO4 1.1275 0.615 1.4 0.304575
Yb2MnS4 1.042 0.83 1.84 0.23596
Nd2CdS4 1.163 0.95 1.84 0.23596
Sc2MnSe4 0.87 0.83 1.98 0.2240328
Rb2MoS4 1.63 0.59 1.84 0.23596
Lu2MgSe4 1.032 0.72 1.98 0.2240328
Nd2ZnS4 1.163 0.74 1.84 0.23596
Fe2SnS4 0.92 0.69 1.84 0.23596
Mg2GeO4 0.89 0.53 1.4 0.304575
La2SrSe4 1.216 1.18 1.98 0.2240328
K2EuCl4 1.55 1.17 1.81 0.263803
Rb2CrO4 1.63 0.44 1.4 0.304575
Li2VCl4 0.92 0.79 1.81 0.263803
Pr2CdS4 1.179 0.95 1.84 0.23596
Ni2SnO4 0.69 0.69 1.4 0.304575
CaYGaO4 1.1275 0.62 1.4 0.304575
Cs2CoCl4 1.78 0.745 1.81 0.263803
Sm2CeS4 1.32 1.01 1.84 0.23596
Yb2MgSe4 1.042 0.72 1.98 0.2240328
Li2NiF4 0.92 0.69 1.33 0.344443
NaSrAsO4 1.275 0.46 1.4 0.304575
Ba2VO4 1.47 0.58 1.4 0.304575
Zn2PdO4 0.9 0.615 1.4 0.304575
Mn2TcO4 0.96 0.645 1.4 0.304575
Yb2MgS4 1.042 0.72 1.84 0.23596
Ni2FeS4 0.69 0.645 1.84 0.23596
NaBaAsO4 1.355 0.46 1.4 0.304575
NaBaVO4 1.355 0.54 1.4 0.304575
Sm2ZnS4 1.132 0.74 1.84 0.23596
Li2ZnI4 0.92 0.74 2.2 0.2195175999999999
Cd2GeO4 1.1 0.53 1.4 0.304575
NaYGeO4 1.1575 0.53 1.4 0.304575
Dy2CdSe4 1.083 0.95 1.98 0.2240328
Gd2CdSe4 1.107 0.95 1.98 0.2240328
Ba2SiO4 1.47 0.4 1.4 0.304575
Rb2ZnBr4 1.63 0.74 1.96 0.2412578
Co2TiO4 0.9 0.605 1.4 0.304575
Cs2HgCl4 1.78 1.02 1.81 0.263803
In2FeS4 0.92 0.78 1.84 0.23596
Fe2TiO4 0.92 0.605 1.4 0.304575
K2WSe4 1.55 0.6 1.98 0.2240328
In2MnSe4 0.92 0.83 1.98 0.2240328
In2MnS4 0.92 0.83 1.84 0.23596
In2MnO4 0.92 0.83 1.4 0.304575
Cs2ZnBr4 1.78 0.74 1.96 0.2412578
Zn2SnO4 0.9 0.69 1.4 0.304575
NaYbGeO4 1.141 0.53 1.4 0.304575
NaSmGeO4 1.186 0.53 1.4 0.304575
MnNiGeS4 0.825 0.53 1.84 0.23596
Ag2MoO4 1.28 0.59 1.4 0.304575
PrGdCuO4 1.143 0.73 1.4 0.304575
Pr2CaS4 1.179 1.0 1.84 0.23596
K2CoBr4 1.55 0.745 1.96 0.2412578
Bi2EuTe4 1.17 1.17 2.21 0.2056992
NdGaCuO4 0.8915 0.73 1.4 0.304575
Rb2BeF4 1.63 0.45 1.33 0.344443
Tm2CuO4 1.052 0.73 1.4 0.304575
Na2ZnCl4 1.24 0.74 1.81 0.263803
Gd2CrS4 1.107 0.8 1.84 0.23596
Co2GeO4 0.9 0.53 1.4 0.304575
Ni2CoS4 0.69 0.53 1.84 0.23596
Pr2YbS4 1.179 1.02 1.84 0.23596
