Substance rA rB rX xX
Cs2YbCl4 1.78 1.02 1.81 0.263803
Sr2FeO4 1.31 0.585 1.4 0.304575
SrNdVO4 1.2365 0.64 1.4 0.304575
SrLaCrO4 1.263 0.615 1.4 0.304575
SrGdAlO4 1.2085 0.535 1.4 0.304575
Sr2VO4 1.31 0.58 1.4 0.304575
SrPrGaO4 1.2445 0.62 1.4 0.304575
NdTbCuO4 1.129 0.73 1.4 0.304575
SrPrCrO4 1.2445 0.615 1.4 0.304575
NaNdTiO4 1.2015 0.605 1.4 0.304575
Rb2FeF4 1.63 0.78 1.33 0.344443
Ba2PbO4 1.47 0.775 1.4 0.304575
Rb2MgF4 1.63 0.72 1.33 0.344443
K2NiF4 1.55 0.69 1.33 0.344443
Rb2MnCl2I2 1.63 0.83 2.005 0.2416603
Ba2RuO4 1.47 0.62 1.4 0.304575
SrTbFeO4 1.2025 0.645 1.4 0.304575
DyNdCuO4 1.123 0.73 1.4 0.304575
Rb2CoF4 1.63 0.745 1.33 0.344443
Tl2NiF4 1.59 0.69 1.33 0.344443
Nd2CuO4 1.163 0.73 1.4 0.304575
Cs2PuO4 1.78 0.71 1.4 0.304575
Rb2MnBr2Cl2 1.63 0.83 1.885 0.2525304
Sr2RhO4 1.31 0.6 1.4 0.304575
SrTbVO4 1.2025 0.64 1.4 0.304575
EuNdAlO4 1.2315 0.535 1.4 0.304575
SrEuVO4 1.3050000000000002 0.58 1.4 0.304575
Tl2UO4 1.59 0.73 1.4 0.304575
Sr2MoO4 1.31 0.65 1.4 0.304575
SrPrAlO4 1.2445 0.535 1.4 0.304575
La2CoO4 1.216 0.745 1.4 0.304575
Nd2NiO4 1.163 0.69 1.4 0.304575
La2CuO4 1.216 0.73 1.4 0.304575
CaSmCoO4 1.156 0.61 1.4 0.304575
Cs2MnCl4 1.78 0.83 1.81 0.263803
Er2ZnS4 1.062 0.74 1.84 0.23596
Na2CoCl4 1.24 0.745 1.81 0.263803
Gd2CdS4 1.107 0.95 1.84 0.23596
Cs2BaCl4 1.78 1.35 1.81 0.263803
Ho2YbS4 1.072 1.02 1.84 0.23596
Lu2CdS4 1.032 0.95 1.84 0.23596
Ni2SiO4 0.69 0.4 1.4 0.304575
Sc2FeS4 0.87 0.78 1.84 0.23596
Gd2ZnS4 1.107 0.74 1.84 0.23596
Cd2SnO4 1.1 0.69 1.4 0.304575
Tb2CdSe4 1.095 0.95 1.98 0.2240328
Sm2CdSe4 1.132 0.95 1.98 0.2240328
Nd2CdSe4 1.163 0.95 1.98 0.2240328
Ho2MgSe4 1.072 0.72 1.98 0.2240328
ErNaGeO4 1.151 0.53 1.4 0.304575
Ce2SrS4 1.196 1.18 1.84 0.23596
Dy2CaS4 1.083 1.0 1.84 0.23596
Li2ZnBr4 0.92 0.74 1.96 0.2412578
Li2MnBr2Cl2 0.92 0.83 1.885 0.2525304
GdNaGeO4 1.1735 0.53 1.4 0.304575
EuNaGeO4 1.1800000000000002 0.53 1.4 0.304575
CoMnGeS4 0.93 0.53 1.84 0.23596
KSrAsO4 1.4300000000000002 0.46 1.4 0.304575
Sc2MgSe4 0.87 0.72 1.98 0.2240328
Lu2ZnS4 1.032 0.74 1.84 0.23596
Sc2MgO4 0.87 0.72 1.4 0.304575
Mn2ScO4 0.96 0.745 1.4 0.304575
Yb2ZnS4 1.042 0.74 1.84 0.23596
Fe2CoO4 0.78 0.745 1.4 0.304575
Rb2ZnCl4 1.63 0.74 1.81 0.263803
La2PbS4 1.216 1.19 1.84 0.23596
Rb2CoI4 1.63 0.745 2.2 0.2195175999999999
Nd2PdO4 1.163 0.86 1.4 0.304575
Co2SnO4 0.9 0.69 1.4 0.304575
Ba2GeO4 1.47 0.53 1.4 0.304575
K2BeCl4 1.55 0.45 1.81 0.263803
Ca2GeS4 1.18 0.53 1.84 0.23596
Rb2BaBr4 1.63 1.35 1.96 0.2412578
Co2TcO4 0.9 0.645 1.4 0.304575
Rb2BaCl4 1.63 1.35 1.81 0.263803
Sm2CdS4 1.132 0.95 1.84 0.23596
Cs2WSe4 1.78 0.6 1.98 0.2240328
Zn2GeO4 0.9 0.53 1.4 0.304575
Fe2GeSe4 0.92 0.53 1.98 0.2240328
Mn2GeS4 0.96 0.53 1.84 0.23596
La2PbSe4 1.216 1.19 1.98 0.2240328
LuNaSiO4 1.136 0.4 1.4 0.304575
MnZnGeO4 0.93 0.53 1.4 0.304575
MgMnGeO4 0.925 0.53 1.4 0.304575
LuNaGeO4 1.136 0.53 1.4 0.304575
NaTmGeO4 1.146 0.53 1.4 0.304575
SmGdCuO4 1.1195 0.73 1.4 0.304575
Yb2CaS4 1.042 1.0 1.84 0.23596
Tl2CoBr4 1.59 0.745 1.96 0.2412578
Bi2YbTe4 1.17 1.02 2.21 0.2056992
Rh2BeO4 0.665 0.45 1.4 0.304575
K2BeF4 1.55 0.45 1.33 0.344443
Ho2CuO4 1.072 0.73 1.4 0.304575
Y2CuO4 1.075 0.73 1.4 0.304575
La2PdO4 1.216 0.86 1.4 0.304575
Y2YbS4 1.075 1.02 1.84 0.23596
