Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
((exp(rA)-exp(rX))/(rA*rX)),0.8676470588235294,0.7835964912280702,4,5,9
((exp(rX)/rA)/sqrt(rX)),0.8676470588235294,0.7835964912280702,3,4,7
(exp((rA-rX))/sqrt(sqrt(xX))),0.8676470588235294,0.7835964912280702,3,5,8
((rB/rX)-(rX/rA)),0.8676470588235294,0.7835964912280702,4,3,7
((rA*sqrt(rA))/exp(rX)),0.8676470588235294,0.7835964912280702,3,4,7
((rA-rX)/log(xX)),0.8676470588235294,0.7835964912280702,3,3,6
(exp(-(xX/rB))-exp((rX-rA))),0.8676470588235294,0.7836184210526316,4,6,9
((exp(rX)/rA)/sqrt(rA)),0.8676470588235294,0.7835964912280702,3,4,7
((exp(rX))^2/(rX*(rA)^2)),0.8676470588235294,0.7835964912280702,3,5,8
((log(xX)/exp(rB))-(rX/rA)),0.8676470588235294,0.7836184210526316,4,5,9
((rB/(rB+rX))-(rX/rA)),0.8676470588235294,0.7836184210526316,5,4,9
(exp((rA/rX))-exp(-(rB/rA))),0.8676470588235294,0.7836184210526316,4,6,9
((rA-rX)*(xX+sqrt(xX))),0.8676470588235294,0.7836184210526316,4,4,8
((exp(rX)-exp(xX))/(rA)^2),0.8676470588235294,0.7836184210526316,3,5,8
(((rA-rX)*exp(xX))/sqrt(rB)),0.8676470588235294,0.7836184210526316,4,5,9
(exp((rA-rX))+exp(-sqrt(xX))),0.8676470588235294,0.7836184210526316,3,6,8
(exp(-(rB/rX))-exp((rA/rX))),0.8676470588235294,0.7836184210526316,4,6,9
((rX/rA)*exp((rX-rA))),0.8676470588235294,0.7836184210526316,4,4,8
(exp((rB/rX))-exp((rX/rA))),0.8676470588235294,0.7836184210526316,4,5,9
((exp(rB)/rX)/((rA-rX))^2),0.8676470588235294,0.7836184210526316,4,5,9
(((rA-rX))^2*(rX/exp(rB))),0.8676470588235294,0.7836184210526316,4,5,9
(((rA-rX)-rX)/(rA+rB)),0.8676470588235294,0.7835964912280702,5,4,9
(((rA-rX)/rA)*exp(sqrt(rX))),0.8676470588235294,0.7836184210526316,4,5,9
(exp((rX-rA))-exp(-(rB)^-1)),0.8676470588235294,0.7836184210526316,3,7,9
(log((rA/rX))/(xX*exp(rB))),0.8676470588235294,0.7836184210526316,4,5,9
(((rA-rX)/rB)*sqrt(sqrt(rA))),0.8676470588235294,0.7836184210526316,4,5,9
(((rX/rA)*exp(xX))/sqrt(xX)),0.8676470588235294,0.7836184210526316,4,5,9
((rA/rX)*exp((rA-rX))),0.8676470588235294,0.7836184210526316,4,4,8
(((rX-rA)/rB)-(rA/rX)),0.8676470588235294,0.7836184210526316,5,4,9
