name,shap_importance
rA,33.4
xX,13.700000000000001
rB,12.6
rX,10.299999999999999
iX,9.700000000000001
xB,4.6
iA,3.5000000000000004
iB,3.3000000000000003
nB,2.4
xA,2.1999999999999997
vB,2.1
nA,1.4000000000000001
vA,0.6
nX,0.1
vX,0.1
