Substance f.e rA rB rX xX
Sr2IrO4 -0.2473477299999977 1.31 0.625 1.4 0.304575
SrNdAlO4 -0.321620483125006 1.2365 0.535 1.4 0.304575
Rb2MnBr4 0.9141699699999996 1.63 0.83 1.96 0.2412578
Rb2HgF4 -0.0309647400000017 1.63 1.02 1.33 0.344443
K2MgF4 -0.4662300450000032 1.55 0.72 1.33 0.344443
Rb2MgCl4 -0.2677291400000001 1.63 0.72 1.81 0.263803
Cs2CuF4 -0.5763013749999999 1.78 0.73 1.33 0.344443
Sr2CrO4 -1.1247123249999973 1.31 0.55 1.4 0.304575
Sr2CoO4 -0.8648800849999958 1.31 0.53 1.4 0.304575
Ba2ZrS4 -0.4588459299999989 1.47 0.72 1.84 0.23596
Cs2CaBr4 -0.2360434100000024 1.78 1.0 1.96 0.2412578
Ba2SnO4 -1.523318800000002 1.47 0.69 1.4 0.304575
Ba2HfS4 -0.495197080000004 1.47 0.71 1.84 0.23596
Cs2CaCl4 -0.4004082499999981 1.78 1.0 1.81 0.263803
Cs2HgF4 -0.1518700699999975 1.78 1.02 1.33 0.344443
Cs2MnF4 -0.4637677449999984 1.78 0.83 1.33 0.344443
Eu2ZrO4 0.1176586000000092 1.3 0.72 1.4 0.304575
Ca2GeO4 -0.666877666666668 1.18 0.53 1.4 0.304575
Ba2HfO4 -1.4125517674999983 1.47 0.71 1.4 0.304575
Eu2VO4 -1.5962641799999986 1.3 0.58 1.4 0.304575
Cs2NpO4 -3.414155320000006 1.78 0.72 1.4 0.304575
SrLaVO4 -0.683491815625004 1.263 0.64 1.4 0.304575
Cs2CaF4 0.0125894999999971 1.78 1.0 1.33 0.344443
NaSmTiO4 -0.8064394987500023 1.186 0.605 1.4 0.304575
NaTmTiO4 -0.2895258256249988 1.146 0.605 1.4 0.304575
NaYTiO4 -0.5423732562499985 1.1575 0.605 1.4 0.304575
SrNdNiO4 -0.9290180906250036 1.2365 0.6 1.4 0.304575
EuTbCuO4 0.6851487337500011 1.1075 0.73 1.4 0.304575
Eu2TiO4 -1.3020001500000014 1.3 0.605 1.4 0.304575
SrEuAlO4 -0.3870274181250082 1.215 0.535 1.4 0.304575
EuSmAlO4 -0.7444868037500036 1.2160000000000002 0.535 1.4 0.304575
EuPrAlO4 -0.4264648212500006 1.2395 0.535 1.4 0.304575
Rb2MnCl4 -0.1494777200000001 1.63 0.83 1.81 0.263803
K2MgCl4 0.1836121299999984 1.55 0.72 1.81 0.263803
Sr2HfO4 -0.6481336375000026 1.31 0.71 1.4 0.304575
SrGdCrO4 -0.2751355700000104 1.2085 0.615 1.4 0.304575
SrNdCrO4 -0.2857608506250031 1.2365 0.615 1.4 0.304575
SrGdNiO4 4.410872909999998 1.2085 0.6 1.4 0.304575
SrLaScO4 0.0778520150000012 1.263 0.745 1.4 0.304575
K2FeF4 -0.3067246699999977 1.55 0.78 1.33 0.344443
Rb2CuF4 -0.7068977550000035 1.63 0.73 1.33 0.344443
Tl2CoF4 -0.1708702299999984 1.59 0.745 1.33 0.344443
K2MnF4 -0.2260201649999942 1.55 0.83 1.33 0.344443
K2CoF4 -0.3295858050000007 1.55 0.745 1.33 0.344443
NaPrTiO4 -0.9538977162500012 1.2095 0.605 1.4 0.304575
Nd2CoO4 0.26318267125 1.163 0.745 1.4 0.304575
Pr2CoO4 0.3632590850000028 1.179 0.745 1.4 0.304575
Cs2CrO4 -0.8634827650000005 1.78 0.44 1.4 0.304575
Co2RuO4 3.365491655 0.9 0.62 1.4 0.304575
Co2SiO4 3.208877550000004 0.9 0.4 1.4 0.304575
Na2BeCl4 1.5523248450000011 1.24 0.45 1.81 0.263803
Li2BeCl4 2.144201005000001 0.92 0.45 1.81 0.263803
Ba2CrO4 -1.2360707649999974 1.47 0.55 1.4 0.304575
Cs2BeCl4 0.8687276950000005 1.78 0.45 1.81 0.263803
Ba2TiS4 -0.383019940000004 1.47 0.605 1.84 0.23596
Ba2SiS4 0.5900563649999988 1.47 0.4 1.84 0.23596
Ba2SiO4 -0.378614455000001 1.47 0.4 1.4 0.304575
Ba2GeS4 0.3738501366666664 1.47 0.53 1.84 0.23596
Cs2ZnI4 0.352812235 1.78 0.74 2.2 0.2195175999999999
Ba2TiO4 -1.7794421199999988 1.47 0.605 1.4 0.304575
Rb2ZnBr4 0.1319494518749984 1.63 0.74 1.96 0.2412578
Rb2CoCl4 0.3537959499999985 1.63 0.745 1.81 0.263803
K2BaCl4 1.4254488500000022 1.55 1.35 1.81 0.263803
Ho2CdS4 3.4023319200000035 1.072 0.95 1.84 0.23596
La2CdS4 2.2701355824999983 1.216 0.95 1.84 0.23596
Co2RhS4 5.096545050000003 0.9 0.6 1.84 0.23596
Co2VO4 2.5160923649999987 0.9 0.58 1.4 0.304575
Co2TiO4 2.9207693249999984 0.9 0.605 1.4 0.304575
Cs2HgCl4 -0.2359187899999977 1.78 1.02 1.81 0.263803
Cs2CuBr4 -0.0715078099999999 1.78 0.73 1.96 0.2412578
Sr2SiO4 -0.6976754649999961 1.31 0.4 1.4 0.304575
Lu2FeS4 2.6784124249999923 1.032 0.78 1.84 0.23596
In2FeS4 3.00499883375 0.92 0.78 1.84 0.23596
Fe2TiO4 2.191613900000004 0.92 0.605 1.4 0.304575
Mn2GeSe4 3.258171945000001 0.96 0.53 1.98 0.2240328
Ni2GeO4 4.629670358333335 0.69 0.53 1.4 0.304575
La2SrS4 4.0737779325000005 1.216 1.18 1.84 0.23596
Sr2NiO2Cl2 -0.7079581374999968 1.31 0.69 1.605 0.284189
K2WSe4 -1.3322017000000024 1.55 0.6 1.98 0.2240328
K2MoS4 -0.4140656300000032 1.55 0.59 1.84 0.23596
In2ZnS4 3.6664531880357134 0.92 0.74 1.84 0.23596
In2MnSe4 2.275636350000001 0.92 0.83 1.98 0.2240328
In2MnS4 2.55346154375 0.92 0.83 1.84 0.23596
In2MnO4 1.872990221250003 0.92 0.83 1.4 0.304575
In2MgO4 3.2315081312499974 0.92 0.72 1.4 0.304575
Li2MoO4 0.3524051212500012 0.92 0.59 1.4 0.304575
Sm2ZnO4 1.3489824325000015 1.132 0.74 1.4 0.304575
Cs2MnBr4 1.146636109999999 1.78 0.83 1.96 0.2412578
Na2MoO4 -1.724703928750003 1.24 0.59 1.4 0.304575
Cs2ZnBr4 -0.0195675381249991 1.78 0.74 1.96 0.2412578
Zn2SnO4 3.86755737 0.9 0.69 1.4 0.304575
LiTmSiO4 0.223520024374995 0.986 0.4 1.4 0.304575
