Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
(((rB/rA))^2+sqrt((rX/rB))),0.9117647058823529,0.8429589722337341,4,5,9
((log(xX)/rB)-(exp(rX)/rA)),0.8823529411764706,0.8198397568724962,4,5,9
((rA/log(rX))/exp((xX/rB))),0.8823529411764706,0.8214256112722751,4,5,9
((exp(rB)/rB)+(exp(rX)/rA)),0.8823529411764706,0.8340392319381131,4,5,9
(((rB/rX))^2*log((rA/rB))),0.8823529411764706,0.8340254178753972,4,5,9
((rB/log(rX))*exp((rA-rB))),0.8823529411764706,0.826681862135654,4,5,9
((exp(rX)/rB)/((rA*xX))^2),0.8823529411764706,0.806199751346871,4,5,9
((rA/log(rX))*sqrt((rB/xX))),0.8823529411764706,0.81355712114933,4,5,9
(((rX/rA))^2+(exp(-rB))^2),0.8676470588235294,0.7794073767094902,3,6,8
((rB/(rA+rB))-(rX/rA)),0.8676470588235294,0.7925321176958142,5,4,9
((rX/rA)+(rA/(rA+rB))),0.8676470588235294,0.7925321176958142,5,4,9
(sqrt(sqrt(rB))/((rX/rA)-xX)),0.8676470588235294,0.7925348805083574,4,5,9
(((rX/rA)-xX)/sqrt(sqrt(rB))),0.8676470588235294,0.7925348805083574,4,5,9
(((rA-rX)*exp(rB))/rX),0.8676470588235294,0.792536261914629,4,4,8
exp(((rA-rX)+(rB*xX))),0.8676470588235294,0.7925390247271722,4,4,8
((rA+(rB*xX))-rX),0.8676470588235294,0.7925390247271722,4,3,7
exp(((rX-rA)-(rB*xX))),0.8676470588235294,0.7925390247271722,4,4,8
((rA-rX)+(xX*(rA+rB))),0.8676470588235294,0.7920154717502418,5,4,9
(exp((rB*xX))-exp((rX-rA))),0.8676470588235294,0.7941165906893216,4,5,9
(sqrt((rB/rX))-((rX/rA))^2),0.8676470588235294,0.7920140903439702,4,5,9
((rA-rX)*(rX/(rB-rX))),0.8676470588235294,0.7920127089376985,5,4,9
((rB/(rA+rX))-(rX/rA)),0.8676470588235294,0.7930611962978311,5,4,9
(((rA+rB)/rX)-(rX/rA)),0.8676470588235294,0.792011327531427,5,4,9
((xX+(rA/rX))-sqrt(exp(-rB))),0.8676470588235294,0.7914905373670396,4,6,9
((rX/(rB+rX))-(rA/rX)),0.8676470588235294,0.7909642215775661,5,4,9
((rA/rX)+(rB/(rB+rX))),0.8676470588235294,0.7909642215775661,5,4,9
((rA+(rA+rB))/rX),0.8676470588235294,0.7909628401712943,4,3,7
(((rA+rB)+(rA+rX))/rX),0.8676470588235294,0.7909628401712943,5,4,9
(((rA+rB)+(rA-rX))/rX),0.8676470588235294,0.7909628401712943,5,4,9
((rA*(rA+rB))-(rX)^2),0.8676470588235294,0.7909614587650228,4,4,8
(((rX/rA))^2-sqrt((rB/rA))),0.8676470588235294,0.7925404061334438,4,5,9
(((rA-rB)/(rB-rX))-xX),0.8676470588235294,0.7935847492747617,5,4,9
(((rX/rA))^2/exp((rB/rX))),0.8676470588235294,0.7930611962978311,4,5,9
(exp((rB-rX))-exp((rX/rA))),0.8676470588235294,0.7930667219229174,4,5,9
((rB/rX)-(rX/rA)),0.8676470588235294,0.7946429064787954,4,3,7
(((rB+rX)/rX)-(rX/rA)),0.8676470588235294,0.7946429064787954,5,4,9
(((rA+rX)/rA)-(rB/rX)),0.8676470588235294,0.7946429064787954,5,4,9
exp(((rX/rA)-(rB/rX))),0.8676470588235294,0.7946429064787954,4,4,8
((rA)^2/((rX/xX)-rB)),0.8676470588235294,0.7778298107473409,4,4,8
(((rX/xX)-rB)/(rA)^2),0.8676470588235294,0.7778298107473409,4,4,8
((rA/exp(rX))*sqrt((rB+rX))),0.8676470588235294,0.7946387622599806,4,5,9
((rA*(rA+rB))/log(rX)),0.8676470588235294,0.7946387622599806,4,4,8
((rA+(rB*xX))/sqrt(log(rX))),0.8676470588235294,0.7946387622599806,4,5,9
(((rX)^2/(rB+rX))/rA),0.8676470588235294,0.7941193535018648,4,4,8
((log(xX)/exp(rB))-(rX/rA)),0.8676470588235294,0.7941193535018648,4,5,9
(exp((rX-rA))+exp(-(rB/rX))),0.8676470588235294,0.7941152092830502,4,6,9
(((rB*xX)/rX)-(rX/rA)),0.8676470588235294,0.7941138278767786,5,4,9
(((rA/rX))^2*exp((rB/rX))),0.8676470588235294,0.7941110650642355,4,5,9
(((rA+rX)-(rB*xX))/rA),0.8676470588235294,0.7941096836579639,5,4,9
(rA/((rB*xX)-rX)),0.8676470588235294,0.7941096836579639,4,3,7
(((rA-rX)+(rB*xX))/rA),0.8676470588235294,0.7941096836579639,5,4,9
(((rB*xX)-rX)/rA),0.8676470588235294,0.7941096836579639,4,3,7
((xX*log(rB))-((rX/rA))^2),0.8676470588235294,0.7788824423262881,4,5,9
(((rX/rA)-xX)+sqrt(exp(-rB))),0.8676470588235294,0.7909586959524797,4,6,9
(((rA-rX)/(rB-rX))-xX),0.8676470588235294,0.7935847492747617,5,4,9
(((rA-rX)/(rB-rX))/xX),0.8676470588235294,0.7909614587650228,5,4,9
((rA+(rB*xX))/rX),0.8676470588235294,0.7909573145462081,4,3,7
(((rX/rA))^2/sqrt((rB*xX))),0.8676470588235294,0.7909586959524796,4,5,9
(sqrt(exp(rB))/((rX/rA)-xX)),0.8676470588235294,0.7893825113966018,4,5,9
